Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
Lockheed Martin	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	3452	3.5	3.4	3.6	3.0	3.5	3.3	0.7	Marillyn Hewson	85
Honeywell	Overall	"Electrical &amp; Electronic Manufacturing"	Manufacturing	2721	3.2	2.8	3.0	2.5	2.7	2.9	0.5	David M. Cote	70
Northrop Grumman	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	2511	3.5	3.4	3.7	3.0	3.5	3.4	0.7	Wesley G. Bush	81
UTC Aerospace Systems	Overall	Transportation Equipment Manufacturing	Manufacturing	474	2.9	2.6	3.0	2.5	3.2	3.0	0.5	Mike Dumais	48
PPG	Overall	Chemical Manufacturing	Manufacturing	400	3	2.7	3.0	2.6	2.8	2.9	0.5	Charles E. Bunch	65
Thales	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	377	3.3	3.2	3.4	2.9	3.7	3.3	0.7	Patrice Caine	72
Bombardier Aerospace	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	304	3.3	2.9	3.5	2.6	3.7	3.1	0.7	Pierre Beaudoin	38
BE Aerospace	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	247	2.9	2.6	2.7	2.4	3.2	2.9	0.5	Amin J. Khoury	80
Gulfstream Aerospace	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	238	3.7	3.6	3.4	3.3	4.1	3.6	0.8	Larry Flynn	93
The University of Kansas	Overall	"Colleges &amp; Universities"	Education	233	3.9	3.9	3.9	3.4	3.1	3.1	0.9	Bernadette Gray-Little	88
CIT	Overall	"Investment Banking &amp; Asset Management"	Finance	207	3.4	3.2	3.6	3.1	3.1	2.7	0.6	John A. Thain	90
Zodiac Aerospace	Overall	Transportation Equipment Manufacturing	Manufacturing	151	2.6	2.1	2.4	2.0	2.8	2.6	0.3	Olivier Zarrouati	47
"Aerospace &amp; Marine International"	Overall	"Research &amp; Development"	Business Services	138	3.8	3.7	4.3	3.2	3.6	3.1	0.7	Wanda M. Austin	88
ThyssenKrupp	Overall	"Metal &amp; Mineral Manufacturing"	Manufacturing	116	3.4	2.8	3.0	2.6	3.4	2.7	0.5	Heinrich Hiesinger	87
"Crane Aerospace &amp; Electronics"	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	114	2.5	2.3	2.7	2.1	2.6	2.3	0.3	Brendan Curran	62
Ball Aerospace	Overall			111	3.4	3.3	3.5	2.5	3.7	2.8	0.6	Rob Strain	45
Wyle	Overall	"Research &amp; Development"	Business Services	110	3.2	3.2	3.8	2.8	3.2	2.8	0.6	Roger Wiederkehr	65
Cytec	Overall	Chemical Manufacturing	Manufacturing	87	3	2.8	3.1	2.6	3.6	2.9	0.6	Shane D. Fleming	75
Eaton Aerospace	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	85	2.9	2.7	3.1	2.1	3.4	2.6	0.5	Alexander M. Cutler	53
GKN	Overall	Transportation Equipment Manufacturing	Manufacturing	81	3	2.4	2.2	2.3	3.3	2.9	0.4	Nigel M. Stein	76
"C &amp; D Aerospace"	Overall	"Motion Picture Production &amp; Distribution"	Media	62	3.3	3.9	3.7	2.7	3.5	3.1	0.7	Jim Lanzone	100
L-3 Vertex	Overall	Transportation Management	"Transportation &amp; Logistics"	54	2.9	2.7	2.9	2.5	3.7	2.8	0.8	David (Dave) Merriam	63
LMI Aerospace	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	40	3.2	2.9	2.6	2.5	2.5	2.5	0.4	Daniel G. Korte	98
IAS	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	33	2.9	2.7	2.9	2.5	3.1	2.4	0.5	Rita A. Peralta	0
GKN Aerospace ChemTronics	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	31	2.6	2.7	2.7	2.7	2.5	2.5	0.4	Marcus Bryson	69
Regent Aerospace Corp	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	28	1.7	1.6	1.4	1.8	1.5	1.8	0.0	Reza Soltanian	21
Barnes Aerospace	Overall	Transportation Equipment Manufacturing	Manufacturing	27	2.8	2.4	2.9	2.9	3.2	2.8	0.5	Roy Goldsmith	72
Lisi Aerospace	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	25	2.7	2.5	2.3	2.4	2.5	2.6	0.3	Jean-Louis Colders	33
Circor Aerospace	Overall	Industrial Manufacturing	Manufacturing	24	1.8	1.6	1.8	1.6	2.4	1.8	0.0	Scott A. Buckhout	16
Bigelow Aerospace	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	23	1.8	1.5	2.6	1.6	1.9	1.8	0.1	Robert Bigelow	16
Kaman Aerospace	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	23	1.9	2.1	2.5	1.7	2.8	1.8	0.2	Gregory L. (Greg) Steiner	38
"Sargent Controls &amp; Aerospace"	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	17	3	2.9	3.1	2.8	2.6	3.0	0.5	Scott Still	84
TMX Aerospace	Overall	"Logistics &amp; Supply Chain"	"Transportation &amp; Logistics"	16	2.7	2.7	2.9	2.6	3.0	2.9	0.4	Juergen G. Funke	100
Derco Aerospace	Overall	Wholesale	Business Services	16	1.9	1.9	3.2	1.7	2.7	1.8	0.2	Brian Holt	22
Monogram Systems	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	14	2.9	2.3	3.6	3.1	2.9	2.6	0.6	Sebastien Weber	100
King Aerospace	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	14	3.7	3.8	3.3	3.4	4.1	3.6	0.7	Jerry King-Echevarria	65
Aerospace Testing Alliance	Overall	Transportation Equipment Manufacturing	Manufacturing	13	3.2	3.1	3.6	2.2	3.2	2.8	0.6	Steve Pearson	72
M7 Aerospace	Overall	Transportation Management	"Transportation &amp; Logistics"	12	3.3	3.3	3.5	3.0	3.4	3.2	0.6	Raanan Horowitz	64
KLX Aerospace Solutions	Overall			12	2.5	2.5	2.5	2.1	2.7	2.6	0.4		
D-Star Engineering	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	11	3.2	3.6	3.8	3.3	4.3	3.1	0.6	S Paul Dev	85
