"[u'The Aerospace Corporation', u'Lockheed Martin', u'Northrop Grumman', u'Honeywell', u'UTC Aerospace Systems', u'Gulfstream Aerospace', u'The University of Kansas', u'BE Aerospace', u'CIT', u'Akzo Nobel Worldwide', u'Thales', u'Zodiac Aerospace', u'Crane Aerospace &amp; Electronics', u'Ball Aerospace', u'Wyle', u'Cytec', u'Eaton Aerospace', u'ThyssenKrupp', u'Bombardier Aerospace', u'GKN', u'L-3 Vertex', u'LMI Aerospace', u'IAS', u'Regent Aerospace Corp', u'Barnes Aerospace', u'Circor Aerospace', u'Bigelow Aerospace', u'GKN Aerospace ChemTronics', u'Kaman Aerospace', u'Lisi Aerospace', u'Senior Aerospace SSP', u'Sargent Controls &amp; Aerospace', u'TMX Aerospace', u'Aerospace Testing Alliance', u'Derco Aerospace', u'Monogram Systems', u'King Aerospace', u'M7 Aerospace', u'KLX Aerospace Solutions', u'D-Star Engineering', u'Armstrong Aerospace', u'ST Aerospace', u'Pacific Aerospace', u'ITT Aerospace', u'Northstar Aerospace', u'Magellan Aerospace', u'Hawker Pacific', u'Stark Aerospace', u'Triumph Aerospace Systems - Seattle', u'National Institute of Aerospace', u'driessen aerospace usa', u'IDD Aerospace Corp', u'Aerospace System Design Lab', u'VT San Antonio Aerospace', u'D.A.T.A.', u'Avtron Aerospace', u'PPG', u'Agusta Aerospace', u'Senior Aerospace, Jet Products', u'Senior Operations', u'St Mobile Aerospace Eng. Inc.', u'Aerospace Dynamics International', u'EnCore Aerospace', u'H.M. Dunn Aerospace', u'Marana Aerospace Solutions', u'Spike Aerospace', u'ST AEROSPACE MOBILE', u'Ensign-Bickford Aerospace &amp; Defense', u'Eclipse Aviation', u'Coleman Aerospace', u'MB Aerospace', u'Monogram Aerospace Fasteners', u'Global Aerospace', u'Adams Rite Aerospace', u'Dixie Aerospace', u'Bruce Aerospace', u'Kellstrom Aerospace', u'Titeflex Commercial', u'Pacific Aerospace Resources &amp; Technologies', u'Michigan Aerospace', u'Ford Aerospace', u'Baker Aerospace Tooling &amp; Machining', u'Beaver Aerospace &amp; Defense', u'Aerostar Aerospace', u'BF Aerospace', u'Cherry Aerospace', u'Bennett Aerospace', u'Global Aerospace Logistics', u'Precise Aerospace Manufacturing', u'Greenpoint Aerospace', u'Jormac Aerospace', u'C &amp; D Aerospace', u'Pioneer Aerospace', u'LIBERTY AEROSPACE', u'Megadata', u'Synchronous Aerospace', u'Senior Aerospace Absolute Manufacturing', u'Aerospace Joint Apprenticeship Committee', u'Aerospace Fasteners', u'MarathonNorco Aerospace', u'Universal Aerospace Corp', u'UFC Aerospace', u'Applied Aerospace Structures Corp.', u'Cadence Aerospace', u'Delaware AeroSpace Academy', u'Triumph Aerospace Systems - Newport News', u'TASE Global', u'SACS', u'Old Republic Aerospace', u'Seabury Aviation &amp; Aerospace', u'Hampson Aerospace Private Limited', u'Aerospace Alloys', u'Kelly Aerospace', u'Olympic Aerospace', u'T-Aerospace', u'Dukes Aerospace', u'JetOne Aerospace', u'Aerospace Industries Association of America', u'Genvac Aerospace', u'ST Electronics (Singapore)', u'North Star Aerospace', u'American Automated Engineering', u'Talon Aerospace', u'Firstmark Aerospace', u'Exacta aerospace', u'Apache Aerospace', u'Elite Aerospace', u'Mississippi Aerospace Corp', u'Summit Aerospace', u'S &amp; L Aerospace Metals', u'Pankl Aerospace Systems', u'DeCrane', u'Guardian Aerospace', u'Sandia Aerospace', u'Greiner', u'duPont Aerospace', u'Peerless Aerospace', u'Ferco Aerospace Group', u'Nextant Aerospace', u'KARI', u'MS Aerospace', u'Aerospace Distributors', u'CASIC', u'Tulsa Aerospace Component Overhaul and Repair', u""E'Prime Aerospace"", u'Vector Aerospace', u'Hellenic Aerospace Industry', u'Pacific Aerospace Consulting', u'Shanghai Aerospace Electronics Equipment Institute', u'Phoenix Aerospace', u'Rockland Aerospace', u'LifeStem', u'Ak Aerospace Technology', u'Keeley Aerospace', u'E M C Aerospace', u'Diehl Group', u'Aerospace Concept Software', u'CATEC', u'Dublin Aerospace', u'Aerospace Electrical systems', u'National Institute for Aerospace Technology', u'Gardner Aerospace', u'MT Aerospace', u'Mag Aerospace Industries', u'AAG', u'Aerospace Processing India', u'Arcadia Aerospace Industries', u'Banner Aerospace', u'Spar Aerospace', u'United Aerospace', u'Avex Aerospace', u'Impresa Aerospace', u'Atlas Aerospace Accessories, LLC', u'P3 Voith Aerospace', u'Arnprior Aerospace', u'Precision Aerospace', u'Dirgantara Indonesia', u'BLR Aerospace', u'A-SCC', u'Atair Aerospace', u'Bell Aerospace Services', u'BMT Aerospace', u'Champion Aerospace', u'DOLPHIN AEROSPACE', u'Aerospace Contacts', u'Aerospace/Defense Coatings-GA', u'Precision Aerospace and Technologies', u'HS Marston Aerospace Limited', u'Australian Aerospace', u'Manoir Aerospace', u'Lawson Aerospace', u'Axis Aerospace &amp; Technologies', u'S&K; Aerospace', u'Tianjin Ingbert Aerospace Science and Technology', u'Advanced Aerospace', u'Chase Aerospace', u'American Aerospace Engineering', u'Avant Aerospace', u'Aerospace Quality Research and Development', u'Italian Aerospace Research Centre', u'Genser Aerospace &amp; IT', u'JLT Aerospace (North America)', u'Trillium Aerospace', u'Dedienne Aerospace', u'Katron Defence Aerospace and Simulation Technologies', u'Extant Aerospace', u'Mettis Aerospace', u'KAU', u'ExelTech', u'National Aerospace Laboratories', u'B&B; Specialties', u'Cascade Aerospace', u'Ignis Aerospace', u'Excel Aerospace', u'IMP Aerospace', u'Simplex Aerospace', u'SOGECLAIR Aerospace SAS', u'STELIA Aerospace', u'Dauria Aerospace', u'BrahMos Aerospace', u'Jamco Aerospace', u'Senior Aerospace Bird Bellows', u'Australian Research Centre for Aerospace Automation', u'Bischoff Aerospace', u'CU Aerospace', u'Blue Marble Aerospace', u'Aerospace Manufacturing Corp', u'Aerospace Propulsion Products', u'Mitchell Aerospace', u'Aerospace Industrial Maintenance', u'AMAC Aerospace', u'Merlinhawk Aerospace', u'CT Aerospace', u'Aerospace Design Solutions', u'AIDC', u'ADE Aerospace Consulting', u'Bristol Aerospace Limited', u'Swift-Cor Aerospace', u'SENIOR AEROSPACE ERMETO', u'Singapore Aerospace Manufacturing (SAM)', u'Cayley Aerospace', u'Shannon Aerospace', u'Provincial Aerospace', u'PFW Aerospace', u'Capital Aerospace Machinery', u'Taneja Aerospace', u'Aerospace &amp; Marine International', u'Sojitz', u'Prescott Aerospace', u'Tri Aerospace', u'Aerospace Consulting &amp; Services', u'Tamarack Aerospace', u'Dayton Aerospace', u'Korea Aerospace Industries', u'Ranger Aerospace']"													
Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
Lockheed Martin	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	3452	3.5	3.4	3.6	3.0	3.5	3.3	0.7	Marillyn Hewson	85
Honeywell	Overall	"Electrical &amp; Electronic Manufacturing"	Manufacturing	2721	3.2	2.8	3.0	2.5	2.7	2.9	0.5	David M. Cote	70
Northrop Grumman	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	2511	3.5	3.4	3.7	3.0	3.5	3.4	0.7	Wesley G. Bush	81
UTC Aerospace Systems	Overall	Transportation Equipment Manufacturing	Manufacturing	474	2.9	2.6	3.0	2.5	3.2	3.0	0.5	Mike Dumais	48
PPG	Overall	Chemical Manufacturing	Manufacturing	400	3	2.7	3.0	2.6	2.8	2.9	0.5	Charles E. Bunch	65
Thales	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	377	3.3	3.2	3.4	2.9	3.7	3.3	0.7	Patrice Caine	72
Bombardier Aerospace	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	304	3.3	2.9	3.5	2.6	3.7	3.1	0.7	Pierre Beaudoin	38
BE Aerospace	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	247	2.9	2.6	2.7	2.4	3.2	2.9	0.5	Amin J. Khoury	80
Gulfstream Aerospace	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	238	3.7	3.6	3.4	3.3	4.1	3.6	0.8	Larry Flynn	93
The University of Kansas	Overall	"Colleges &amp; Universities"	Education	233	3.9	3.9	3.9	3.4	3.1	3.1	0.9	Bernadette Gray-Little	88
CIT	Overall	"Investment Banking &amp; Asset Management"	Finance	207	3.4	3.2	3.6	3.1	3.1	2.7	0.6	John A. Thain	90
Zodiac Aerospace	Overall	Transportation Equipment Manufacturing	Manufacturing	151	2.6	2.1	2.4	2.0	2.8	2.6	0.3	Olivier Zarrouati	47
"Aerospace &amp; Marine International"	Overall	"Research &amp; Development"	Business Services	138	3.8	3.7	4.3	3.2	3.6	3.1	0.7	Wanda M. Austin	88
ThyssenKrupp	Overall	"Metal &amp; Mineral Manufacturing"	Manufacturing	116	3.4	2.8	3.0	2.6	3.4	2.7	0.5	Heinrich Hiesinger	87
"Crane Aerospace &amp; Electronics"	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	114	2.5	2.3	2.7	2.1	2.6	2.3	0.3	Brendan Curran	62
Ball Aerospace	Overall			111	3.4	3.3	3.5	2.5	3.7	2.8	0.6	Rob Strain	45
Wyle	Overall	"Research &amp; Development"	Business Services	110	3.2	3.2	3.8	2.8	3.2	2.8	0.6	Roger Wiederkehr	65
Cytec	Overall	Chemical Manufacturing	Manufacturing	87	3	2.8	3.1	2.6	3.6	2.9	0.6	Shane D. Fleming	75
Eaton Aerospace	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	85	2.9	2.7	3.1	2.1	3.4	2.6	0.5	Alexander M. Cutler	53
GKN	Overall	Transportation Equipment Manufacturing	Manufacturing	81	3	2.4	2.2	2.3	3.3	2.9	0.4	Nigel M. Stein	76
"C &amp; D Aerospace"	Overall	"Motion Picture Production &amp; Distribution"	Media	62	3.3	3.9	3.7	2.7	3.5	3.1	0.7	Jim Lanzone	100
L-3 Vertex	Overall	Transportation Management	"Transportation &amp; Logistics"	54	2.9	2.7	2.9	2.5	3.7	2.8	0.8	David (Dave) Merriam	63
LMI Aerospace	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	40	3.2	2.9	2.6	2.5	2.5	2.5	0.4	Daniel G. Korte	98
IAS	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	33	2.9	2.7	2.9	2.5	3.1	2.4	0.5	Rita A. Peralta	0
GKN Aerospace ChemTronics	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	31	2.6	2.7	2.7	2.7	2.5	2.5	0.4	Marcus Bryson	69
Regent Aerospace Corp	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	28	1.7	1.6	1.4	1.8	1.5	1.8	0.0	Reza Soltanian	21
Barnes Aerospace	Overall	Transportation Equipment Manufacturing	Manufacturing	27	2.8	2.4	2.9	2.9	3.2	2.8	0.5	Roy Goldsmith	72
Lisi Aerospace	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	25	2.7	2.5	2.3	2.4	2.5	2.6	0.3	Jean-Louis Colders	33
Circor Aerospace	Overall	Industrial Manufacturing	Manufacturing	24	1.8	1.6	1.8	1.6	2.4	1.8	0.0	Scott A. Buckhout	16
Bigelow Aerospace	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	23	1.8	1.5	2.6	1.6	1.9	1.8	0.1	Robert Bigelow	16
Kaman Aerospace	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	23	1.9	2.1	2.5	1.7	2.8	1.8	0.2	Gregory L. (Greg) Steiner	38
"Sargent Controls &amp; Aerospace"	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	17	3	2.9	3.1	2.8	2.6	3.0	0.5	Scott Still	84
TMX Aerospace	Overall	"Logistics &amp; Supply Chain"	"Transportation &amp; Logistics"	16	2.7	2.7	2.9	2.6	3.0	2.9	0.4	Juergen G. Funke	100
Derco Aerospace	Overall	Wholesale	Business Services	16	1.9	1.9	3.2	1.7	2.7	1.8	0.2	Brian Holt	22
Monogram Systems	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	14	2.9	2.3	3.6	3.1	2.9	2.6	0.6	Sebastien Weber	100
King Aerospace	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	14	3.7	3.8	3.3	3.4	4.1	3.6	0.7	Jerry King-Echevarria	65
Aerospace Testing Alliance	Overall	Transportation Equipment Manufacturing	Manufacturing	13	3.2	3.1	3.6	2.2	3.2	2.8	0.6	Steve Pearson	72
M7 Aerospace	Overall	Transportation Management	"Transportation &amp; Logistics"	12	3.3	3.3	3.5	3.0	3.4	3.2	0.6	Raanan Horowitz	64
KLX Aerospace Solutions	Overall			12	2.5	2.5	2.5	2.1	2.7	2.6	0.4		
D-Star Engineering	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	11	3.2	3.6	3.8	3.3	4.3	3.1	0.6	S Paul Dev	85
