"[u'Chase', u'Capital One', u'Barclays', u'BB&T;', u'Stifel Financial', u'Standard Chartered Bank', u'Misys', u'Lloyds Banking Group', u'Sumitomo Mitsui Banking Corporation', u'Zoot Enterprises', u'Peoples Banking Unusual', u'Australia and New Zealand Banking', u'China Minsheng Banking', u'BrandBank', u'SMBC Capital Markets', u'Sumitomo Mitsui Banking Corp', u'Mitsubishi UFJ', u'Bank Of Tampa', u'Ocbc Bank', u'Eastwest Banking', u'ENG Lending', u'Brand Banking Company', u'Seacoast Bank', u'Sumitomo Trust and Banking', u'Maybank', u'NY State Banking', u'Riverside Financial Group', u'Texas Department of Banking', u'Tobin &amp; Company Investment Banking Group', u'D3 Technology', u'Georgia Department of Banking and Finance', u'Vista Equity Partners', u'Westpac Group', u'Secure Banking Solutions', u""Women's World Banking"", u'Citizens Banking Company', u'Founders Investment Banking', u'Absolute Mortgage Banking', u'Online Banking Solutions', u'Cherokee Banking Company', u'Irving Place Capital', u'Mizuho Trust &amp; Banking', u'BANC', u'Citizens South', u'Georgia Banking Company', u'Crescent Banking', u'Alabama State Banking Department', u'Allied Banking', u'State of Vermont Department of Bishca', u'Electronic Banking Services Company', u'Rizal Commercial Banking', u'Lex Autolease', u'Alliance Mortgage Banking Corp', u'FBS Banking', u'Banking and Training Consultancy Institue', u'ZIBAF', u'Banking Computer Services', u'Bank CSIRT', u'Arbuthnot Banking', u'Sopra Banking Software', u'BW Banking Support', u'CA Indosuez Private Banking', u'Coastal Banking Company', u'European Banking Federaton', u'Lloyds Banking Group', u'Arab Banking', u'Bramer Bank', u'Czech Non-Banking Credit Bureau', u'The Retail Banking Academy', u'ERI Bancaire S.A.', u'Sophos Banking Solutions SAS', u'Intesa San Paolo Private Banking', u'OBSI Canada', u'CCC Investment Banking', u'New Jersey Department of Banking and Insurance', u'BS &amp; S', u'Nessa GBS', u'Egg', u'Allshare', u'Institute of Banking Personnel Selection', u'Societe Generale Private Banking', u'China Bank', u'Southeastern Banking', u'United Financial Banking', u'TS Banking Group', u'Community Banking Connection', u'Sound Bank', u'Indbank Merchant Banking Services', u'Freitag &amp; Co', u'Halifax Banking', u'IDOTTV', u'Banking Academy', u'IEG Investment Banking', u'The Core Banking Group', u'Chiyu Banking Corportation', u'BFSI Vision', u'Al Rajhi Banking', u'Duncan Lawrie', u'Dah Sing Banking', u'IDRBT', u'Entris Banking', u'IBFIM', u'Pacific Coast Banking School', u'African Banking Corporation', u'Swiss Asia Banking School', u'Clearstream Banking', u'National Institute of Banking &amp; Finance', u'TOEBFI', u'Capital Banking Solutions', u'College of Banking and Finance', u'CR2', u'Pac Lease Berhad', u'Avaloq', u'Washington Banking', u'Pan Asia Bank', u'Modern Banking Systems', u'Bank of America', u'Umpqua Bank', u'BofI Federal Bank', u'Raiffeisen International', u'Impact Bank', u'State Bank of DeKalb', u'Union Bank of Nigeria', u'Wells Fargo', u'J.P. Morgan', u'Nordstrom', u'Citi', u'State Farm', u'U.S. Bank', u'American Express', u'PNC Financial Services Group', u'BNY Mellon', u'State Street', u'UBS', u'Merrill Lynch', u'SunTrust', u'Charles Schwab', u'HSBC Holdings', u'TD Bank', u'Fifth Third', u'Deutsche Bank', u'Citizens Bank', u'GE Capital', u'Regions Financial', u'Wachovia', u'KeyBank', u'Northern Trust', u'JoS. A. Bank', u'M&T; Bank', u'Huntington National Bank', u'The World Bank', u'Union Bank N.A.', u'BBVA Compass', u'Washington Mutual', u'TCF Bank', u'Bank of the West', u'Ally Financial', u'Comerica', u'BMO Harris Bank', u'Woodforest National Bank', u'Commerce Bank', u'Associated Banc-Corp', u'Sovereign Bancorp', u'OneWest Bank', u'First Republic (CA)', u'U.S. Trust', u'Macquarie Group', u'Bank Of Tokyo-Mitsubishi UFJ', u'New York Community Bancorp', u'Federal Reserve Bank (NY)', u'Christopher &amp; Banks', u'Arvest Holdings', u'Federal Reserve Board', u'First Convenience Bank', u'Zions Bank', u'ING Direct', u'Bank of America Merchant Services', u'Bank of China', u'First Citizens BancShares', u'First Tennessee Bank', u'Inter-American Development Bank', u'Royal Bank of Canada', u'East West Bank', u'Td Bank Na', u'Synovus', u'First Niagara Bank', u'First National Bank Omaha', u'Valley National Bancorp', u'AXA', u'Industrial and Commercial Bank of China', u'City National Bank', u'UMB Bank', u'Federal Reserve Bank of San Francisco', u'Dollar Bank', u'Guaranty Bank', u'Webster Bank', u'Wedbush Securities', u'Bank of Hawaii', u'FirstMerit', u'Amegy Corporation', u'Federal Reserve Bank of Chicago', u'TD Commerce Bank', u'Bank of Oklahoma', u'Cullen/Frost Bankers', u'Federal Reserve Bank of Dallas', u'Astoria Financial', u'BankUnited', u'First Midwest Bank', u'Mizuho Bank', u'Midfirst Bank', u'MetLife Home Loans, a division of MetLife Bank, N.A.', u'Popular Community Bank', u'Susquehanna Bancshares', u'Scotiabank', u'Federal Reserve Bank of Richmond', u'Prosperity Bank', u'RBC Bank N.A.', u'California Bank &amp; Trust', u'HomeStreet', u'Marshall &amp; Ilsley', u'Investors Bank', u'First National Bank Texas', u'Federal Reserve Bank of Kansas City', u'The Provident Bank', u'China Construction Bank', u'Florida Community Bank', u'Federal Reserve Bank of Boston', u'UMB Financial Corporation', u'First Hawaiian Bank', u'Best Bank', u'Capital Bank', u'TrustCo Bank Corp NY', u'Trustmark', u'Bank-Fund Staff Federal Credit Union', u'ABN AMRO', u'Cr\xe9dit Agricole', u'The Federal Savings Bank', u'Federal Reserve Bank of Atlanta', u'Hudson City Bancorp', u'Sterling Bancorp', u'Fremont Bank', u'Chemical Bank', u'Beneficial Bank', u'Metro Bank', u'Great Western Bancorp', u'FHLB Dallas', u'Boston Private Bank &amp; Trust Company', u'Old National Bancorp', u'Hancock Holding', u'CalFirst', u'Great Southern Bancorp', u'American Savings Bank', u'Chevy Chase Bank', u'National Penn Bank', u'Credit One Bank', u'TCF Financial', u'Federal Reserve Bank of St. Louis', u'Eastern Bank', u'PlainsCapital', u'Union Bank &amp; Trust', u'Opus Bank', u'FHLB Chicago', u'First Bank', u'Federal Reserve Bank of Cleveland', u'Hancock Bank', u'Armed Forces Bank', u'Talmer Bank and Trust', u'FHLBank San Francisco', u'Square 1 Bank', u'Citizens Savings Bank and Trust Company', u'Washington Trust Bank', u'Deutsche Bank CIB', u'The Private Bank', u'ICICI Bank', u'Bank of Cardiff', u'Flushing Bank', u'NBT Bancorp', u'Texas Capital Bank', u'Mechanics Bank', u'Finca International', u'Bank of the Ozarks', u'Manulife', u'Federal Reserve Bank of Philadelphia', u'Northwest Savings Bank', u'Stephens', u'Bank Leumi USA', u'AgFirst', u'Food Bank For New York City', u'Bank of Texas', u'Union Bank (Michigan)', u'Western Alliance Bank', u'FHLBank Atlanta', u'Centennial Bank', u'Federal Reserve Bank of Minneapolis', u'Hanmi Financial', u'Frost National Bank', u'Community Bank', u'Nevada State Bank', u'United Bankshares', u'Columbia Bank (WA, OR &amp; ID)', u'Tri Counties Bank', u'Aurora Bank FSB', u'Sumitomo Mitsui Trust Bank', u'First American Bank', u'North Community Bank', u'Capitol Federal Financial', u'First National Bank of PA', u'Academy Bank', u'Doral Financial', u'Bank Mutual', u'First Fidelity Bank', u'Bank of Communications', u'Bank Midwest', u""World's Foremost Bank"", u'PNC Bank Arts Center', u'Amalgamated Bank', u'China Merchants Bank', u'Banner Bank', u'CTBC Bank', u'The Bancorp', u'FHLB Seattle', u'Mutual of Omaha Bank', u'North TX Food Bank', u'FHLB New York', u'Cambridge Savings Bank', u'CIBC', u'Salem Five Bank', u'Cole Taylor Bank', u'Bank of America Securities', u'BSI Financial', u'BAI (Bank Administration Institute)', u'Capital City Bank', u'First Banks', u'Centier Bank', u'TBI', u'First American International Bank', u'National Bank of Arizona', u'Admirals Bank', u'Urban Partnership Bank', u'Agricultural Bank of China', u'Heritage Bank', u'Heartland Bank and Trust Company', u'Bank Hapoalim', u'East Bank Club Venture', u'Republic Bank &amp; Trust', u'Whitney Holding', u'Gibraltar Private Bank', u'CARE', u'Oriental Bank and Trust', u'SBC', u'Fulton Bank', u'Leader Bank', u'Landmark Bank', u'Rakuten', u'Sun National Bank', u'American Bank Holdings', u'Brookline Bancorp', u'Bank of China - New York', u'Hudson Valley Bank', u'Citizens Business Bank', u'Middlesex Savings', u'NB&T;', u'Boone County National Bank', u'Sterling Bank', u'NASB Financial', u'Bank of the Cascades', u'First United Bank &amp; Trust', u'CLS Bank International', u'West Valley National Bank', u'Kotak Mahindra', u'AMG National Trust Bank', u'HDFC Bank', u'First Security Bank', u'Sabadell United Bank', u'Central Pacific Bank', u'Ridgewood Savings Bank', u'Fort Sill National Bank', u'First Guaranty', u'FHLBank Topeka', u'China CITIC Bank']"													
Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
Bank of America	Overall	"Banks &amp; Credit Unions"	Finance	10896	3.3	3.2	3.3	2.8	3.5	3.2	0.6	Brian T. Moynihan	74
Wells Fargo	Overall	"Banks &amp; Credit Unions"	Finance	10772	3.3	3.3	3.2	2.9	3.4	3.5	0.6	John G. Stumpf	78
J.P. Morgan	Overall	"Investment Banking &amp; Asset Management"	Finance	7392	3.5	3.3	3.1	2.9	3.5	3.3	0.7	Jamie Dimon	87
Nordstrom	Overall	"Department, Clothing, &amp; Shoe Stores"	Retail	5026	3.6	3.8	2.9	3.2	3.5	3.6	0.7	Blake W. Nordstrom	93
Citi	Overall	"Investment Banking &amp; Asset Management"	Finance	4329	3.4	3.2	3.4	2.9	3.3	3.3	0.7	Michael Corbat	82
HSBC Holdings	Overall	"Banks &amp; Credit Unions"	Finance	3837	3.3	2.9	3.4	2.6	3.2	2.9	0.5	Stuart T. Gulliver	69
Chase	Overall	"Banks &amp; Credit Unions"	Finance	3479	3.2	3.1	3.1	2.8	3.3	3.0	0.6	Jamie Dimon	79
American Express	Overall	Financial Transaction Processing	Finance	3075	3.6	3.7	3.7	3.2	3.5	3.3	0.7	Ken Chenault	88
Capital One	Overall	"Banks &amp; Credit Unions"	Finance	2860	3.6	3.8	3.7	3.2	3.9	3.3	0.7	Richard D. Fairbank	89
Barclays	Overall	"Investment Banking &amp; Asset Management"	Finance	2490	3.1	2.8	3.3	2.5	3.0	2.8	0.5	John McFarlane	100
U.S. Bank	Overall			2444	3.3	3.5	3.4	3.1	2.9	3.2	0.6	Richard K. Davis	90
UBS	Overall	"Investment Banking &amp; Asset Management"	Finance	2406	3.4	3.2	3.5	3.0	3.1	3.1	0.6	Sergio P. Ermotti	86
PNC Financial Services Group	Overall	"Investment Banking &amp; Asset Management"	Finance	2181	3.3	3.6	3.5	3.0	2.9	3.3	0.6	William S. Demchak	77
BNY Mellon	Overall	"Investment Banking &amp; Asset Management"	Finance	2064	2.9	2.9	3.4	2.5	2.6	2.5	0.4	Gerald Hassell	55
State Street	Overall	"Investment Banking &amp; Asset Management"	Finance	1976	2.9	2.9	3.4	2.7	2.6	3.0	0.5	Joseph L. Hooley	63
Deutsche Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	1904	3.3	3.2	3.3	2.8	3.3	3.1	0.6	John Cryan	90
Merrill Lynch	Overall	Brokerage Services	Finance	1649	3.5	3.5	3.5	3.4	3.5	3.5	0.7	Brian T. Moynihan	79
"BB&T;"	Overall	"Cable, Internet &amp; Telephone Providers"	Telecommunications	1518	3.4	3.3	3.5	2.8	3.7	2.6	0.5	John Chen	82
ICICI Bank	Overall	"Banks &amp; Credit Unions"	Finance	1143	3.2	3.2	2.2	3.4	3.4	3.5	0.8	Chanda D. Kochhar	82
Standard Chartered Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	997	3.3	4.0	3.4	3.5	3.4	3.4	0.7	Bill Winters	100
Fifth Third	Overall	"Investment Banking &amp; Asset Management"	Finance	916	3.3	3.4	3.4	3.0	3.3	3.2	0.6	Kevin T. Kabat	83
CIBC	Overall	"Investment Banking &amp; Asset Management"	Finance	892	3.3	3.8	3.6	3.6	3.4	3.5	1.0	Victor Dodig	89
KeyBank	Overall	"Investment Banking &amp; Asset Management"	Finance	597	3.2	3.1	3.5	2.9	3.3	3.0	0.6	Beth E. Mooney	76
JoS. A. Bank	Overall	"Department, Clothing, &amp; Shoe Stores"	Retail	534	2.4	2.2	2.2	2.2	2.1	2.2	0.3	Doug Ewert	44
The World Bank	Overall	Lending	Finance	514	3.5	3.4	3.6	2.7	3.3	2.7	0.7	Jim Yong Kim	57
Union Bank N.A.	Overall	"Investment Banking &amp; Asset Management"	Finance	449	3.2	3.0	3.2	2.6	3.3	2.9	0.5	Masashi Oka	80
Huntington National Bank	Overall	"Banks &amp; Credit Unions"	Finance	443	3.1	3.3	2.9	2.9	3.0	3.0	0.6	Steve Steinour	82
Misys	Overall	"Computer Hardware &amp; Software"	Information Technology	434	3.1	2.6	3.4	2.5	2.7	2.6	0.3	Nadeem Syed	72
TCF Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	405	2.9	2.8	3.1	2.6	2.4	3.2	0.4	William Cooper	63
Australia and New Zealand Banking	Overall	"Banks &amp; Credit Unions"	Finance	395	3.5	3.6	3.1	2.8	3.9	3.6	0.6	Michael R. P. Smith	82
Manulife	Overall	Insurance Carriers	Insurance	372	3.7	3.6	3.5	2.8	3.1	2.7	0.5	Donald Guloien	86
Comerica	Overall	"Investment Banking &amp; Asset Management"	Finance	343	3.2	3.4	3.8	2.8	3.3	3.1	0.6	Ralph W. Babb Jr.	69
Ocbc Bank	Overall			301	3.2	0.0	0.0	0.0	0.0	0.0	0.0	Samuel N. Tsien	89
Kotak Mahindra	Overall	"Banks &amp; Credit Unions"	Finance	265	2.9	2.9	1.9	2.3	2.6	2.8	0.6	Uday S. Kotak	83
AXA	Overall	Insurance Carriers	Insurance	260	3.3	3.4	3.4	3.2	3.1	3.3	0.7	Henri de Castries	83
Westpac Group	Overall	"Banks &amp; Credit Unions"	Finance	212	3.3	0.0	0.0	0.0	0.0	0.0	0.0	Brian Hartzer	87
ABN AMRO	Overall	"Banks &amp; Credit Unions"	Finance	161	3.1	3.7	3.5	2.7	3.5	3.1	0.5	Gerrit Zalm	70
U.S. Trust	Overall	"Banks &amp; Credit Unions"	Finance	158	3.9	3.6	4.2	3.1	3.5	3.2	0.7	Keith T. Banks	89
Commerce Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	148	3.8	4.1	3.7	3.6	3.4	3.6	0.8	David W. Kemper	87
OneWest Bank	Overall	"Banks &amp; Credit Unions"	Finance	144	2.9	2.6	3.1	2.5	2.9	2.5	0.3	Joseph Otting	56
First Republic (CA)	Overall	"Banks &amp; Credit Unions"	Finance	139	3.5	3.9	3.2	3.3	3.6	3.1	0.7	James H. Herbert II	95
Federal Reserve Bank (NY)	Overall	"Investment Banking &amp; Asset Management"	Finance	139	3	2.9	4.1	2.5	3.1	2.6	0.5	William C. Dudley	61
Maybank	Overall	"Banks &amp; Credit Unions"	Finance	134	2.9	0.0	0.0	0.0	0.0	0.0	0.0	Datuk Abdul Farid  Alias	44
Stifel Financial	Overall	"Investment Banking &amp; Asset Management"	Finance	121	3.6	3.6	3.8	3.5	2.8	3.4	0.7	Ronald J. Kruszewski	89
China Construction Bank	Overall	"Banks &amp; Credit Unions"	Finance	117	3.8	3.8	4.0	4.1	3.9	3.9	0.9	Zhang Jianguo	95
Umpqua Bank	Overall	"Banks &amp; Credit Unions"	Finance	114	2.9	3.5	3.4	2.8	2.9	2.5	0.5	Ray Davis	51
First Tennessee Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	110	3.8	3.9	4.1	3.5	3.6	3.3	0.9	D. Bryan Jordan	100
First Convenience Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	108	3.1	3.3	2.5	2.7	2.7	3.4	0.5	Terry Tuggle	69
Bank of America Merchant Services	Overall	Financial Transaction Processing	Finance	107	2.5	2.5	2.9	2.2	3.1	2.2	0.4	Tim Tynan	59
Raiffeisen International	Overall	"Investment Banking &amp; Asset Management"	Finance	93	3.8	0.0	0.0	0.0	0.0	0.0	0.0	Karl Sevelda	100
Federal Reserve Bank of San Francisco	Overall	"Investment Banking &amp; Asset Management"	Finance	81	3.5	3.4	4.1	3.1	3.7	3.3	0.8	John C. Williams	75
Guaranty Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	76	2.3	2.4	2.7	2.3	2.6	2.7	0.3	Doug Levy	42
TD Commerce Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	74	2.9	3.3	3.1	2.7	2.7	3.0	0.4	Mike Pedersen	100
FirstMerit	Overall	"Banks &amp; Credit Unions"	Finance	72	2.8	2.6	2.9	2.4	2.8	2.5	0.4	Paul G. Greig	50
Webster Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	71	3	3.4	3.2	2.6	3.3	3.0	0.5		
Federal Reserve Bank of Chicago	Overall	Federal Agencies	Government	68	3.7	3.7	3.9	3.3	3.6	3.7	0.8	Charles Evans	96
Amegy Corporation	Overall	"Banks &amp; Credit Unions"	Finance	67	3.3	3.5	3.6	3.1	3.0	2.9	0.6	Steve Stephens	100
Astoria Financial	Overall	"Investment Banking &amp; Asset Management"	Finance	65	2.5	2.3	3.0	2.4	2.4	2.2	0.4		
China Merchants Bank	Overall	"Banks &amp; Credit Unions"	Finance	57	4.1	3.8	3.8	3.6	3.4	4.0	0.4	Huiyu Tian	100
"Tobin &amp; Company Investment Banking Group"	Overall	"Staffing &amp; Outsourcing"	Business Services	55	4.8	4.6	4.4	4.4	4.2	4.5	0.9	Timothy M. Tobin	99
Federal Reserve Bank of Richmond	Overall	"Banks &amp; Credit Unions"	Finance	51	3.6	3.8	3.9	3.6	4.1	3.1	0.8	Jeff Lacker	99
