Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
Bank of America	Overall	"Banks &amp; Credit Unions"	Finance	10896	3.3	3.2	3.3	2.8	3.5	3.2	0.6	Brian T. Moynihan	74
Wells Fargo	Overall	"Banks &amp; Credit Unions"	Finance	10772	3.3	3.3	3.2	2.9	3.4	3.5	0.6	John G. Stumpf	78
J.P. Morgan	Overall	"Investment Banking &amp; Asset Management"	Finance	7392	3.5	3.3	3.1	2.9	3.5	3.3	0.7	Jamie Dimon	87
Nordstrom	Overall	"Department, Clothing, &amp; Shoe Stores"	Retail	5026	3.6	3.8	2.9	3.2	3.5	3.6	0.7	Blake W. Nordstrom	93
Citi	Overall	"Investment Banking &amp; Asset Management"	Finance	4329	3.4	3.2	3.4	2.9	3.3	3.3	0.7	Michael Corbat	82
HSBC Holdings	Overall	"Banks &amp; Credit Unions"	Finance	3837	3.3	2.9	3.4	2.6	3.2	2.9	0.5	Stuart T. Gulliver	69
Chase	Overall	"Banks &amp; Credit Unions"	Finance	3479	3.2	3.1	3.1	2.8	3.3	3.0	0.6	Jamie Dimon	79
American Express	Overall	Financial Transaction Processing	Finance	3075	3.6	3.7	3.7	3.2	3.5	3.3	0.7	Ken Chenault	88
Capital One	Overall	"Banks &amp; Credit Unions"	Finance	2860	3.6	3.8	3.7	3.2	3.9	3.3	0.7	Richard D. Fairbank	89
Barclays	Overall	"Investment Banking &amp; Asset Management"	Finance	2490	3.1	2.8	3.3	2.5	3.0	2.8	0.5	John McFarlane	100
U.S. Bank	Overall			2444	3.3	3.5	3.4	3.1	2.9	3.2	0.6	Richard K. Davis	90
UBS	Overall	"Investment Banking &amp; Asset Management"	Finance	2406	3.4	3.2	3.5	3.0	3.1	3.1	0.6	Sergio P. Ermotti	86
PNC Financial Services Group	Overall	"Investment Banking &amp; Asset Management"	Finance	2181	3.3	3.6	3.5	3.0	2.9	3.3	0.6	William S. Demchak	77
BNY Mellon	Overall	"Investment Banking &amp; Asset Management"	Finance	2064	2.9	2.9	3.4	2.5	2.6	2.5	0.4	Gerald Hassell	55
State Street	Overall	"Investment Banking &amp; Asset Management"	Finance	1976	2.9	2.9	3.4	2.7	2.6	3.0	0.5	Joseph L. Hooley	63
Deutsche Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	1904	3.3	3.2	3.3	2.8	3.3	3.1	0.6	John Cryan	90
Merrill Lynch	Overall	Brokerage Services	Finance	1649	3.5	3.5	3.5	3.4	3.5	3.5	0.7	Brian T. Moynihan	79
"BB&T;"	Overall	"Cable, Internet &amp; Telephone Providers"	Telecommunications	1518	3.4	3.3	3.5	2.8	3.7	2.6	0.5	John Chen	82
ICICI Bank	Overall	"Banks &amp; Credit Unions"	Finance	1143	3.2	3.2	2.2	3.4	3.4	3.5	0.8	Chanda D. Kochhar	82
Standard Chartered Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	997	3.3	4.0	3.4	3.5	3.4	3.4	0.7	Bill Winters	100
Fifth Third	Overall	"Investment Banking &amp; Asset Management"	Finance	916	3.3	3.4	3.4	3.0	3.3	3.2	0.6	Kevin T. Kabat	83
CIBC	Overall	"Investment Banking &amp; Asset Management"	Finance	892	3.3	3.8	3.6	3.6	3.4	3.5	1.0	Victor Dodig	89
KeyBank	Overall	"Investment Banking &amp; Asset Management"	Finance	597	3.2	3.1	3.5	2.9	3.3	3.0	0.6	Beth E. Mooney	76
JoS. A. Bank	Overall	"Department, Clothing, &amp; Shoe Stores"	Retail	534	2.4	2.2	2.2	2.2	2.1	2.2	0.3	Doug Ewert	44
The World Bank	Overall	Lending	Finance	514	3.5	3.4	3.6	2.7	3.3	2.7	0.7	Jim Yong Kim	57
Union Bank N.A.	Overall	"Investment Banking &amp; Asset Management"	Finance	449	3.2	3.0	3.2	2.6	3.3	2.9	0.5	Masashi Oka	80
Huntington National Bank	Overall	"Banks &amp; Credit Unions"	Finance	443	3.1	3.3	2.9	2.9	3.0	3.0	0.6	Steve Steinour	82
Misys	Overall	"Computer Hardware &amp; Software"	Information Technology	434	3.1	2.6	3.4	2.5	2.7	2.6	0.3	Nadeem Syed	72
TCF Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	405	2.9	2.8	3.1	2.6	2.4	3.2	0.4	William Cooper	63
Australia and New Zealand Banking	Overall	"Banks &amp; Credit Unions"	Finance	395	3.5	3.6	3.1	2.8	3.9	3.6	0.6	Michael R. P. Smith	82
Manulife	Overall	Insurance Carriers	Insurance	372	3.7	3.6	3.5	2.8	3.1	2.7	0.5	Donald Guloien	86
Comerica	Overall	"Investment Banking &amp; Asset Management"	Finance	343	3.2	3.4	3.8	2.8	3.3	3.1	0.6	Ralph W. Babb Jr.	69
Ocbc Bank	Overall			301	3.2	0.0	0.0	0.0	0.0	0.0	0.0	Samuel N. Tsien	89
Kotak Mahindra	Overall	"Banks &amp; Credit Unions"	Finance	265	2.9	2.9	1.9	2.3	2.6	2.8	0.6	Uday S. Kotak	83
AXA	Overall	Insurance Carriers	Insurance	260	3.3	3.4	3.4	3.2	3.1	3.3	0.7	Henri de Castries	83
Westpac Group	Overall	"Banks &amp; Credit Unions"	Finance	212	3.3	0.0	0.0	0.0	0.0	0.0	0.0	Brian Hartzer	87
ABN AMRO	Overall	"Banks &amp; Credit Unions"	Finance	161	3.1	3.7	3.5	2.7	3.5	3.1	0.5	Gerrit Zalm	70
U.S. Trust	Overall	"Banks &amp; Credit Unions"	Finance	158	3.9	3.6	4.2	3.1	3.5	3.2	0.7	Keith T. Banks	89
Commerce Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	148	3.8	4.1	3.7	3.6	3.4	3.6	0.8	David W. Kemper	87
OneWest Bank	Overall	"Banks &amp; Credit Unions"	Finance	144	2.9	2.6	3.1	2.5	2.9	2.5	0.3	Joseph Otting	56
