[u'Lennar', u'Goodman Networks', u'Black &amp; Veatch', u'Fluor', u'Habitat for Humanity', u'Bechtel', u'URS Corporation', u'US Army', u'AT&T;', u'Parsons Corporation', u'Terracon', u'McGuyer Homebuilders', u'Multivista', u'Shawmut Design and Construction', u'United-Bilt Homes', u'US Air Force', u'Vanir Construction Management', u'Bluestream Professional Services', u'Standard Pacific', u'US Army Corps of Engineers', u'Shaw Group', u'NAVFAC', u'Global Environmental Technologies', u'Sprint', u'Richmond American Homes', u'Starbucks', u'Batson-Cook', u'KCI Technologies', u'Spire Consulting Group', u'Network Building &amp; Consulting', u'Burns &amp; McDonnell', u'Sundt', u'TIC - The Industrial Company', u'Kaiser Permanente', u'MasTec', u'CIM Group', u'Time Warner Cable', u'SUN Technical Services', u'Aimco Apartment Homes', u'WCA Waste', u'Engineering Consulting Services', u'HITT Contracting', u'Comcast', u"Chico's FAS", u'General Growth Properties', u'Bozzuto', u'Nicor', u'GREYHAWK', u'Pulte Homes', u'Turner Construction', u'Tradesmen International', u'Interior Management', u'Greenman-Pedersen', u'Tectonic Engineering &amp; Surveying Consultants PC', u'Port Authority of New York and New Jersey', u'Crown Castle', u'Walmart', u'Tyco', u'Lend Lease', u'MBP', u'Aerotek', u'David Weekley Homes', u'Kiewit Infrastructure West', u'PennDOT', u'HavenBrook Homes', u'Missouri Department of Transportation', u'DAVACO', u'Retail Group of America', u'FDH Velocitel', u'WCI Communities', u'Randstad US', u'Pirhl', u'Tufo Associates', u'Riverworks, Inc.', u'City of Tulsa', u"Carter's", u'Dorn Platz', u'Primestor Development', u'Hillsborough County Aviation Authority', u'Fischer Homes', u'B&B; Associates', u'H&M;', u'Pepper-Lawson Construction', u'Sears', u'Kansas City Power &amp; Light Company', u"Macy's", u'New York Department of Transportation', u'U.S. Army Reserve', u'Kforce', u'Ameresco', u'Wiggins/Lesley Palmetto Construction', u'Essence Custom Homes', u'Blattner Energy', u'BENTELER Group', u'Era Living', u'Hellas Construction', u'Avison Young', u'Commdex Consulting', u'Wilcox Professional Services', u'Aquatech International', u'Capital Design Group', u'Robert M. Henry Consultants', u'American Infrastructure', u'Picerne Military Housing', u'Government of Puerto Rico', u'Sunnyside School District', u'Argo Systems', u'GUARD-ALL BUILDING SOLUTIONS', u'Los Angeles USD', u'IMS Engineers', u'Straight Line Industries', u'Boka Powell', u'University of North Texas', u'CBRE', u'Pacific Gas and Electric', u'Gordian Design and Construction', u'Betacom', u'Parsons Brinckerhoff', u'Newport News Shipbuilding', u'Woolpert', u'TxDOT', u'Swan and Dolphin Resort', u'Hobby Lobby', u'Blue Book Network Contractors Register', u'Brohn Homes', u'Canusa', u'Green Canopy Homes', u'Eldeco', u'Webcor Builders', u'DCM Construction', u'Chicago Housing Authority', u'SAC Wireless', u'US Builders', u'City of Casa Grande', u'Houston Methodist', u'The Haskell Company', u'Deutsche Bank', u"Rogers-O'Brien Construction", u'Telnet (Rockville, MD)', u'Cato', u"Primary Children's Medical Center (Salt Lake City)", u'Las Vegas Paving', u'On The Level Enterprises', u'Charming Shoppes', u'Aspen Heights', u'Cricket Wireless', u'Dondlinger &amp; Sons Construction', u'Arkansas State Highway and Transportation Department', u'Urban Engineering', u'ConAgra Foods', u'Anthony &amp; Sylvan Pools', u'Pilot Flying J', u'State of Michigan', u'Methodist Hospital', u'Bartlett Nuclear, Inc', u'California Pacific Homes', u'TOTAL FACILITY SOLUTIONS', u'Wawa', u'Empire State Development', u'Burling Builders', u'Core Realty', u'Panhandle Builders and Excavating', u'Graycor', u'L &amp; L Construction Management', u"Dunkin' Brands", u'CastleRock Communities', u'DTE Energy', u'York Bridge Concepts', u'Haury &amp; Smith Contractors', u'Hawaiian Dredging Construction Co.', u'The Weitz Company LLC', u'US Department of State', u'Commercial Drywall &amp; Construction', u'Suffolk Construction', u'U.S. General Services Administration', u'BROUGHTON CONSTRUCTION', u'Long Wave', u'Hilton Garden Inn', u'BP', u'Campus Crest', u'GE', u'Edwards Construction', u'Parkhill Smith &amp; Cooper', u'Mycom', u'DAI (Utah)', u'Buckingham Companies', u'Songer Steel Services', u'New York City Transit Authority', u'Zayo', u'Hagerman Construction', u'Kenny Construction Company', u'Experis', u'Trident Seafoods', u'City of Hurst, Texas', u'Usfs', u'Gap', u'RCI', u'Jones, Edmunds &amp; Associates', u'Hamon Custodis', u'Los Angeles County Sanitation District', u'Denver Water', u'Inditex', u'Shepardville Construction', u'Holder Construction', u'HSBC Holdings', u'G. L. Homes', u'Clayco', u'IAS Builders', u'Jensen', u'Skanska USA Civil', u'Eastern Illinois University', u'Omniplex World Services Corporation', u'Sunrun', u'ProBuild', u'Bonner County, Idaho', u'XTO Energy', u'NEXTGEN GLOBAL RESOURCES', u'Encore Housing Opportunity Fund', u'Crossland Construction Company', u'Satellites Unlimited', u'Ashton Woods Homes', u'Fite &amp; Company Construction', u'Laliberte Construction Associates', u'San Ramon Valley USD', u'Kroger', u'Aarene Contracting', u'City of Plano, TX', u'Henry Company Homes', u'Broaddus &amp; Associates', u'Tishman', u'Innovative Turnaround Controls', u'Johnson, Mirmiran &amp; Thompson', u'New Jersey Community Development', u'Oklahoma State', u'Imperial Homes', u'Merck', u'Clackamas County', u'BEST', u"McDonald's", u'Maryland State Highway Administration', u'Ahtna Government Services', u'Reis', u'Center for Farm Financial Management', u'Group VI', u'Athavale Lystad and Associates', u'Big-D', u'Richfield Homes', u'Alaska Native Tribal Health Consortium', u'Raymond Construction', u'Flewelling &amp; Moody', u'Ghirardelli Associates', u'Newport Classic Homes', u'IDM Builders', u'Computer Cite', u'Flood Kleenup', u'NiSource', u'Nexius', u'Home HeadQuarters', u'Fort Hunter Liggett Fire Department', u'Hall-Irwin Construction', u'State of Maryland', u'Miracle Systems', u'PSEG', u"The Children's Museum of Indianapolis", u'Library of Congress', u'US Department of Defense', u'The Medve Group', u'WYDOT', u'Aqua America', u'R Florina Contractor']
Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
Lennar	Overall	Real Estate	Real Estate	129	3.1	3.1	2.9	2.9	3.2	3.1	0.5	Stuart A. Miller	83
Goodman Networks	Overall	Cable, Internet &amp; Telephone Providers	Telecommunications	179	2.3	2.4	2.6	2.0	2.9	2.1	0.3	Ron Hill	30
Black &amp; Veatch	Overall	Telecommunications Manufacturing	Telecommunications	11	3.8	0.0	0.0	0.0	0.0	0.0	0.0	Steven Clancy	80
Fluor	Overall	Construction	Construction, Repair &amp; Maintenance	671	3.8	3.6	3.4	3.2	3.6	3.4	0.8	David T. Seaton	80
Habitat for Humanity	Overall	Social Assistance	Non-Profit	343	3.9	4.2	3.7	3.4	2.8	3.1	0.8	Jonathan T. M. Reckford	90
Bechtel	Overall	Construction	Construction, Repair &amp; Maintenance	571	3.6	3.7	3.2	3.2	3.9	3.4	0.8	Bill Dudley	86
URS Corporation	Overall	Architectural &amp; Engineering Services	Business Services	1532	2.7	2.5	3.0	2.3	3.0	2.7	0.4	Michael S. Burke	41
US Army	Overall	
AT&T;	Overall	
Parsons Corporation	Overall	Construction	Construction, Repair &amp; Maintenance	339	3.3	3.3	3.4	2.8	3.5	3.2	0.6	Chuck Harrington	72
Terracon	Overall	
McGuyer Homebuilders	Overall	
Multivista	Overall	Construction	Construction, Repair &amp; Maintenance	12	3.2	0.0	0.0	0.0	0.0	0.0	0.0	Luis Pascual	80
Shawmut Design and Construction	Overall	
United-Bilt Homes	Overall	Construction	Construction, Repair &amp; Maintenance	23	3.1	3.0	2.5	3.0	3.3	2.9	0.5	Don Pitts	39
US Air Force	Overall	
Vanir Construction Management	Overall	Construction	Construction, Repair &amp; Maintenance	12	3.5	3.3	3.7	2.4	3.0	3.5	0.5	Guy Mehula, PE	0
Bluestream Professional Services	Overall	
Standard Pacific	Overall	
US Army Corps of Engineers	Overall	
Shaw Group	Overall	
NAVFAC	Overall	
Global Environmental Technologies	Overall	Accounting	Accounting &amp; Legal	3	5	0.0	0.0	0.0	0.0	0.0	0.0	Tim G. Wood	100
Sprint	Overall	
Richmond American Homes	Overall	Construction	Construction, Repair &amp; Maintenance	65	2.6	2.8	2.5	2.3	3.0	2.7	0.4	Larry A. Mizel	40
Starbucks	Overall	Fast-Food &amp; Quick-Service Restaurants	Restaurants, Bars &amp; Food Services	8395	3.8	4.0	3.4	3.2	3.8	3.4	0.8	Howard D. Schultz	91
Batson-Cook	Overall	
KCI Technologies	Overall	Architectural &amp; Engineering Services	Business Services	22	3.3	2.9	3.3	3.1	3.3	2.8	0.5	Terry F. Neimeyer	80
Spire Consulting Group	Overall	
Network Building &amp; Consulting	Overall	Advertising &amp; Marketing	Business Services	92	2.3	2.3	2.6	1.9	3.0	2.3	0.3	Rich Johnson	30
Burns &amp; McDonnell	Overall	Architectural &amp; Engineering Services	Business Services	220	3.8	3.9	3.2	3.6	3.7	3.5	0.7	Greg M. Graves	96
Sundt	Overall	
TIC - The Industrial Company	Overall	Construction	Construction, Repair &amp; Maintenance	64	3.8	3.6	2.7	3.1	3.8	3.5	0.8	Terry Carlsgaard	100
Kaiser Permanente	Overall	
CIM Group	Overall	Real Estate	Real Estate	32	3.5	3.0	2.9	2.9	3.4	3.4	0.5	Shaul Kuba	90
Time Warner Cable	Overall	
SUN Technical Services	Overall	Advertising &amp; Marketing	Business Services	15	3.4	2.8	3.0	2.5	2.9	2.5	0.6	Kathleen Jackson	100
Aimco Apartment Homes	Overall	Real Estate	Real Estate	199	3.9	4.1	3.4	3.8	3.6	3.7	0.8	Terry Considine	89
WCA Waste	Overall	Building &amp; Personnel Services	Business Services	12	2.2	1.3	2.5	1.9	2.5	2.0	0.2	Tom J. Fatjo Jr.	100
Engineering Consulting Services	Overall	Architectural &amp; Engineering Services	Business Services	17	3.2	3.1	2.6	3.3	2.9	2.6	0.5	Henry L. Lucas	82
HITT Contracting	Overall	
Comcast	Overall	Cable, Internet &amp; Telephone Providers	Telecommunications	3727	3.3	3.2	3.1	2.8	3.7	3.2	0.6	Brian L. Roberts	77
Chico's FAS	Overall	Department, Clothing, &amp; Shoe Stores	Retail	792	3.1	3.1	2.9	2.6	2.8	2.8	0.5	David F. Dyer	74
General Growth Properties	Overall	Real Estate	Real Estate	110	3.2	3.5	3.7	2.8	3.6	3.2	0.5	Sandeep Mathrani	54
Bozzuto	Overall	
Nicor	Overall	Utilities	Oil, Gas, Energy &amp; Utilities	48	2.9	2.7	3.1	2.3	3.4	2.6	0.6	Ralph Cleveland	42
GREYHAWK	Overall	Consulting	Business Services	3	2	0.0	0.0	0.0	0.0	0.0	0.0	Gary S. Berman	0
Pulte Homes	Overall	
Turner Construction	Overall	
Tradesmen International	Overall	Construction	Construction, Repair &amp; Maintenance	177	2.8	2.6	2.5	2.4	2.6	2.6	0.5	Joseph Wesley	52
Interior Management	Overall	
Greenman-Pedersen	Overall	
Tectonic Engineering &amp; Surveying Consultants PC	Overall	Consulting	Business Services	11	2.4	2.1	2.9	1.8	2.7	2.0	0.4	Donald Benvie	50
Port Authority of New York and New Jersey	Overall	Transportation Management	Transportation &amp; Logistics	123	3.3	2.9	3.8	2.5	3.0	3.1	0.6	Patrick J. Foye	25
Crown Castle	Overall	Telecommunications Services	Telecommunications	117	4	4.2	4.0	4.0	4.2	3.6	0.9	Ben Moreland	92
Walmart	Overall	General Merchandise &amp; Superstores	Retail	15661	3.1	2.9	2.7	2.6	2.9	3.2	0.5	Doug McMillon	63
Tyco	Overall	Security Services	Business Services	595	2.7	2.5	2.7	2.1	2.9	2.4	0.4	George R. Oliver	44
Lend Lease	Overall	Lending	Finance	192	3.5	3.5	3.0	3.0	3.3	3.4	0.8	Steve McCann	91
MBP	Overall	Architectural &amp; Engineering Services	Business Services	23	3.5	3.7	3.2	3.3	3.7	3.1	0.5	Charles E Bolyard Jr	87
Aerotek	Overall	Staffing &amp; Outsourcing	Business Services	1434	3.2	3.2	2.7	2.9	2.8	3.1	0.6	Todd Mohr	80
David Weekley Homes	Overall	Construction	Construction, Repair &amp; Maintenance	55	3.1	3.7	3.0	3.1	3.6	2.7	0.5	John Johnson	84
