Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
Walmart	Overall	"General Merchandise &amp; Superstores"	Retail	15661	3.1	2.9	2.7	2.6	2.9	3.2	0.5	Doug McMillon	63
Starbucks	Overall	"Fast-Food &amp; Quick-Service Restaurants"	"Restaurants, Bars &amp; Food Services"	8395	3.8	4.0	3.4	3.2	3.8	3.4	0.8	Howard D. Schultz	91
Sears	Overall	"Department, Clothing, &amp; Shoe Stores"	Retail	6353	2.6	2.5	2.7	2.2	2.3	2.5	0.3	Edward S. Lampert	21
GE	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	3890	3.8	3.6	3.4	3.3	3.5	3.7	0.8	Jeffrey R. Immelt	86
Comcast	Overall	"Cable, Internet &amp; Telephone Providers"	Telecommunications	3727	3.3	3.2	3.1	2.8	3.7	3.2	0.6	Brian L. Roberts	77
Gap	Overall	"Department, Clothing, &amp; Shoe Stores"	Retail	2703	3.6	3.8	3.4	3.1	3.3	3.1	0.7	Art Peck	83
Deutsche Bank	Overall	"Investment Banking &amp; Asset Management"	Finance	1904	3.3	3.2	3.3	2.8	3.3	3.1	0.6	John Cryan	90
URS Corporation	Overall	"Architectural &amp; Engineering Services"	Business Services	1532	2.7	2.5	3.0	2.3	3.0	2.7	0.4	Michael S. Burke	41
Aerotek	Overall	"Staffing &amp; Outsourcing"	Business Services	1434	3.2	3.2	2.7	2.9	2.8	3.1	0.6	Todd Mohr	80
Randstad US	Overall	"Staffing &amp; Outsourcing"	Business Services	1015	3.3	3.1	3.3	3.0	3.1	3.1	0.6	Linda Galipeau	68
Chico's FAS	Overall	"Department, Clothing, &amp; Shoe Stores"	Retail	792	3.1	3.1	2.9	2.6	2.8	2.8	0.5	David F. Dyer	74
Hobby Lobby	Overall	Other Retail Stores	Retail	760	3.1	3.1	2.9	2.7	3.3	2.7	0.5	David Green	66
Pacific Gas and Electric	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	677	3.6	3.4	3.4	3.0	4.0	3.6	0.8	Anthony F. Earley Jr.	85
Fluor	Overall	Construction	"Construction, Repair &amp; Maintenance"	671	3.8	3.6	3.4	3.2	3.6	3.4	0.8	David T. Seaton	80
Tyco	Overall	Security Services	Business Services	595	2.7	2.5	2.7	2.1	2.9	2.4	0.4	George R. Oliver	44
Bechtel	Overall	Construction	"Construction, Repair &amp; Maintenance"	571	3.6	3.7	3.2	3.2	3.9	3.4	0.8	Bill Dudley	86
US Department of State	Overall	Federal Agencies	Government	548	3.7	3.6	3.5	3.2	3.4	3.5	0.8	John Kerry	82
ConAgra Foods	Overall	"Food &amp; Beverage Manufacturing"	Manufacturing	546	3	2.9	3.3	2.5	3.5	2.9	0.5	Sean Connolly	35
Kiewit Infrastructure West	Overall	Construction	"Construction, Repair &amp; Maintenance"	479	3.2	3.3	2.4	2.9	3.4	3.5	0.6	Bruce E. Grewcock	84
Habitat for Humanity	Overall	Social Assistance	Non-Profit	343	3.9	4.2	3.7	3.4	2.8	3.1	0.8	Jonathan T. M. Reckford	90
Parsons Corporation	Overall	Construction	"Construction, Repair &amp; Maintenance"	339	3.3	3.3	3.4	2.8	3.5	3.2	0.6	Chuck Harrington	72
Carter s	Overall	"Department, Clothing, &amp; Shoe Stores"	Retail	317	3.3	3.6	3.1	3.1	2.7	3.1	0.6	Mike Casey	83
Parsons Brinckerhoff	Overall	"Architectural &amp; Engineering Services"	Business Services	306	3.3	3.2	3.5	2.7	3.2	3.1	0.6	George J. Pierson	61
Los Angeles USD	Overall	"Colleges &amp; Universities"	Education	291	3.3	3.0	3.6	2.6	3.3	3.0	0.7	John Deasy	29
Zayo	Overall	"Cable, Internet &amp; Telephone Providers"	Telecommunications	272	3.3	3.3	2.9	3.2	2.9	3.4	0.6	Dan Caruso	68
State of Michigan	Overall	"State &amp; Regional Agencies"	Government	267	3.4	2.9	3.7	2.7	3.5	3.0	0.6	"Richard Dale ""Rick"" Snyder"	47
Houston Methodist	Overall	"Health Care Services &amp; Hospitals"	Health Care	261	3.9	4.1	3.7	3.4	3.6	3.5	0.8	Marc Boom	93
Oklahoma State	Overall	"Colleges &amp; Universities"	Education	260	4.1	4.0	3.7	3.7	3.6	3.5	0.9	V. Burns Hargis	89
U.S. Army Reserve	Overall	Federal Agencies	Government	232	3.8	4.1	3.3	3.3	3.8	3.8	0.8	Jeffrey W. Talley	87
"Burns &amp; McDonnell"	Overall	"Architectural &amp; Engineering Services"	Business Services	220	3.8	3.9	3.2	3.6	3.7	3.5	0.7	Greg M. Graves	96
Aimco Apartment Homes	Overall	Real Estate	Real Estate	199	3.9	4.1	3.4	3.8	3.6	3.7	0.8	Terry Considine	89
Lend Lease	Overall	Lending	Finance	192	3.5	3.5	3.0	3.0	3.3	3.4	0.8	Steve McCann	91
Goodman Networks	Overall	"Cable, Internet &amp; Telephone Providers"	Telecommunications	179	2.3	2.4	2.6	2.0	2.9	2.1	0.3	Ron Hill	30
Tradesmen International	Overall	Construction	"Construction, Repair &amp; Maintenance"	177	2.8	2.6	2.5	2.4	2.6	2.6	0.5	Joseph Wesley	52
ProBuild	Overall	Construction	"Construction, Repair &amp; Maintenance"	166	2.7	2.5	2.8	2.5	3.0	2.4	0.4	Robert Marchbank	79
