Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
110 Consulting, Inc.	Overall	"Staffing &amp; Outsourcing"	Business Services	11	4.8	4.8	4.7	4.6	4.2	3.8	0.9	HEINRICH MONTANA	100
8020 Consulting	Overall	Accounting	"Accounting &amp; Legal"	13	4.8	4.7	4.6	4.7	4.9	4.7	0.9	David Lewis	100
ABeam Consulting	Overall	Consulting	Business Services	27	2.7	0.0	0.0	0.0	0.0	0.0	0.0	Toshinori Iwasawa	100
Accenture	Overall	Consulting	Business Services	14529	3.6	3.8	3.2	3.3	3.5	3.7	0.8	Pierre Nanterme	92
ACME Business Consulting	Overall	Consulting	Business Services	16	4.4	4.6	4.3	3.9	4.1	4.1	0.9	Kirk Cushing	100
Aegis Business Consulting	Overall	"Advertising &amp; Marketing"	Business Services	12	3.1	3.5	2.8	3.5	2.5	3.2	0.6		
Affirma Consulting	Overall	"Advertising &amp; Marketing"	Business Services	27	4.6	4.8	4.7	4.5	4.4	4.2	0.9	Michael Brown	76
AIM Consulting	Overall	IT Services	Information Technology	79	4.8	4.7	4.5	4.6	4.4	4.5	0.9	Bill VanSickle	100
Aita Consulting Services	Overall	"Health, Beauty, &amp; Fitness"	Consumer Services	13	4.3	3.9	4.2	4.1	3.9	3.9	0.9		
Ajilon Consulting	Overall	"Staffing &amp; Outsourcing"	Business Services	294	3.2	3.1	3.2	3.0	3.0	3.0	0.6	Jack Cullen	73
Akorbi	Overall	Consulting	Business Services	24	3.5	3.0	2.8	2.7	2.8	2.9	0.5	Claudia P. Mirza	36
Alliance Consulting Engineers	Overall	"Architectural &amp; Engineering Services"	Business Services	14	2.3	2.2	2.0	2.1	2.5	3.2	0.2	Deepal Eliatamby	22
Alliance Life Sciences Consulting Group	Overall	IT Services	Information Technology	34	2.4	2.2	2.5	2.3	2.9	2.3	0.3	Alan Crowther	35
Alpine Consulting	Overall	"Computer Hardware &amp; Software"	Information Technology	11	4.6	4.3	5.0	4.5	4.3	4.2	0.9	Stan Duda	87
American Technology Consulting	Overall	Consulting	Business Services	34	3.8	3.8	4.0	4.1	4.0	3.9	0.8	Tara Jose	96
Apex Group Consulting	Overall	"Advertising &amp; Marketing"	Business Services	12	4.2	4.4	3.6	4.4	4.2	4.3	0.8		
APR Consulting	Overall	Consulting	Business Services	18	3.1	3.2	3.5	3.3	3.0	2.7	0.4	Erlinda R. Stone	71
Aquinas Consulting	Overall	"Advertising &amp; Marketing"	Business Services	10	4.8	4.6	4.5	4.7	4.7	4.6	0.9	Pam Rasmidatta	100
Aspromonte Marketing	Overall	"Advertising &amp; Marketing"	Business Services	24	3.8	3.9	3.6	4.2	3.4	3.8	0.7	Nick Aspromonte	89
ATHENA Consulting	Overall	"Staffing &amp; Outsourcing"	Business Services	11	3.5	3.1	4.1	3.1	3.5	3.0	0.6	Melissa Pappas	57
Attune	Overall	IT Services	Information Technology	22	3.3	3.3	2.9	3.2	3.7	2.9	0.5	Vajira De Silva	78
Auriemma Consulting Group	Overall	Consulting	Business Services	11	3.9	0.0	0.0	0.0	0.0	0.0	0.0	Michael Auriemma	100
"Bain &amp; Company"	Overall	Consulting	Business Services	982	4.6	4.8	3.9	4.6	4.6	4.7	1.0	Bob Bechek	100
Bates White Economic Consulting	Overall	Consulting	Business Services	21	3.8	4.2	3.3	3.8	4.2	3.4	0.8	Charles E. Bates, PhD	100
BCG Digital Ventures	Overall			13	4.7	4.7	4.0	4.4	5.0	4.9	1.0	Jeff Schumacher	100
Beyondsoft Consulting	Overall	Consulting	Business Services	32	2.9	2.4	3.5	2.6	3.1	2.8	0.4		
Blue Chip Consulting Group	Overall	IT Services	Information Technology	15	3.6	3.7	3.3	3.8	4.0	3.5	0.7	Jim Peelman	100
Blue Pearl Consulting	Overall	Consulting	Business Services	10	1.7	1.8	2.1	2.0	1.7	1.7	0.2		
Bluehawk Consulting	Overall	Consulting	Business Services	10	4.6	4.4	4.3	4.7	4.8	4.4	1.0	Tami Martin	100
Blueprint Consulting Services	Overall	IT Services	Information Technology	15	3.7	3.5	3.1	3.3	3.1	3.3	0.6	Ryan Neal	87
Bodhtree	Overall	"Computer Hardware &amp; Software"	Information Technology	32	3.3	2.9	2.8	2.6	2.7	2.8	0.5		
Boston Consulting Group	Overall	Consulting	Business Services	848	4.2	4.4	3.1	4.0	4.4	4.4	0.9	Rich Lesser	97
