[u'North Carolina State University', u'Education Management Corporation', u'University of Utah', u'McGraw-Hill Education', u'Wiley', u'Follett Higher Education Group', u'Randstad', u'EF Education First', u'UC Riverside', u'DeVry Education Group', u'Career Education', u'Corinthian Colleges', u'Grand Canyon University', u'VWR International', u'The Church of Jesus Christ of Latter Day Saints', u'Aramark Higher Education', u'Laureate Education', u'Full Sail University', u'Amplify', u'Boston College', u'Anthem Education', u'Kaplan Higher Education', u'Argosy University', u'State of New Jersey', u'The Palo Alto Medical Foundation', u'American Public University System', u'The Cambridge Institute of International Education', u'Heritage College &amp; Institute', u'Institute of International Education', u'Ross Medical Education Center', u'State of Connecticut', u'Montclair State', u'Connections Education', u'Brightside Academy', u'Delta Career Education Corporation', u'Community Education Centers', u'American Student Assistance', u"St. Edward's", u'US Department of Education', u'Pheaa', u'The College of New Jersey', u'Hawaii State Department of Education', u'Kaplan International Colleges', u'Globe University', u'SunGard Higher Education', u'Uplift Education', u'Premier Education', u'Great Lakes Higher Education', u'Education Affiliates', u'Education Inc.', u'International Education Corporation', u'Spring Independent School District', u'Rocketship Education', u'Edgenuity', u'Education Development Center, Inc.', u'EDR', u'Arizona Department of Education', u'Zenith Education', u'Empire Education Group', u'Vatterott Education Centers, Inc.', u'Becker Professional Education', u'UEI', u'Benchmark Education', u'ORISE', u'West Chester University', u'Steiner Education', u'STAR Education', u'Mohela', u'Education Pioneers', u'American Councils for International Education', u'Halstrom Academy', u'Minnesota Reading Corps', u'Education Corporation of America', u'CORE Education &amp; Consulting Solutions', u'Cabarrus County Schools', u'Education Sales Management', u'Camelot Education', u'Buffalo Public Schools', u'Compass Education', u'Los Angeles County Office of Education', u'Cincinnati Public Schools', u'Artcraft Health', u'McREL', u'U.S. Department of Education Upward Bound', u'Florida Department of Education', u'Puerto Rico Department of Education', u'Match Education', u'EMS (Education Management Solutions)', u'Macmillan Science and Education', u'National Education Association', u'Chicago Board of Education', u'Kaplan Professional Education', u'Mosaica Education', u'WES', u'Illuminate Education', u'Education Logistics', u'Texas Education Agency', u'Landmark Education', u'Brensten Education', u'Education Elements', u'InReach Continuing Education Solutions', u'Total Education Solutions', u'American Council on Education', u'New Oriental', u'Ameson', u'Savannah Chatham County BOE', u'American College of Education', u'Harris County Department of Education', u'Consumer Education Outreach', u'New York State Education Department', u'New Haven Public Schools', u'Paul Mitchell Advanced Education', u'CCRES', u'NCIRE', u'Prism Career Institute', u'SR Education Group', u'Mastery Education', u'Responsive Education Solutions', u'Riverside County Office of Education', u'Harcourt Education', u'Richmond County Board of Education', u'TCS Education', u'GlobalHealth Education &amp; Training', u'Bank Street College of Education', u'The Education Trust', u'AIC Education', u'Hamilton County Department of Education', u'American Society for Engineering Education', u'Calvert Education', u'Reading Town', u'Quest CE', u'Gilfus Education Group', u'Career Advisor', u'Elizabeth Board of Education', u'Arbor Education and Training', u'Keypath Education', u'University of The State of New York', u'SJCOE', u'The Core Institute', u'Duke Corporate Education', u'Springhouse Education and Consulting Services', u'Prodigy Point', u'Kaleidoscope Education Solutions', u'NSHE (Nevada System of Higher Education)', u'VIF International Education', u'San Diego County Office of Education', u'State of New Jersey Department of Education', u'Aspire Education Project', u'Triumph Higher Education Group', u'Kanawha County Schools', u'CBC Education', u'Relay Graduate School of Education', u'Fuel Education', u'Education Connection', u'UP Education Network', u'Speed School District 802', u'Futures Education &amp; Futures Healthcore', u'Pathways in Education', u'Specialized Treatment, Education and Prevention Services', u'Region 4 Education Service Center', u'Professional Education Institute', u'GLSEN', u'Santa Barbara County Education Office', u'US Department of Education Office for Civil Rights', u'Assessment Technologies Institute', u'Maryland State Department of Education', u'Illinois State Board of Education', u'South Carolina Department of Education', u'Education Futures Group', u'Say Yes to Education', u'I-TECH', u'GEG', u'California DOE', u'Messa', u'Ambassador Education Solutions', u'Douglas Education Center', u'Center for Organ Recovery &amp; Education', u'The Patient Education Institute', u'York University', u'Synergis Education', u'Benjamin Cummings, A Division of Pearson Education', u'Education, Travel &amp; Culture', u'Liquid Education', u'UHEAA', u'Kentucky Department of Education', u'McKeon Education Group', u'The Chicago Public Education Fund', u'eGenio Education Solutions', u'Synergy Medical Education', u'WE', u'Worcester County Board of Education', u'Monterey County Office of Education', u'Tuscaloosa City Schools', u'Positive Education Program', u'San Mateo County Office of Education', u'Discovery Education', u'TCOE', u'EAST BRUNSWICK TOWNSHIP BOARD OF EDUCATION', u'PCI Education', u'NCME', u'Solano County Office of Education', u'Lee County Board of Education', u'Texas Higher Education Coordinating Board', u'CAE (Council for Aid to Education)', u'Missouri Department of Elementary and Secondary ED', u'Education Management Systems', u'Louisiana Department of Education', u'Education Northwest', u'Northwest Regional Education Service District', u'Education Reform Now', u'ChildCare Education Institute', u'Los Gatos-Saratoga Community Education and Recreation', u'Victory Education Partners', u'Bridgeport Public Schools', u'Denise Louie Education Center', u'Corrective Education Company', u'New Star Leadership Education Center', u'Blueprint Education', u'Palo Alto Institute for Research and Education', u'Ohio Department of Education', u'Region 10 ESC', u'Passaic City School District', u'Association for Career and Technical Education', u'Regent Education', u'Utah Education Network', u'NHHEAF', u'Ministry of Education', u'WholeRen Education', u'ESC Region XIII', u'MHEC', u'CAMPUS Education', u'Marin County Office of Education', u'NEVADA CAREER INSTITUTE', u'Middletown Township School District', u'Austin Partners in Education', u'Vision Education &amp; Media', u'MYEEP', u'Kings Education', u'Teachers R US', u'Nurtury', u'Newtown Public Schools', u'IU Health', u'ChanceLight\xe2&bdquo;\u02d8 Behavioral Health and Education', u'Garden City Public Schools', u'Merced County Office of Education', u'Joy Outdoor Education Center', u'Govt Education Dept', u'Abu Dhabi Education Council', u'Charles County Board of Education', u'Asheville City Schools Board of Education', u'RESULTS Education Fund', u'Kings County Office of Education', u'NSSED', u'Oklahoma Department of Education', u'Decision Education Foundation', u'Multnomah Education Service District', u'LEARN', u'Thompson Island Outward Bound Education Center', u'SVEF', u'The Department for Education (UK)', u'WEAC', u'West Windsor-Plainsboro Regional School District', u'CENIC', u'Rutherford County Board of Education', u'Taurus Education', u'International Education Opportunities', u'New Brunswick Public School District', u'Real Estate Education Center', u'Rich Dad Education', u'Region 7 Education Service Center', u'Fedloan Servicing', u'Norwalk Board of Education', u'Heartland Area Education Agency', u'RM Education', u'Dalbey Education Institute', u'CEAWP', u'SEIU UHW-West &amp; Joint Employer Education Fund', u'IDP Education', u'MAHEC', u'Foundation for Individual Rights in Education', u'Health Education Council', u'Sonoma County Office of Education', u'Food Allergy Research &amp; Education', u'Sheltering Arms Early Education and Family Centers', u'Reading for Education', u'Southeast Kansas Education Service Center', u'INSTITUTE FOR BILINGUAL EDUCATION', u'Huron Valley Recreation', u'Debt Education &amp; Certification Foundation (DECAF)', u'CWE', u'SREB', u'Sailing Education Adventures', u'CalSERVES', u'Houston Association for Space &amp; Science Education', u'Birmingham Board of Education', u'Parent Institute for Quality Education', u'Physicians Education Resource', u'CORE Education &amp; Technologies', u'Institute of Continuing Legal Education in Michigan', u'Origo Education', u'Washington County Board of Education', u'DISCOVERY EDUCATION SERVICES', u'Milwaukee Tennis &amp; Education Foundation', u'Cooperative Association for Special Education', u'International Education Management', u'Wayne County Board of Education', u'Camden County Schools Board of Education', u'Center for Autism Education', u'Education.com', u'Chyten Education Services', u'Empire Education Corp', u'Philadelphia Veteran Multi-Service Education Center', u'Lee-Ogle ROE', u'Samyook SDA Language Institute', u'Shelby County Schools (Alabama)', u'New Century Education', u'PREL', u'Baltimore Research &amp; Education Foundation', u'OEI', u'FORE']
Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
North Carolina State University	Overall	
Education Management Corporation	Overall	Colleges &amp; Universities	Education	482	2.5	2.2	2.6	2.1	3.0	2.3	0.3	Edward H. West	21
University of Utah	Overall	Colleges &amp; Universities	Education	451	4	3.9	4.0	3.6	3.5	3.5	0.9	David W. Pershing, Ph.D.	93
McGraw-Hill Education	Overall	
Wiley	Overall	Publishing	Media	413	3.1	3.1	3.9	2.5	3.4	2.5	0.5	Mark Allin	74
Follett Higher Education Group	Overall	Media &amp; Entertainment Retail Stores	Retail	354	2.9	3.1	3.3	2.6	2.6	2.8	0.5	Don Germano	47
Randstad	Overall	Staffing &amp; Outsourcing	Business Services	570	3.5	3.1	3.2	2.9	2.8	3.0	0.6	Jacques van den Broek	81
EF Education First	Overall	Education Training Services	Education	576	3.4	3.9	3.2	3.2	2.8	3.0	0.7	Eddie Hult	87
UC Riverside	Overall	Colleges &amp; Universities	Education	310	4	3.9	3.9	3.8	3.6	3.7	0.9	Kim A. Wilcox	83
DeVry Education Group	Overall	Colleges &amp; Universities	Education	305	3.4	3.5	3.6	3.2	3.5	3.2	0.6	Daniel Hamburger	83
Career Education	Overall	Colleges &amp; Universities	Education	274	2.6	2.3	2.7	1.9	2.8	2.1	0.3	Todd Nelson	0
Corinthian Colleges	Overall	Colleges &amp; Universities	Education	270	2.5	2.5	2.9	2.2	3.2	2.5	0.2	Jack D. Massimino	27
Grand Canyon University	Overall	Colleges &amp; Universities	Education	260	3.3	3.4	3.3	2.9	3.4	2.9	0.6	Brian Mueller	77
VWR International	Overall	Wholesale	Business Services	271	3.3	3.3	3.4	3.0	3.0	3.0	0.7	Manuel Brocke-Benz	89
The Church of Jesus Christ of Latter Day Saints	Overall	Religious Organizations	Non-Profit	226	4.3	4.4	4.4	3.7	3.8	3.3	0.9	Thomas S. Monson	99
Aramark Higher Education	Overall	Catering &amp; Food Service Contractors	Restaurants, Bars &amp; Food Services	238	3.1	2.8	2.7	2.6	2.9	3.1	0.6	Chris Hackem	55
Laureate Education	Overall	Education Training Services	Education	247	2.5	2.4	2.5	2.2	3.2	2.5	0.3	Doug Becker	53
Full Sail University	Overall	Colleges &amp; Universities	Education	183	3.3	3.7	3.4	2.9	2.9	2.8	0.6	Garry Jones	82
Amplify	Overall	K-12 Education	Education	174	2.9	3.0	3.9	2.3	3.3	2.5	0.3	Joel Klein	30
Boston College	Overall	Colleges &amp; Universities	Education	175	4.3	4.5	4.1	4.0	3.7	3.5	0.9	William P. Leahy	85
Anthem Education	Overall	Education Training Services	Education	103	2.5	2.3	2.7	2.3	2.8	2.6	0.2		
Kaplan Higher Education	Overall	Colleges &amp; Universities	Education	112	3	3.0	3.4	2.9	3.1	2.4	0.5	Andrew Rosen	67
Argosy University	Overall	Colleges &amp; Universities	Education	94	3	2.8	3.2	2.3	3.2	2.6	0.4	Craig Swenson	23
State of New Jersey	Overall	State &amp; Regional Agencies	Government	89	3.2	2.8	3.9	2.8	3.5	3.1	0.7		
The Palo Alto Medical Foundation	Overall	Health Care Services &amp; Hospitals	Health Care	93	3.5	3.4	3.4	3.0	3.5	3.2	0.8	Richard Slavin	86
American Public University System	Overall	Colleges &amp; Universities	Education	78	3.4	3.4	3.8	2.8	3.2	2.7	0.6	Dr. Wallace E. Boston	90
The Cambridge Institute of International Education	Overall	K-12 Education	Education	67	1.7	1.7	1.9	1.7	2.0	1.8	0.2	Christine Lin	14
Heritage College &amp; Institute	Overall	Colleges &amp; Universities	Education	65	2.5	2.3	2.4	2.3	3.0	2.8	0.3	Eric Chiusolo	45
Institute of International Education	Overall	Education Training Services	Education	78	2.7	3.3	3.3	2.9	2.6	3.0	0.6	Allan Goodman	88
Ross Medical Education Center	Overall	Education Training Services	Education	67	2.9	2.7	2.9	2.9	2.7	2.9	0.5	George Grayeb	44
State of Connecticut	Overall	State &amp; Regional Agencies	Government	67	3.9	3.7	3.6	3.5	3.9	3.5	0.9	Dannel P. Malloy	62
Montclair State	Overall	Colleges &amp; Universities	Education	60	3.4	3.4	3.4	2.6	3.1	3.1	0.6	Susan A. Cole	57
Connections Education	Overall	Education Training Services	Education	59	3.3	3.5	3.7	3.0	3.0	3.3	0.7	Dr. Steven Guttentag	68
Brightside Academy	Overall	Preschool &amp; Child Care	Education	57	1.7	1.8	2.2	1.8	1.8	2.0	0.2	Mark Kehoe	13
Delta Career Education Corporation	Overall	Colleges &amp; Universities	Education	63	1.8	1.9	2.1	1.5	2.1	1.8	0.2	John Olsen	9
Community Education Centers	Overall	Security Services	Business Services	58	1.9	1.9	2.0	1.6	1.7	1.9	0.2	John J. Clancy	17
American Student Assistance	Overall	Social Assistance	Non-Profit	60	3.6	4.2	4.4	3.5	3.7	3.1	0.7	Paul Combe	93
St. Edward's	Overall	Colleges &amp; Universities	Education	53	3.9	3.9	4.0	3.3	3.6	3.2	0.8	George E. Martin	90
US Department of Education	Overall	Federal Agencies	Government	51	3.8	3.4	3.8	3.0	3.4	3.2	0.8	Thomas Skelly	96
Pheaa	Overall	Lending	Finance	48	2.6	2.4	3.2	2.6	3.3	3.2	0.5	James L. Preston	48
The College of New Jersey	Overall	Colleges &amp; Universities	Education	46	3.9	3.9	3.9	3.4	3.6	2.9	0.8	R. Barbara Gitenstein	72
Hawaii State Department of Education	Overall	Federal Agencies	Government	46	3.1	3.2	3.4	2.5	3.1	3.3	0.6	Randolph G. Moore	12
Kaplan International Colleges	Overall	Education Training Services	Education	62	2.4	2.6	2.5	2.1	2.4	2.3	0.4		
Globe University	Overall	Colleges &amp; Universities	Education	52	3	3.1	3.0	2.5	2.3	2.7	0.5		
SunGard Higher Education	Overall	IT Services	Information Technology	66	3.2	2.7	3.4	2.2	3.5	2.7	0.4	Ron Lang	69
Uplift Education	Overall	K-12 Education	Education	41	2.5	2.6	2.3	2.2	2.2	3.1	0.4	Yasmin Bhatia	52
Premier Education	Overall	Education Training Services	Education	39	2.4	2.6	2.5	2.7	2.8	2.6	0.4		
Great Lakes Higher Education	Overall	Grantmaking Foundations	Non-Profit	40	3.7	3.5	3.3	3.4	3.8	2.9	0.7	Richard D. (Dick) George	99
Education Affiliates	Overall	Education Training Services	Education	40	2.2	2.1	2.6	2.3	2.7	2.1	0.2	Duncan M. Anderson	11
Education Inc.	Overall	Health Care Services &amp; Hospitals	Health Care	38	2.7	2.8	2.7	2.6	2.0	2.5	0.4	Kenneth Munies	57
International Education Corporation	Overall	Colleges &amp; Universities	Education	34	3.1	2.9	3.0	3.0	2.9	2.8	0.5	Fardad Fateri	60
Spring Independent School District	Overall	Preschool &amp; Child Care	Education	35	2.6	2.4	3.0	2.1	3.3	3.0	0.4	Ralph Draper	38
Rocketship Education	Overall	K-12 Education	Education	35	2.8	3.1	2.0	2.7	3.6	3.5	0.4	Preston Smith	48
Edgenuity	Overall	Colleges &amp; Universities	Education	36	3.1	3.2	3.2	2.8	3.0	2.9	0.5	Sari Factor	63
Education Development Center, Inc.	Overall	Research &amp; Development	Business Services	37	3.4	3.5	3.7	2.8	3.5	2.8	0.7	Luther Luedtke	25
EDR	Overall	Real Estate	Real Estate	35	4.1	3.9	3.7	3.9	3.9	3.7	0.9	Randy Churchey	97
Arizona Department of Education	Overall	State &amp; Regional Agencies	Government	34	2.5	2.3	3.2	2.3	2.6	2.2	0.3	John Huppenthal	31
Zenith Education	Overall			32	2.4	2.5	2.9	1.8	3.0	1.7	0.2		
Empire Education Group	Overall	Colleges &amp; Universities	Education	38	3.3	3.3	3.2	2.7	3.1	3.3	0.6	Franklin K. Schoeneman	68
Vatterott Education Centers, Inc.	Overall	Colleges &amp; Universities	Education	29	2	1.5	1.8	1.5	2.8	2.2	0.1	Pam Bell	13
