Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
EF Education First	Overall	Education Training Services	Education	576	3.4	3.9	3.2	3.2	2.8	3.0	0.7	Eddie Hult	87
Randstad	Overall	"Staffing &amp; Outsourcing"	Business Services	570	3.5	3.1	3.2	2.9	2.8	3.0	0.6	Jacques van den Broek	81
Education Management Corporation	Overall	"Colleges &amp; Universities"	Education	482	2.5	2.2	2.6	2.1	3.0	2.3	0.3	Edward H. West	21
University of Utah	Overall	"Colleges &amp; Universities"	Education	451	4	3.9	4.0	3.6	3.5	3.5	0.9	David W. Pershing, Ph.D.	93
Wiley	Overall	Publishing	Media	413	3.1	3.1	3.9	2.5	3.4	2.5	0.5	Mark Allin	74
Follett Higher Education Group	Overall	"Media &amp; Entertainment Retail Stores"	Retail	354	2.9	3.1	3.3	2.6	2.6	2.8	0.5	Don Germano	47
UC Riverside	Overall	"Colleges &amp; Universities"	Education	310	4	3.9	3.9	3.8	3.6	3.7	0.9	Kim A. Wilcox	83
DeVry Education Group	Overall	"Colleges &amp; Universities"	Education	305	3.4	3.5	3.6	3.2	3.5	3.2	0.6	Daniel Hamburger	83
Career Education	Overall	"Colleges &amp; Universities"	Education	274	2.6	2.3	2.7	1.9	2.8	2.1	0.3	Todd Nelson	0
VWR International	Overall	Wholesale	Business Services	271	3.3	3.3	3.4	3.0	3.0	3.0	0.7	Manuel Brocke-Benz	89
IU Health	Overall	"Health Care Services &amp; Hospitals"	Health Care	271	3.2	3.2	3.1	2.7	3.0	3.2	0.5	Daniel F. Evans, Jr.	32
Corinthian Colleges	Overall	"Colleges &amp; Universities"	Education	270	2.5	2.5	2.9	2.2	3.2	2.5	0.2	Jack D. Massimino	27
Grand Canyon University	Overall	"Colleges &amp; Universities"	Education	260	3.3	3.4	3.3	2.9	3.4	2.9	0.6	Brian Mueller	77
Laureate Education	Overall	Education Training Services	Education	247	2.5	2.4	2.5	2.2	3.2	2.5	0.3	Doug Becker	53
Aramark Higher Education	Overall	"Catering &amp; Food Service Contractors"	"Restaurants, Bars &amp; Food Services"	238	3.1	2.8	2.7	2.6	2.9	3.1	0.6	Chris Hackem	55
The Church of Jesus Christ of Latter Day Saints	Overall	Religious Organizations	Non-Profit	226	4.3	4.4	4.4	3.7	3.8	3.3	0.9	Thomas S. Monson	99
Full Sail University	Overall	"Colleges &amp; Universities"	Education	183	3.3	3.7	3.4	2.9	2.9	2.8	0.6	Garry Jones	82
Boston College	Overall	"Colleges &amp; Universities"	Education	175	4.3	4.5	4.1	4.0	3.7	3.5	0.9	William P. Leahy	85
Amplify	Overall	K-12 Education	Education	174	2.9	3.0	3.9	2.3	3.3	2.5	0.3	Joel Klein	30
Kaplan Higher Education	Overall	"Colleges &amp; Universities"	Education	112	3	3.0	3.4	2.9	3.1	2.4	0.5	Andrew Rosen	67
Anthem Education	Overall	Education Training Services	Education	103	2.5	2.3	2.7	2.3	2.8	2.6	0.2		
