[u'Energy One', u'Ministry of Energy and Energy Affairs', u'US Energy Efficiency and Renewable Energy', u'Citi', u'GE', u'Halliburton', u'University of Illinois at Urbana-Champaign', u'Yelp', u'GE Aviation', u'University of Illinois at Chicago', u'Kiewit Corporation', u'Duke Energy', u'GE Power', u'BNP Paribas', u'IHS', u'Siemens Energy', u'Rolls-Royce', u'Chesapeake Energy', u'Direct Energy', u'Xcel Energy', u'NextEra Energy, Inc.', u'Commonwealth of Massachusetts', u'Kinder Morgan', u'DTE Energy', u'GE Oil &amp; Gas', u'NRG Energy', u'PSEG', u'Valero Energy', u'FirstEnergy', u'EnerNOC', u'CONSOL Energy', u'TXU Energy', u'GE Energy Management', u'Key Energy Services', u'SNH', u'P2 Energy Solutions', u'RGS Energy', u'PPL', u'Global Efficient Energy', u'Bloom Energy', u'Monster Energy', u'Southwestern Energy', u'Bruker', u'Sempra Energy', u'Just Energy', u'SCANA', u'Ambit Energy', u'XTO Energy', u'Alpha Natural Resources', u'Federal Energy Regulatory Commission', u'Reliant Energy', u'Spectra Energy', u'C3 Energy', u'Green Mountain Energy', u'Covanta', u'ONEOK', u'Alliant Energy', u'Atmos Energy', u'IGS Energy', u'PECO Energy', u'Axon EP', u'Infinite Energy', u'Select Energy Services', u'Superior Energy', u'EDF', u'SM Energy', u'NV Energy', u'Eversource Energy', u'Forum Oilfield', u'Apex Energy Solutions', u'Energy Transfer Partners', u'Real Energy Solutions', u'Rockwater Energy Solutions', u'NAES', u'Wood Group', u'Enphase Energy', u'Energy Future Holdings', u'Chart Industries', u'Brand Energy And Infrastructure Services', u'Fraunhofer Gesellschaft', u'Advanced Energy', u'SandRidge Energy', u'Progress Energy', u'GDF SUEZ Energy North America', u'PECI', u'Dover Corporation', u'C&J; Energy Services', u'CPS Energy', u'Peabody Energy', u'NuStar Energy', u'Linn Energy', u'Austin Energy', u'Energy BBDO', u'Able Services', u'DNV Kema Energy &amp; Sustainability', u'MidAmerican Energy', u'Spark Energy', u'Willdan Group', u'LG&E; and KU Energy', u'MarkWest Energy Partners', u'OneRoof Energy', u'Gexa Energy', u'The Energy Project', u'GenOn Energy', u'EP Energy', u'Commercial Energy', u'Patriot Energy Group', u'RTI International Metals', u'Integrys Energy Group', u'Express Energy Services Operating', u'DC Energy', u'SunCoke Energy', u'Enbridge', u'Basic Energy Services', u'Westar Energy', u'Hart Energy Publishing LLLP', u'Enbridge Energy', u'Rockstar', u'EnergySolutions', u'Cinco Energy Services', u'JP Energy Partners', u'OGE Energy', u'Crius Energy', u'Cudd Pressure Control', u'Lime Energy', u'Urban Green Energy', u'WPX Energy', u'Great River Energy', u'Exelon Energy', u'Hunting Energy Services', u'ABC Energy', u'Aera Energy', u'Clean Energy Fuels', u'Alliance to Save Energy (ASE)', u'Franklin Energy', u'Mitsubishi Nuclear Energy Systems', u'Cimarex Energy', u'Suncor', u'Glacial Energy', u'ASRC Energy', u'Patterson-UTI Energy', u'Energy &amp; Resource Solutions', u'Energy Curtailment Specialists', u'Nouria Energy', u'FuelCell Energy', u'APR Energy', u'PBF Energy', u'California Energy Commission', u'J-W Energy Company', u'Progress Energy Florida', u'WECC', u'Eagle Rock Energy', u'CVR', u'Orion Energy Systems', u'MBI Energy Services', u'Nalco Energy Services', u'Pepco Energy Services', u'Swift Energy', u'Dayton Power &amp; Light', u'Chaparral Energy', u'Walter Industries', u'Tallgrass Energy Partners', u'Pathfinder Energy Services', u'Energy Northwest', u'NYSERDA', u'TEA', u'Simple Energy', u"Greene's Energy Group", u'Seventy Seven Energy', u'Helix Energy Solutions', u'EFI (Massachusetts)', u'Constellation Energy Commodities', u'Florida Energy Water &amp; Air', u'Metromedia Energy', u'Locus Energy', u'Nexen', u'Ensign Energy Services', u'Murray Energy', u'Jacobus Energy', u'Energy East', u'TECO Energy', u'HB Rentals', u'AEP Energy', u'Lewis Energy Group', u'Champion Energy Services', u'Tower Energy', u'Integrys Energy Services', u'Brookfield Renewable Energy Group', u'Stream Energy', u'Cheniere Energy', u'MS Energy Services', u'TAS Energy', u'Entrust Energy', u'Energy Remodeling', u'Pattern Energy', u'Energy Solutions International', u'Viridian', u'Optimum Energy', u'Suzlon Wind Energy', u'MGE Energy', u'Recurrent Energy', u'NOCO', u'Santanna Energy Services', u'Vermont Energy Investment', u'Citizens Energy Group', u'Blattner Energy', u'Merit Energy', u'Cathedral Energy', u'Energy Solutions', u'Husky Energy', u'Leslie Controls', u'Southface Energy Institute', u'World Energy', u'PFC Energy', u'Progressive Global Energy', u'HETCO', u'Mercuria Energy', u'Energy Alloys', u'NorthWestern Energy', u'Cloud Peak Energy', u'DOE Joint Genome Institute', u'Broadwind Energy', u'DRS TEM', u'NuTech', u'CIRCOR Energy', u'Alliance Energy', u'Flyers Energy', u'XALT Energy', u'Petrohawk Energy', u'RBS Sempra Commodities', u'EMCOR Energy Services', u'Brunel Energy', u'Aquion Energy', u'Energy Systems Group', u'Pumpco Energy Services', u'Truenorth', u'Acciona Energy NA', u'MPC Energy', u'Dominion East Ohio', u'Bes-Tech', u'Direct Energy Solar', u'Tara Energy', u'Energy Information Administration', u'Incite Energy', u'Packers Plus', u'Talisman Energy', u'Rex Energy', u'Sequent Energy Management', u'Bloomberg New Energy Finance', u'BHI Energy', u'SouthStar Energy Services', u'Black Elk Energy', u'Aces Power Marketing', u'Sunverge Energy', u'Clean Energy Collective', u'State Energy Conservation', u'Natonal Energy Technology Lab', u'Percheron', u'Bridge Energy Group', u'Bentek Energy Consulting', u'Global Energy Services USA', u'Center for Sustainable Energy', u'Green Plains', u'Solar Energy World', u'Bureau of Ocean Energy Management', u'Nanyang Technological University', u'Cool Planet Energy Systems', u'Edison Mission Energy', u'Talisman Energy USA', u'WGES', u'Gibson Energy Ltd.', u'Alliance to Save Energy', u'Global Energy Network Institute', u'Chemoil', u'National', u'Energy XXI', u'Unified Energy Alliance', u'Virent', u'Acacia Energy', u'NGL Energy Partners', u'Planet Energy', u'M&H; Energy Services', u'Elysian Energy', u'QC Energy Resources', u'XXX Energy Drink', u'FPL Energy Services', u'Energy Acuity', u'Maryland Energy Administration', u'Smart Energy USA', u'Global Solar Energy', u'Fortune Energy', u'Irving Oil Limited', u'Energy Corporation of America', u'Truman Arnold', u'Energy Recruiters', u'Pioneer Energy Services', u'Sprague Energy', u'Blue Oak Energy', u'Noble Americas Energy Solutions', u'Battelle Energy Alliance', u'Hilcorp Energy', u'Choose Energy', u'Renew', u'Blue Racer Midstream', u'Savanna Energy Services', u'Energy One of Atlanta', u'AmeraTex Energy', u'Energy Enterprise Solutions', u'American Energy Partners', u'OpTerra Energy Group', u'McClinton Energy', u'Energy Recovery', u'REC SILICON', u'Energy Maintenance Services', u'Renewable Energy Group', u'Premium Valve Servies', u'Diamondback Energy', u'Northern Tier Energy', u'Viridity Energy', u'Magna Energy Services', u'Green Field Energy', u'Tucker Energy Services', u'1st Light Energy', u'UniSource Energy', u'Enbase Energy Technology', u'Pelican Energy Consultants', u'Continuum Energy Services', u'Nexus Energy Software', u'Hoosier Energy', u'XL Energy Drink', u'CENG', u'Jones Energy', u'ACORE', u'Energy Plus Company', u'LDH Energy', u'Energy Services Group', u'TAG Energy Group', u'Gateway Energy Services', u'Swan Energy', u'Commerce Energy Group', u'Genesis Energy', u'Community Energy Services Corporation', u'GU Energy Labs', u'IEA Renewable Energy', u'US Energy Development Corporation', u'Wisconsin Public Service', u'Housepro Energy Solutions', u'Solar Energy Industries Association', u'BlueStar Energy', u'Teledyne Energy Systems', u'Association For Energy Affordability', u'Summit Energy', u'Inspire Energy', u'Bluestone Energy Services', u'Energy Conversion', u'SunGard Energy Systems', u'Energy Services', u'CMS Energy', u'Pacific Energy Concepts', u'Mass Energy Lab', u'One Energy (Nevada)', u'Sid Richardson Carbon &amp; Energy', u'KeySpan Energy', u'Atlas Energy', u'Benham Companies', u'Blade Energy Partners', u'Energy Coordinating', u'Nationwide Energy Partners', u'KS Energy', u'Chevron Energy Solutions', u'Bonanza Creek', u'Amerex Brokers', u'Energy &amp; Environmental Research Center', u'Touchstone Energy', u'Seminole Energy Services', u'Resolute Energy Partners', u'Hudson Energy Services', u'Aschere Energy', u'T3 Energy Services', u'Direct Energy Marketing Limited', u'Maxus Energy', u'EPS', u'Energy &amp; Resource Consulting Group', u'CHOICE! Energy', u'Energy Intelligence Group', u'Energy Fuels', u'Shipley Energy Company', u'Consumer Energy Solutions', u'Elevate Energy', u'Nine Energy Service', u'BPZ Energy', u'Renewable Choice Energy', u'Hanwha International Corp', u'Sapphire Energy', u'Griffith Energy Services', u'Clayton Williams Energy', u'Stone Energy', u'RAM Energy', u'Parity Energy', u'SUEZ Energy Resources']
Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
Energy One	Overall	Construction	Construction, Repair &amp; Maintenance	20	3.7	3.9	4.0	3.6	3.7	3.7	0.6		
Ministry of Energy and Energy Affairs	Overall	Federal Agencies	Government	1	4	0.0	0.0	0.0	0.0	0.0	0.0		
US Energy Efficiency and Renewable Energy	Overall	Federal Agencies	Government	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
Citi	Overall	Investment Banking &amp; Asset Management	Finance	4329	3.4	3.2	3.4	2.9	3.3	3.3	0.7	Michael Corbat	82
GE	Overall	Energy	Oil, Gas, Energy &amp; Utilities	3890	3.8	3.6	3.4	3.3	3.5	3.7	0.8	Jeffrey R. Immelt	86
Halliburton	Overall	Oil &amp; Gas Services	Oil, Gas, Energy &amp; Utilities	1276	3.3	3.0	2.6	2.7	3.7	3.3	0.6	Dave Lesar	74
University of Illinois at Urbana-Champaign	Overall	Colleges &amp; Universities	Education	776	4.2	3.9	3.9	3.5	3.5	3.7	0.9	Phyllis Wise	69
Yelp	Overall	Internet	Information Technology	547	3.6	4.0	3.9	3.5	3.3	3.5	0.7	Jeremy Stoppelman	89
GE Aviation	Overall	Aerospace &amp; Defense	Aerospace &amp; Defense	593	3.8	3.9	3.5	3.6	3.8	4.0	0.9	David L. Joyce	91
University of Illinois at Chicago	Overall	Colleges &amp; Universities	Education	483	3.8	3.6	3.9	3.3	3.3	3.2	0.8	Paula Allen-Meares	63
Kiewit Corporation	Overall	Construction	Construction, Repair &amp; Maintenance	479	3.2	3.3	2.4	2.9	3.4	3.5	0.6	Bruce E. Grewcock	84
Duke Energy	Overall	Energy	Oil, Gas, Energy &amp; Utilities	332	3.6	3.6	3.6	3.2	3.7	3.4	0.7	Lynn J. Good	88
GE Power	Overall	Energy	Oil, Gas, Energy &amp; Utilities	356	3.8	3.8	3.6	3.5	3.8	4.0	0.8	Steve Bolze	86
IHS	Overall	Publishing	Media	422	3.3	3.2	3.7	2.8	3.3	3.0	0.6	Jerre Stead	86
Siemens Energy	Overall	Electrical &amp; Electronic Manufacturing	Manufacturing	347	3.6	3.5	3.6	2.9	3.5	3.3	0.8	Lisa A. Davis	82
Rolls-Royce	Overall	Aerospace &amp; Defense	Aerospace &amp; Defense	529	3.3	2.9	3.3	2.5	3.2	3.0	0.6	John Rishton	50
Chesapeake Energy	Overall	Oil &amp; Gas Exploration &amp; Production	Oil, Gas, Energy &amp; Utilities	223	3.7	3.6	3.8	3.2	4.3	3.3	0.7	Robert D. Lawler	73
Direct Energy	Overall	Energy	Oil, Gas, Energy &amp; Utilities	269	2.9	3.0	3.1	2.7	3.3	2.8	0.4	Badar Khan	79
Xcel Energy	Overall	Utilities	Oil, Gas, Energy &amp; Utilities	201	3.2	3.0	3.2	2.6	3.4	3.1	0.7	Benjamin G.S. Fowke III	57
NextEra Energy, Inc.	Overall	Utilities	Oil, Gas, Energy &amp; Utilities	203	3.2	3.3	2.7	2.8	3.4	3.3	0.6	James L. Robo	68
Commonwealth of Massachusetts	Overall	State &amp; Regional Agencies	Government	193	3.5	3.6	3.9	3.1	2.9	3.1	0.7	Deval Patrick	90
Kinder Morgan	Overall	Oil &amp; Gas Services	Oil, Gas, Energy &amp; Utilities	193	3.5	3.3	3.1	2.9	3.7	3.3	0.6	Rich Kinder	83
DTE Energy	Overall	Utilities	Oil, Gas, Energy &amp; Utilities	184	3.8	3.8	3.8	3.2	4.0	3.5	0.8	Gerard M. Anderson	95
GE Oil &amp; Gas	Overall	Oil &amp; Gas Services	Oil, Gas, Energy &amp; Utilities	282	3.4	3.3	3.2	2.6	3.2	3.1	0.6	Lorenzo Simonelli	76
NRG Energy	Overall	Energy	Oil, Gas, Energy &amp; Utilities	171	3.3	3.0	3.1	2.8	3.5	3.0	0.6	David W. Crane	73
PSEG	Overall	Utilities	Oil, Gas, Energy &amp; Utilities	168	3.3	3.2	3.3	3.0	3.6	3.2	0.7	Ralph Izzo	81
Valero Energy	Overall	Oil &amp; Gas Exploration &amp; Production	Oil, Gas, Energy &amp; Utilities	174	3.8	3.9	3.5	3.5	3.9	3.4	0.7	Joe Gorder	95
FirstEnergy	Overall	Utilities	Oil, Gas, Energy &amp; Utilities	166	3.4	3.1	3.1	3.0	3.5	3.4	0.7	Anthony J. Alexander	61
EnerNOC	Overall	Enterprise Software &amp; Network Solutions	Information Technology	166	3.5	3.8	3.3	3.1	3.3	3.7	0.7	Tim Healy	69
CONSOL Energy	Overall	Mining	Mining &amp; Metals	95	2.6	2.5	2.7	2.0	3.4	2.2	0.2	Nicholas J. DeIuliis	22
TXU Energy	Overall	Utilities	Oil, Gas, Energy &amp; Utilities	97	3.2	3.5	3.0	3.0	3.5	3.0	0.6	Jim Burke	92
GE Energy Management	Overall	Energy	Oil, Gas, Energy &amp; Utilities	115	3.1	3.1	3.3	2.6	3.7	3.4	0.6	Mark W. Begor	60
Key Energy Services	Overall	Oil &amp; Gas Exploration &amp; Production	Oil, Gas, Energy &amp; Utilities	83	2.6	2.8	2.8	2.2	2.8	2.4	0.4	Dick Alario	61
SNH	Overall	Financial Analytics &amp; Research	Finance	74	3.9	3.6	3.7	3.7	3.3	3.7	0.8	Jevin Sackett	82
P2 Energy Solutions	Overall	Enterprise Software &amp; Network Solutions	Information Technology	81	3.2	3.3	3.5	3.0	2.8	2.6	0.5	Amy Zupon	88
RGS Energy	Overall	Energy	Oil, Gas, Energy &amp; Utilities	72	2.3	2.5	2.9	2.0	2.3	2.3	0.3	Dennis Lacey	38
PPL	Overall	Energy	Oil, Gas, Energy &amp; Utilities	80	3.7	3.6	3.9	3.4	3.8	3.2	0.8	William H. Spence	75
Global Efficient Energy	Overall	Energy	Oil, Gas, Energy &amp; Utilities	68	2.8	2.6	2.6	2.8	3.3	2.8	0.4	Abe Issa	46
Bloom Energy	Overall	Energy	Oil, Gas, Energy &amp; Utilities	84	3	2.9	2.9	2.4	2.5	2.6	0.5	K.R. Sridhar	63
Monster Energy	Overall	Food &amp; Beverage Manufacturing	Manufacturing	79	4.3	4.1	4.3	3.7	3.6	3.4	0.8	Rodney C. Sacks	97
Southwestern Energy	Overall	Oil &amp; Gas Services	Oil, Gas, Energy &amp; Utilities	70	3.6	3.1	3.3	3.0	4.0	3.0	0.7	Steven L. Mueller	61
Bruker	Overall	Biotech &amp; Pharmaceuticals	Biotech &amp; Pharmaceuticals	81	2.8	3.1	3.3	2.5	3.1	2.6	0.4	Frank H. Laukien	46
Sempra Energy	Overall	Utilities	Oil, Gas, Energy &amp; Utilities	73	4.1	3.6	3.8	3.5	3.8	3.3	0.8	Debra Reed	96
Just Energy	Overall	Utilities	Oil, Gas, Energy &amp; Utilities	149	2.1	2.4	1.9	2.1	2.4	2.5	0.3	James Lewis and Deborah Merril	36
SCANA	Overall	Energy	Oil, Gas, Energy &amp; Utilities	65	3.4	3.6	3.8	3.1	3.2	3.0	0.7	Kevin Marsh	74
Ambit Energy	Overall	Utilities	Oil, Gas, Energy &amp; Utilities	57	3.6	3.6	3.8	3.2	3.8	3.7	0.6	Jere W. Thompson Jr.	87
XTO Energy	Overall	Oil &amp; Gas Exploration &amp; Production	Oil, Gas, Energy &amp; Utilities	58	3.9	4.4	4.2	3.9	4.1	3.4	0.9	Randy Cleveland	99
Alpha Natural Resources	Overall	Mining	Mining &amp; Metals	57	2.8	3.1	2.8	2.9	3.2	2.5	0.4	Kevin S. Crutchfield	46
Federal Energy Regulatory Commission	Overall	Federal Agencies	Government	63	4	3.7	4.5	3.5	3.8	3.5	0.9	Cheryl LaFleur	95
Reliant Energy	Overall	Utilities	Oil, Gas, Energy &amp; Utilities	57	2.8	2.4	3.2	2.3	2.9	2.7	0.6	Elizabeth Killinger	76
Spectra Energy	Overall	Oil &amp; Gas Services	Oil, Gas, Energy &amp; Utilities	70	3.7	3.8	4.0	3.3	3.6	3.3	0.8	Greg Ebel	99
C3 Energy	Overall	Energy	Oil, Gas, Energy &amp; Utilities	62	4.6	4.5	3.8	4.6	4.6	4.6	0.9	Thomas M. Siebel	95
Green Mountain Energy	Overall	Energy	Oil, Gas, Energy &amp; Utilities	54	3.2	3.7	3.5	2.9	3.0	2.8	0.6	Elizabeth Killinger	100
Covanta	Overall	Energy	Oil, Gas, Energy &amp; Utilities	54	2.8	2.7	2.5	2.3	3.4	2.6	0.5	Steve Jones	62
ONEOK	Overall	Transportation Management	Transportation &amp; Logistics	53	3.4	3.7	3.5	3.1	3.4	2.9	0.8	Terry K. Spencer	74
Alliant Energy	Overall	Utilities	Oil, Gas, Energy &amp; Utilities	56	3.3	3.6	3.5	3.3	3.7	3.1	0.7	Patricia Kampling	99
Atmos Energy	Overall	Oil &amp; Gas Services	Oil, Gas, Energy &amp; Utilities	51	3.8	4.2	4.0	3.7	3.9	3.4	0.8	Kim R. Cocklin	94
