Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
Citi	Overall	"Investment Banking &amp; Asset Management"	Finance	4329	3.4	3.2	3.4	2.9	3.3	3.3	0.7	Michael Corbat	82
GE	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	3890	3.8	3.6	3.4	3.3	3.5	3.7	0.8	Jeffrey R. Immelt	86
Halliburton	Overall	"Oil &amp; Gas Services"	"Oil, Gas, Energy &amp; Utilities"	1276	3.3	3.0	2.6	2.7	3.7	3.3	0.6	Dave Lesar	74
University of Illinois at Urbana-Champaign	Overall	"Colleges &amp; Universities"	Education	776	4.2	3.9	3.9	3.5	3.5	3.7	0.9	Phyllis Wise	69
GE Aviation	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	593	3.8	3.9	3.5	3.6	3.8	4.0	0.9	David L. Joyce	91
Yelp	Overall	Internet	Information Technology	547	3.6	4.0	3.9	3.5	3.3	3.5	0.7	Jeremy Stoppelman	89
Rolls-Royce	Overall	"Aerospace &amp; Defense"	"Aerospace &amp; Defense"	529	3.3	2.9	3.3	2.5	3.2	3.0	0.6	John Rishton	50
University of Illinois at Chicago	Overall	"Colleges &amp; Universities"	Education	483	3.8	3.6	3.9	3.3	3.3	3.2	0.8	Paula Allen-Meares	63
Kiewit Corporation	Overall	Construction	"Construction, Repair &amp; Maintenance"	479	3.2	3.3	2.4	2.9	3.4	3.5	0.6	Bruce E. Grewcock	84
IHS	Overall	Publishing	Media	422	3.3	3.2	3.7	2.8	3.3	3.0	0.6	Jerre Stead	86
Suncor	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	361	3.6	3.3	3.1	3.2	4.0	3.1	0.7	Steve Williams	88
GE Power	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	356	3.8	3.8	3.6	3.5	3.8	4.0	0.8	Steve Bolze	86
Siemens Energy	Overall	"Electrical &amp; Electronic Manufacturing"	Manufacturing	347	3.6	3.5	3.6	2.9	3.5	3.3	0.8	Lisa A. Davis	82
Duke Energy	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	332	3.6	3.6	3.6	3.2	3.7	3.4	0.7	Lynn J. Good	88
"GE Oil &amp; Gas"	Overall	"Oil &amp; Gas Services"	"Oil, Gas, Energy &amp; Utilities"	282	3.4	3.3	3.2	2.6	3.2	3.1	0.6	Lorenzo Simonelli	76
Direct Energy	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	269	2.9	3.0	3.1	2.7	3.3	2.8	0.4	Badar Khan	79
Direct Energy Marketing Limited	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	269	2.9	3.0	3.1	2.7	3.3	2.8	0.4	Badar Khan	79
Chesapeake Energy	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	223	3.7	3.6	3.8	3.2	4.3	3.3	0.7	Robert D. Lawler	73
NextEra Energy, Inc.	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	203	3.2	3.3	2.7	2.8	3.4	3.3	0.6	James L. Robo	68
Xcel Energy	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	201	3.2	3.0	3.2	2.6	3.4	3.1	0.7	Benjamin G.S. Fowke III	57
Commonwealth of Massachusetts	Overall	"State &amp; Regional Agencies"	Government	193	3.5	3.6	3.9	3.1	2.9	3.1	0.7	Deval Patrick	90
Kinder Morgan	Overall	"Oil &amp; Gas Services"	"Oil, Gas, Energy &amp; Utilities"	193	3.5	3.3	3.1	2.9	3.7	3.3	0.6	Rich Kinder	83
DTE Energy	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	184	3.8	3.8	3.8	3.2	4.0	3.5	0.8	Gerard M. Anderson	95
Fraunhofer Gesellschaft	Overall	"Research &amp; Development"	Business Services	181	3.9	3.4	3.7	2.8	3.2	3.1	0.7	Reimund Neugebauer	85
Valero Energy	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	174	3.8	3.9	3.5	3.5	3.9	3.4	0.7	Joe Gorder	95
NRG Energy	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	171	3.3	3.0	3.1	2.8	3.5	3.0	0.6	David W. Crane	73
Edison Mission Energy	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	171	3.3	3.0	3.1	2.8	3.5	3.0	0.6	David W. Crane	73
