Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
"General Sports &amp; Entertainment"	Overall	Sporting Goods Stores	Retail	1571	3.2	0.0	0.0	0.0	0.0	0.0	0.0	Edward W. Stack	69
AMC Entertainment	Overall	Movie Theaters	"Arts, Entertainment &amp; Recreation"	1027	3.1	3.1	3.0	2.9	2.3	2.8	0.5	Gerry Lopez	63
Six Flags	Overall	"Museums, Zoos &amp; Amusement Parks"	"Arts, Entertainment &amp; Recreation"	900	3.4	3.3	3.1	3.1	2.8	3.2	0.6	James W. P. (Jim) Reid-Anderson	87
Regal Entertainment	Overall	"Sports &amp; Recreation"	"Arts, Entertainment &amp; Recreation"	838	3.2	3.0	3.2	3.0	2.5	2.9	0.6	Amy E. Miles	66
BAM!	Overall	"Media &amp; Entertainment Retail Stores"	Retail	679	2.9	2.9	3.0	2.7	2.4	2.7	0.4	Terry Finley	47
Turner Broadcasting	Overall	"TV Broadcast &amp; Cable Networks"	Media	654	3.6	3.5	3.7	3.0	3.6	3.0	0.7	John Martin	55
Caesars Entertainment	Overall	"Sports &amp; Recreation"	"Arts, Entertainment &amp; Recreation"	625	3	3.0	2.6	2.5	3.1	3.0	0.5	Mark Frissora	48
"A &amp; D Entertainment"	Overall	"Food &amp; Beverage Manufacturing"	Manufacturing	509	3.6	3.6	3.1	2.9	3.6	3.3	0.7	Grant F. Reid	91
Clear Channel	Overall	Radio	Media	508	3	3.1	3.3	2.7	2.6	2.7	0.5	Bob Pittman	56
Ubisoft	Overall	Video Games	Media	442	3.6	3.9	4.0	3.3	3.5	3.2	0.7	Yves Guillemot	91
Warner Bros.	Overall	"Motion Picture Production &amp; Distribution"	Media	370	3.7	3.4	3.3	3.1	3.6	3.1	0.7	Kevin Tsujihara	78
Universal Studios	Overall	"Motion Picture Production &amp; Distribution"	Media	362	3.8	3.8	3.5	3.3	3.4	3.5	0.8	Ron Meyer	92
Ticketmaster	Overall	Ticket Sales	"Arts, Entertainment &amp; Recreation"	234	3.5	3.5	3.6	3.1	3.1	3.4	0.7	Jared Smith and Mark Yovich	85
Cineplex Entertainment	Overall	Movie Theaters	"Arts, Entertainment &amp; Recreation"	222	3.3	0.0	0.0	0.0	0.0	0.0	0.0	Ellis Jacob	66
Twentieth Century Fox	Overall	"Motion Picture Production &amp; Distribution"	Media	221	3.7	3.6	3.5	3.2	3.5	3.4	0.8	Jim Gianopoulos	98
Deluxe Entertainment	Overall	"Motion Picture Production &amp; Distribution"	Media	221	2.8	2.4	2.4	2.3	2.9	2.5	0.4	John Wallace	40
Paramount Pictures	Overall	"Motion Picture Production &amp; Distribution"	Media	220	3.5	3.7	3.8	3.1	3.1	3.3	0.8	Brad Grey	41
