Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
Fresh Market	Overall	"Grocery Stores &amp; Supermarkets"	Retail	787	2.6	2.6	2.4	2.2	2.3	2.5	0.4	Richard Anicetti	36
SYSCO Food Services of Atlanta	Overall	Wholesale	Business Services	518	3.1	2.9	2.7	2.7	3.3	3.1	0.6	Bill DeLaney	74
Mars	Overall	"Food &amp; Beverage Manufacturing"	Manufacturing	509	3.6	3.6	3.1	2.9	3.6	3.3	0.7	Grant F. Reid	91
Gordon Food Service	Overall	"Logistics &amp; Supply Chain"	"Transportation &amp; Logistics"	365	3.6	3.8	3.3	3.3	3.3	3.3	0.7	Jim Gordon	85
Giant Food Stores	Overall	Vehicle Dealers	Retail	347	3.1	2.9	2.9	2.4	2.8	2.7	0.5	Tom Lenkevich	59
Save-A-Lot Food Stores	Overall	"Food &amp; Beverage Stores"	Retail	324	2.8	2.6	2.5	2.3	2.6	2.6	0.4	Ritchie Casteel	45
Tyson Foods	Overall	"Food &amp; Beverage Manufacturing"	Manufacturing	295	3.4	3.5	3.0	3.2	3.6	3.3	0.7	Donnie Smith	83
Hardee's	Overall	"Fast-Food &amp; Quick-Service Restaurants"	"Restaurants, Bars &amp; Food Services"	252	3	2.8	2.7	2.6	2.2	2.8	0.5	Andrew F. Puzder	65
Bojangles'	Overall	Casual Restaurants	"Restaurants, Bars &amp; Food Services"	214	2.9	3.0	2.6	2.6	2.5	2.9	0.4	Clifton Rutledge	73
FDA	Overall	Federal Agencies	Government	210	3.9	3.9	4.2	3.5	3.6	3.6	0.9	Margaret Hamburg, M.D.	84
Price Chopper Supermarkets (NY)	Overall	"Food &amp; Beverage Stores"	Retail	200	2.9	2.8	2.9	2.5	2.8	2.8	0.5	"Jerel T. ""Jerry"" Golub"	61
Illinois Institute of Technology	Overall	"Colleges &amp; Universities"	Education	194	3.8	3.8	3.9	3.4	2.9	3.4	0.8	John L. Anderson	67
University of Arkansas	Overall	"Colleges &amp; Universities"	Education	177	4.2	4.2	4.1	3.6	3.3	3.5	0.9	Dr. G. David Gearhart	95
DSM	Overall	Chemical Manufacturing	Manufacturing	139	3.2	3.2	3.0	2.6	3.3	2.9	0.5	Feike Sijbesma	59
Lowes Foods	Overall	"Food &amp; Beverage Stores"	Retail	134	3.3	3.5	3.1	3.1	2.7	3.0	0.6	Tim Lowe	75
"Smith's Food &amp; Drug"	Overall	Vehicle Dealers	Retail	115	3	2.9	2.6	2.5	3.3	3.0	0.4	Jay Cummins	54
Reinhart Foodservice	Overall	Wholesale	Business Services	114	2.9	2.8	2.3	2.6	3.4	2.7	0.5	Jeff King	91
Food City	Overall	Vehicle Dealers	Retail	79	3.1	3.1	3.4	2.8	2.5	2.7	0.6	Steven C. Smith	72
Food 4 Less	Overall	Vehicle Dealers	Retail	79	3.2	3.2	2.7	3.0	3.4	3.5	0.5	Bryan Kaltenbach	50
Bottom Dollar Food	Overall	"Grocery Stores &amp; Supermarkets"	Retail	76	3.6	3.7	3.7	3.2	3.4	3.4	0.5	Meg Ham	65
Cru	Overall	Religious Organizations	Non-Profit	75	4	4.4	4.1	4.0	3.7	3.8	0.9	Stephen Douglass	95
ARYZTA	Overall	"Food &amp; Beverage Manufacturing"	Manufacturing	73	2.2	1.8	1.8	2.1	2.4	2.7	0.2	Owen Killian	42
Randalls	Overall	Vehicle Dealers	Retail	68	2.6	2.6	2.7	2.4	2.3	2.3	0.4	Bob Miller	52
"Lunds &amp; Byerlys"	Overall	"Grocery Stores &amp; Supermarkets"	Retail	66	3.8	4.1	3.5	3.9	3.4	3.5	0.7	Tres Lund III	95
JBS USA Holdings, Inc.	Overall	"Food &amp; Beverage Manufacturing"	Manufacturing	63	2.8	2.7	2.7	2.5	2.9	3.0	0.5	Andre Nogueira	77
Food Safety Net Services	Overall	"Biotech &amp; Pharmaceuticals"	"Biotech &amp; Pharmaceuticals"	59	2.8	2.9	2.2	2.6	2.4	2.7	0.5	John W. Bellinger	54
Martin's Food Market	Overall	"Grocery Stores &amp; Supermarkets"	Retail	58	2.7	2.9	3.1	2.5	2.8	2.6	0.2	Rick Herring	85
U.S. Department of Agriculture	Overall	Federal Agencies	Government	57	3.7	3.4	3.9	3.3	3.6	3.2	0.8		
Ovations Food Services	Overall	"Catering &amp; Food Service Contractors"	"Restaurants, Bars &amp; Food Services"	57	2.8	2.6	2.7	2.2	2.1	2.0	0.5	Kenneth J. Young	67
Johnny Carino's	Overall	"Fast-Food &amp; Quick-Service Restaurants"	"Restaurants, Bars &amp; Food Services"	53	3	2.8	3.1	2.3	2.0	2.6	0.6		
Pet Food Express	Overall	Vehicle Dealers	Retail	49	3.5	4.2	3.3	3.1	3.0	2.9	0.8	"Michael Levy &amp; Mark Witriol"	92
Food Services of America	Overall	"Catering &amp; Food Service Contractors"	"Restaurants, Bars &amp; Food Services"	48	3.3	3.4	2.6	2.9	3.3	3.1	0.6	Doug Minert	76
Woodman's Food Market	Overall	Vehicle Dealers	Retail	47	2.9	2.7	1.9	2.2	4.2	2.7	0.3		
Labatt Food Service	Overall	Wholesale	Business Services	44	3	2.7	2.9	2.6	3.2	2.5	0.6	Blair Labatt	77
Granite City	Overall	Casual Restaurants	"Restaurants, Bars &amp; Food Services"	42	3.3	3.1	3.3	3.1	3.1	3.5	0.7	Robert J. Doran	100
"Sara Lee Food &amp; Beverage"	Overall	"Food &amp; Beverage Manufacturing"	Manufacturing	39	3	3.5	3.6	2.8	4.0	3.0	0.5	Marcel Smits	42
"Shoppers Food &amp; Pharmacy"	Overall	Vehicle Dealers	Retail	33	3.1	3.3	2.5	2.6	2.8	3.0	0.4	Tim Lowe	48
IFPRI	Overall	Accounting	"Accounting &amp; Legal"	31	4.1	4.2	4.2	3.6	3.5	3.3	1.0	Shenggen Fan	99
K-VA-T Food Stores	Overall	Vehicle Dealers	Retail	29	2.8	2.9	2.9	2.8	2.7	2.5	0.5	Steve Smith	67
Shakey's	Overall	"Fast-Food &amp; Quick-Service Restaurants"	"Restaurants, Bars &amp; Food Services"	29	2.8	3.0	2.3	2.4	2.4	2.4	0.4	Joseph A. (Joe) Remsa Jr.	75
Maines	Overall	Casual Restaurants	"Restaurants, Bars &amp; Food Services"	28	2	2.1	2.1	1.7	3.0	2.4	0.3	Chris Mellon	33
Food Bank For New York City	Overall	Industrial Manufacturing	Manufacturing	26	2.3	2.3	2.5	2.1	3.1	2.4	0.3	Margarette Purvis	48
Flying Food	Overall	"Catering &amp; Food Service Contractors"	"Restaurants, Bars &amp; Food Services"	25	3	2.3	2.2	1.9	2.8	2.7	0.6	Sue L. Gin	61
SYSCO Food Services of Houston	Overall	Wholesale	Business Services	20	3.4	3.4	3.3	3.2	3.8	3.2	0.5	W. Keith Miller	84
Landmark Industries	Overall	Wholesale	Business Services	20	2.1	2.3	2.3	2.0	2.1	2.2	0.4	Steven Dujka	45
Food Depot	Overall	Vehicle Dealers	Retail	19	2.6	2.4	2.8	2.6	2.0	2.4	0.4	Gerald Taylor and Raymond Johnson	79
Associated Food	Overall	Wholesale	Business Services	19	2.9	3.1	3.0	2.5	2.5	2.3	0.5	Rich Parkinson	74
A'Viands	Overall	Casual Restaurants	"Restaurants, Bars &amp; Food Services"	16	2.7	2.3	3.1	1.8	2.7	1.9	0.3	William J. Benzick	41
UFCW International	Overall	Casual Restaurants	"Restaurants, Bars &amp; Food Services"	15	3.3	3.5	3.4	3.2	4.4	2.8	0.6	Joseph T. Hansen	82
Heartland Food Services	Overall	Casual Restaurants	"Restaurants, Bars &amp; Food Services"	14	1.8	2.0	2.2	1.9	2.1	2.1	0.2		
Clemens Food Group	Overall	"Food &amp; Beverage Manufacturing"	Manufacturing	14	2.7	3.2	2.8	3.0	2.9	3.2	0.5	Doug Clemens	61
Treat America Food Services	Overall	"Catering &amp; Food Service Contractors"	"Restaurants, Bars &amp; Food Services"	14	2.4	2.6	2.9	2.1	2.4	2.0	0.2	John Mitchell	66
Ball Metal Food Container Corp	Overall	Industrial Manufacturing	Manufacturing	13	3.4	2.9	2.7	2.6	4.0	3.0	0.4	R. David Hoover	70
SYSCO Food Services of San Francisco	Overall	Wholesale	Business Services	13	2.5	1.7	2.4	1.9	2.9	2.7	0.3	Bruce V. Luong	15
US Food Safety and Inspection Service	Overall	Federal Agencies	Government	13	3.2	2.7	3.3	2.4	3.8	2.4	0.4	Robert Tynan	29
Cosentino's Market	Overall	"Department, Clothing, &amp; Shoe Stores"	Retail	12	3.3	2.8	3.0	2.2	3.3	3.0	0.4	John Cosentino	100
Southeast Frozen Foods	Overall	Wholesale	Business Services	12	2.3	2.1	2.7	2.5	2.4	2.7	0.2	Rich Bauer	42
Haddon House	Overall	Wholesale	Business Services	12	2.6	3.1	2.8	3.0	3.5	3.0	0.7	David Anderson	39
Food For The Hungry	Overall	Social Assistance	Non-Profit	12	3.4	0.0	0.0	0.0	0.0	0.0	0.0	Gary Edmonds	100
Clover Food Lab	Overall	Casual Restaurants	"Restaurants, Bars &amp; Food Services"	11	3	3.3	3.3	2.8	2.5	3.0	0.5	Ayr Muir	49
Copps Food Center	Overall			11	2.8	2.4	3.0	2.1	2.6	2.3	0.5		
SYSCO Food Services of Los Angeles	Overall	Wholesale	Business Services	11	2.8	2.3	2.0	2.6	3.2	2.8	0.5	Daniel S. Haag	42
ConAgra Foods Ingredients	Overall	"Food &amp; Beverage Manufacturing"	Manufacturing	11	3.3	3.3	3.6	3.3	4.1	3.3	0.5	Paul Maass	100
