Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
Executive Health Resources	Overall	Insurance Carriers	Insurance	3620	3	3.0	3.0	2.5	2.9	2.9	0.5	Steve Hemsley	68
3M	Overall	Chemical Manufacturing	Manufacturing	962	3.7	3.7	3.6	3.2	3.7	3.5	0.8	Inge G. Thulin	88
Cigna	Overall			927	3.4	3.4	3.5	3.2	3.4	3.3	0.6	David Cordani	88
Cardinal Health	Overall	Wholesale	Business Services	803	3.4	3.4	3.3	3.0	3.3	3.2	0.7	George S. Barrett	88
University of Minnesota	Overall	"Colleges &amp; Universities"	Education	784	4	3.9	4.0	3.3	3.5	3.3	0.9	Eric W. Kaler	86
Harvard University	Overall	"Colleges &amp; Universities"	Education	771	4	3.9	3.7	3.4	3.6	3.8	0.9	Drew Gilpin Faust	90
Aon	Overall	"Insurance Agencies &amp; Brokerages"	Insurance	649	3.4	3.3	3.2	3.1	3.3	3.1	0.6	Greg Case	80
Yale University	Overall	"Colleges &amp; Universities"	Education	480	4.2	3.9	3.6	3.3	3.6	3.7	0.9	Peter Salovey	94
ResCare	Overall	"Health Care Services &amp; Hospitals"	Health Care	456	2.4	2.5	2.6	2.3	2.1	2.4	0.3	Ralph G. Gronefeld Jr.	29
University of Georgia	Overall	"Colleges &amp; Universities"	Education	444	3.8	3.8	3.9	3.4	3.0	3.1	0.8	Jere W. Morehead	86
George Washington University	Overall	"Colleges &amp; Universities"	Education	429	3.6	3.4	3.6	3.0	3.2	3.2	0.7	Steven Knapp	73
Mayo Clinic	Overall	"Health Care Services &amp; Hospitals"	Health Care	424	3.9	3.9	3.8	3.4	3.8	3.5	0.8	John H. Noseworthy	93
UC Irvine Health	Overall	"Colleges &amp; Universities"	Education	419	4.2	4.0	3.9	3.6	3.6	3.6	0.9	Howard Gillman	94
UNC Chapel Hill	Overall	"Colleges &amp; Universities"	Education	347	3.9	3.8	3.8	3.3	3.0	3.3	0.9	Carol L. Folt	88
Elsevier	Overall	Publishing	Media	336	3.1	2.7	3.5	2.3	3.1	2.4	0.4	Ron Mobed	55
Novant Health	Overall	"Health Care Services &amp; Hospitals"	Health Care	274	2.9	3.1	3.0	2.6	3.1	2.8	0.5	Carl Armato	61
Indiana University Health	Overall	"Health Care Services &amp; Hospitals"	Health Care	271	3.2	3.2	3.1	2.7	3.0	3.2	0.5	Daniel F. Evans, Jr.	32
Memorial Hermann Health System	Overall	"Health Care Services &amp; Hospitals"	Health Care	266	3.7	3.7	3.5	3.1	3.3	3.6	0.8	Daniel J. Wolterman	90
Houston Methodist	Overall	"Health Care Services &amp; Hospitals"	Health Care	261	3.9	4.1	3.7	3.4	3.6	3.5	0.8	Marc Boom	93
