[u'American Income Life', u'The Hartford', u'Asurion', u'TIAA-CREF', u'CSAA Insurance Group', u'MassMutual', u'American Family Insurance', u'Lincoln Financial Group', u'CNA', u'Guaranteed Rate', u'QBE North America', u'AXA Equitable', u'EmblemHealth', u'First American Title', u'The Hanover Insurance Group', u'Marsh', u'Jackson National Life', u'CUNA Mutual', u'GoHealth', u'Anthem Blue Cross and Blue Shield', u'Western and Southern Life', u'Great-West Financial', u'The Standard', u'Colonial Life &amp; Accident Insurance Co.', u'FM Global', u'Safeco', u'Brown &amp; Brown Insurance', u'Sentry Insurance', u'Sun Life', u'Mercury General', u'TWG Insurance', u'Efinancial', u'Asurea', u'Mutual of America', u'Cullen/Frost Bankers', u'Family Heritage Life Insurance', u'Heffernan Insurance Brokers', u'Cincinnati Financial', u'Infinity Insurance', u'Farm Bureau Financial Services', u'Alliant Insurance Services', u'Insurance Auto Auctions', u'Ameritas Life Insurance Corp', u'Velapoint', u'Canal Insurance', u'Physicians Mutual Insurance', u'Affirmative Insurance', u'Ameriprise Auto &amp; Home Insurance', u'Rush Enterprises', u'Acceptance Insurance', u'Trustmark Companies', u'National Interstate', u'Texas Mutual', u'Zurich Insurance Group', u'TZ Insurance', u'West Bend Mutual Insurance Co.', u'Crump Life Insurance Services', u'OneBeacon', u'American Senior Benefits', u'Builders Mutual Insurance', u'Amerisure', u'BB&T; Insurance Services', u'PMA Insurance Group', u'Kcal Insurance', u'National Association of Insurance Commissioners', u'Sterling Life Insurance', u'Hagerty Insurance', u'Kelly &amp; Associates', u'NTA Life', u'MGIC Investment', u'Platinum Supplemental Insurance', u'Bankers Conseco', u'HIIG', u'Coface North America Insurance', u'Manulife', u'Church Mutual Insurance', u'Motorists Insurance', u'WCIRB', u'PMI Mortgage Insurance', u'Digital Insurance', u'GNY Insurance Companies', u'MetLife of Connecticut', u'Hastings Mutual', u'eFund Insurance', u'Howard Hanna Real Estate', u'Custard Insurance Adjusters', u'Arrowhead Insurance', u'ProSight Specialty Insurance', u'Reliance Standard Life Insurance', u'United Insurance', u'Monumental Life', u'Utica Mutual Insurance', u'Goosehead Insurance', u'Oscar Insurance', u'Brightway Insurance', u'Mapfre', u'Alliance United Insurance', u'Arch Capital', u'Reliance Industries', u'Accident Fund', u'Cincinnati Insurance', u'FirstComp', u'Farm Bureau Insurance of Michigan', u'Main Street America', u'Kentucky Farm Bureau Insurance', u'Farm Family Casualty', u'Acceptance Insurance', u'National Association of Mutual Insurance Companies', u'Alfa Insurance', u'ICICI Prudential Life Insurance', u'Noridian Mutual Insurance Company', u'Freeway Insurance', u'Country-Wide Insurance Company', u'CRC Insurance', u'Howe Insurance Services', u'Pronto Insurance', u'NORCAL Mutual Insurance', u'Tower Hill Insurance Group', u'Wawanesa Mutual', u'Salem Five Bank', u'EMC Insurance', u'SECURA', u'Safety Insurance', u'Insurance Offices of America', u'First Insurance Funding', u'Georgia Farm Bureau Insurance', u'Meadowbrook Insurance', u'Colorado HealthOP', u'Patriot National Insurance', u'FCCI', u'e-TeleQuote Insurance', u'The Fund', u'TheBestIRS', u'Appreciation Insurance &amp; Financial Services', u'Texas Farm Bureau Insurance', u'People\xe2&euro;&trade;s Trust', u'Lighthouse Insurance Group', u'MBIA', u'Chicago Title', u'Ace American Insurance', u'Acuity Mutual', u'GuideOne Insurance', u'Globe Life and Accident Insurance Company', u'Kansas City Life', u'Tokio Marine Management', u'MiddleOak', u'Assurity Life Insurance Company', u'Nautilus Insurance', u'Bouchard Insurance', u'Zander Insurance Group', u'Union Standard Insurance Group', u'Bupa', u'Reliable Life Insurance', u'Florida Family Insurance Company', u'ING USA Annuity &amp; Life Insurance', u"Maine Employers' Mutual Insurance", u'Encompass Insurance', u'Insurance.com', u'CPS Insurance Services', u'Team Focus Insurance Group', u'Preferred Mutual', u'Bituminous Insurance Companies', u'Service Group', u'Insurance Technologies (Texas)', u'Southern Farm Bureau Life', u'Markel Insurance', u'Wells Fargo Insurance Services USA', u'American Strategic Insurance', u'Dovetail Insurance', u'Carolina Casualty', u'Edgewood Partners Insurance Center', u'State Automobile Mutual', u'Grange Insurance Association', u'Networked Insurance Agents', u'Old Republic National Title', u'Titan Auto Insurance', u'NGL Insurance', u'Berkley Mid-Atlantic Group', u'MAG Mutual Insurance', u'Armed Forces Insurance', u'Neovia Integrated Insurance Services', u'Beneficial Life', u'NIPR', u'InsureOne', u'Unity Health Plans Insurance', u'SBLI USA', u'American Republic Insurance', u'Starmount Life', u'Pekin Insurance', u'Brickstreet Insurance', u'Rogers &amp; Gray Insurance', u'NY Insurance Fund', u'GUARD Insurance', u'Confie Insurance Group Holdings', u'Pan-American Life', u'ABD Insurance &amp; Financial Services', u'Omni Insurance Group', u'AEGIS Insurance Services', u'Optimum Re Insurance', u'Mutual of Enumclaw Insurance', u'Insurance Information Technologies', u'Society Insurance', u'Admiral Insurance', u'Provider Insurance Group', u'Brotherhood Mutual', u'Frankenmuth Mutual', u'CAMICO', u'Intelliquote Insurance Services', u'Texas Department of Insurance', u'Reliance Standard', u'Sompo Japan Insurance', u'Golden Rule', u'Legion Insurance', u'American United Life Insurance', u'Mendota Insurance', u'Lexington Insurance', u'Gerber Life', u'National Insurance Crime Bureau', u'Seattle Specialty Insurance Services', u'Civil Service Employees Insurance', u'United Insurance Consultants', u'Banner Life', u'BOLT Insurance Agency', u'UIG', u'Boston Mutual', u'American Equity', u'Oxford Life', u'MEEMIC', u'Huntington Insurance', u'Great Western Insurance']
Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
American Income Life	Overall	Insurance Carriers	Insurance	960	3.2	3.2	2.5	3.1	3.2	3.5	0.5	Roger Smith	79
The Hartford	Overall	
Asurion	Overall	Telecommunications Services	Telecommunications	612	3.3	3.2	2.9	2.8	3.5	3.1	0.6	Kevin Taweel	70
TIAA-CREF	Overall	Investment Banking &amp; Asset Management	Finance	646	3.4	3.6	3.5	3.0	3.9	3.2	0.7	Roger Ferguson	90
CSAA Insurance Group	Overall	Insurance Carriers	Insurance	510	3.1	3.3	3.4	2.7	3.6	2.9	0.6	Paula Downey	74
MassMutual	Overall	Insurance Carriers	Insurance	465	3.3	3.6	3.4	3.4	3.3	3.3	0.6	Roger W. Crandall	85
American Family Insurance	Overall	Insurance Carriers	Insurance	439	3.4	3.5	3.4	2.9	3.5	3.0	0.6	Jack Salzwedel	76
Lincoln Financial Group	Overall	
CNA	Overall	
Guaranteed Rate	Overall	Lending	Finance	283	3.5	3.7	3.6	3.4	3.2	3.5	0.7	Victor F. Ciardelli III	74
QBE North America	Overall	Insurance Carriers	Insurance	213	2.4	2.2	3.1	2.0	3.2	2.2	0.2	Dave Duclos	37
AXA Equitable	Overall	Insurance Carriers	Insurance	227	2.9	2.8	3.0	2.7	2.9	2.6	0.5	Mark Pearson	54
EmblemHealth	Overall	Insurance Carriers	Insurance	189	2.3	2.2	3.0	1.8	2.7	2.0	0.2	Frank J. Branchini	9
First American Title	Overall	Insurance Carriers	Insurance	209	3	2.8	3.1	2.5	3.2	2.8	0.4	Dennis J. Gilmore	74
The Hanover Insurance Group	Overall	
Marsh	Overall	Insurance Agencies &amp; Brokerages	Insurance	252	3.1	3.2	3.1	2.5	2.7	2.8	0.6	Peter Zaffino	55
Jackson National Life	Overall	Insurance Carriers	Insurance	195	3.6	3.4	3.5	3.2	3.8	3.5	0.7	Barry L. Stowe	99
CUNA Mutual	Overall	Insurance Carriers	Insurance	186	3.5	3.5	4.0	3.2	3.8	3.2	0.7	Robert N. Trunzo	95
GoHealth	Overall	Computer Hardware &amp; Software	Information Technology	174	2.8	2.5	2.4	2.2	2.7	2.5	0.5		
Anthem Blue Cross and Blue Shield	Overall	Insurance Carriers	Insurance	174	3.1	3.1	3.2	2.7	3.1	2.8	0.5	Joseph R. Swedish	74
Western and Southern Life	Overall	Insurance Carriers	Insurance	199	2.9	2.9	2.7	2.3	3.0	2.8	0.4	John F. Barrett	76
Great-West Financial	Overall	
The Standard	Overall	Insurance Carriers	Insurance	165	2.4	2.5	2.7	1.9	2.5	2.2	0.2	J. Greg Ness	23
Colonial Life &amp; Accident Insurance Co.	Overall	Insurance Carriers	Insurance	166	3.4	3.6	3.4	3.2	2.9	3.2	0.6	Randy Horn	97
FM Global	Overall	Insurance Carriers	Insurance	199	4.1	4.1	4.2	3.9	3.9	3.5	1.0	Thomas A. Lawson	98
Safeco	Overall	Insurance Carriers	Insurance	153	2.7	2.8	2.3	2.3	3.2	2.5	0.4	Matthew D. Nickerson	66
Brown &amp; Brown Insurance	Overall	Insurance Agencies &amp; Brokerages	Insurance	162	2.7	2.7	2.7	2.4	2.6	2.4	0.4	J. Powell Brown	66
Sentry Insurance	Overall	Insurance Carriers	Insurance	164	2.8	2.7	3.0	2.4	3.0	2.6	0.4	Pete G. McPartland	71
Sun Life	Overall	Insurance Carriers	Insurance	464	3.3	3.2	3.9	2.9	3.3	2.8	0.5	Dean Connor	85
Mercury General	Overall	Insurance Carriers	Insurance	147	2.4	2.5	2.5	2.0	2.6	2.0	0.3	Gabriel Tirador	52
TWG Insurance	Overall	Insurance Carriers	Insurance	73	4	4.3	3.8	4.0	3.7	4.0	0.8	Mark E. Jones	86
Efinancial	Overall	
Asurea	Overall	Insurance Carriers	Insurance	61	4.2	4.3	4.2	4.1	4.0	4.2	0.8	Brian Pope	87
Mutual of America	Overall	
Cullen/Frost Bankers	Overall	Banks &amp; Credit Unions	Finance	60	3.2	3.5	3.2	3.1	3.0	2.7	0.7	Dick Evans Jr.	78
Family Heritage Life Insurance	Overall	Insurance Carriers	Insurance	66	4	4.4	4.0	4.3	3.8	4.2	0.7	Howard Lewis	95
Heffernan Insurance Brokers	Overall	Insurance Agencies &amp; Brokerages	Insurance	59	4.6	4.7	4.3	4.4	4.0	4.2	0.9	F. Michael Heffernan	96
Cincinnati Financial	Overall	Insurance Carriers	Insurance	62	3.3	3.7	3.4	3.3	3.0	3.0	0.8	Steven J. Johnston	70
Infinity Insurance	Overall	Insurance Carriers	Insurance	56	3.3	3.3	3.2	3.1	3.5	2.9	0.7	James R. Gober	98
Farm Bureau Financial Services	Overall	Insurance Carriers	Insurance	65	3.2	3.6	3.6	3.2	3.0	2.9	0.8	James Brannen	93
Alliant Insurance Services	Overall	Insurance Agencies &amp; Brokerages	Insurance	48	3.4	3.4	3.4	3.1	3.0	3.1	0.6	Tom Corbett	78
Insurance Auto Auctions	Overall	Auctions &amp; Galleries	Retail	50	2.8	2.6	2.9	2.5	2.7	2.6	0.4	Thomas C. O'Brien	74
Ameritas Life Insurance Corp	Overall	Insurance Agencies &amp; Brokerages	Insurance	48	2.9	3.0	3.2	2.8	3.1	2.8	0.5	JoAnn M. Martin	53
Velapoint	Overall	Insurance Carriers	Insurance	48	2.8	2.5	2.6	2.5	2.4	2.5	0.4	Aaron Goddard	55
Canal Insurance	Overall	Insurance Carriers	Insurance	50	2.2	2.0	2.2	1.6	3.1	1.8	0.2	David J. Firstenberg	23
Physicians Mutual Insurance	Overall	Insurance Carriers	Insurance	50	3.1	3.5	3.8	2.8	3.2	2.8	0.6	Rob Reed	78
Affirmative Insurance	Overall	
