Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
"BB&T; Insurance Services"	Overall	"Cable, Internet &amp; Telephone Providers"	Telecommunications	1518	3.4	3.3	3.5	2.8	3.7	2.6	0.5	John Chen	82
American Income Life	Overall	Insurance Carriers	Insurance	960	3.2	3.2	2.5	3.1	3.2	3.5	0.5	Roger Smith	79
TIAA-CREF	Overall	"Investment Banking &amp; Asset Management"	Finance	646	3.4	3.6	3.5	3.0	3.9	3.2	0.7	Roger Ferguson	90
Asurion	Overall	Telecommunications Services	Telecommunications	612	3.3	3.2	2.9	2.8	3.5	3.1	0.6	Kevin Taweel	70
Reliance Industries	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	586	3.2	2.7	2.6	2.5	3.5	3.0	0.4	Mukesh D. Ambani	82
CSAA Insurance Group	Overall	Insurance Carriers	Insurance	510	3.1	3.3	3.4	2.7	3.6	2.9	0.6	Paula Downey	74
MassMutual	Overall	Insurance Carriers	Insurance	465	3.3	3.6	3.4	3.4	3.3	3.3	0.6	Roger W. Crandall	85
Sun Life	Overall	Insurance Carriers	Insurance	464	3.3	3.2	3.9	2.9	3.3	2.8	0.5	Dean Connor	85
American Family Insurance	Overall	Insurance Carriers	Insurance	439	3.4	3.5	3.4	2.9	3.5	3.0	0.6	Jack Salzwedel	76
Manulife	Overall	Insurance Carriers	Insurance	372	3.7	3.6	3.5	2.8	3.1	2.7	0.5	Donald Guloien	86
Guaranteed Rate	Overall	Lending	Finance	283	3.5	3.7	3.6	3.4	3.2	3.5	0.7	Victor F. Ciardelli III	74
Marsh	Overall	"Insurance Agencies &amp; Brokerages"	Insurance	252	3.1	3.2	3.1	2.5	2.7	2.8	0.6	Peter Zaffino	55
AXA Equitable	Overall	Insurance Carriers	Insurance	227	2.9	2.8	3.0	2.7	2.9	2.6	0.5	Mark Pearson	54
QBE North America	Overall	Insurance Carriers	Insurance	213	2.4	2.2	3.1	2.0	3.2	2.2	0.2	Dave Duclos	37
First American Title	Overall	Insurance Carriers	Insurance	209	3	2.8	3.1	2.5	3.2	2.8	0.4	Dennis J. Gilmore	74
