"[u'Plexus', u'Summa Health System', u'BMW Manufacturing', u'American Axle &amp; Manufacturing', u'Honda Manufacturing of Indiana', u'Leviton', u'Nummi', u'Nissan', u'HMA (Honda Manufacturing of Alabama)', u'DENSO', u'ResourceMFG', u'Myron Manufacturing', u'OSO BioPharmaceuticals Manufacturing', u'Challenge Manufacturing', u'Bic Graphic USA Manufacturing', u'Tattoo Manufacturing', u'American Block Manufacturing Company', u'Central States Manufacturing, Inc.', u'Weather Shield Manufacturing', u'Hill Manufacturing', u'Shapes Precision Manufacturing', u'Hitchiner Manufacturing', u'Custom Manufacturing &amp; Engineering', u'LBP Manufacturing Inc', u'Smead', u'Kalas Manufacturing', u'Colony Display Systems', u'Duke Manufacturing', u'Meyer Corporation U.S.', u'Promaxima Manufacturing', u'Zero Manufacturing', u'Applied Manufacturing Technologies (Michigan)', u'Kinze Manufacturing', u'Watkins Manufacturing', u'Toyota Motor Manufacturing West Virginia', u'Society of Manufacturing Engineers', u'KYB', u'CP Manufacturing', u'Power Systems Manufacturing', u'Strategic Manufacturing Solutions', u'F&P; America', u'Drake Manufacturing', u'Bretford', u'Lincoln Manufacturing', u'Natel', u'Milsco Manufacturing', u'EMD', u'China Custom Manufacturing', u'Huf North America Automotive', u'GECOM', u'Knape &amp; Vogt', u'Toyota Motor Manufacturing Mississippi', u'Trussway', u'B &amp; B Manufacturing', u'Star Manufacturing International', u'Eriez Manufacturing', u'Thermon Manufacturing', u'M&M; Manufacturing', u'Cambro Manufacturing', u'CEA Medical Manufacturing', u'Charter Manufacturing', u'KLN Manufacturing', u'GAL Manufacturing', u'Bond Manufacturing', u'DENSO TN Mfg. Inc', u'Panasonic Disc Manufacturing Corp', u'CMTC', u'QB Johnson Manufacturing', u'Troy Design &amp; Manufacturing', u'Midstate Manufacturing', u'KWS Manufacturing', u'Load King Manufacturing', u'Vilter Manufacturing LLC', u'Elro Signs', u'Hunter Manufacturing', u'NIC Global', u'Honda Transmission Manufacturing of America', u'Bimba Manufacturing', u'Graham-White Manufacturing Company', u'Elkhart Brass Manufacturing Company', u'Godrej &amp; Boyce Manufacturing', u'Doskocil Manufacturing', u'TMMI', u'Richardson Manufacturing Company', u'STEBBINS', u'Quickie Manufacturing', u'Navajo Manufacturing', u'Ayrshire Electronics', u'A&A; Manufacturing', u'Asama Coldwater Manufacturing', u'Hino Motors Manufacturing', u'Kreisler Manufacturing', u'Royal Manufacturing', u'Belleville Shoe Manufacturing', u'Royal Arc', u'CURT Manufacturing', u'Camco Manufacturing', u'Viessmann Manufacturing Co. (U.S.)', u'Anchor Manufacturing Group', u'Penn Engineering', u'Felchar Manufacturing', u'Stone Plastics and Manufacturing', u'MTS', u'Zippo', u'Northwood Manufacturing', u'Latham Plastics Inc', u'Republic Sales &amp; Manufacturing', u'Hornady', u'Time Manufacturing', u'Rottler Manufacturing', u'Preferred Utilities Manufacturing', u'Ericson Manufacturing Company', u'Superior Manufacturing Group', u'Sanyo Manufacturing', u'AGM Automotive', u'PJ Trailers', u'Dynamic Manufacturing Solutions', u'Silberline Manufacturing', u'Information Manufacturing Company', u'G&H; Manufacturing', u'Vander-Bend Manufacturing', u'Hubner Manufacturing', u'Edsal Manufacturing', u'Color Wheel Paint', u'SARGENT Manufacturing', u'Honda Canada', u'Eagle Window &amp; Door Manufacturing', u'Yamada', u'Solutions Manufacturing (Florida)', u'B W Elliott Manufacturing', u'IMEC (Illinois)', u'Advantage Manufacturing Technologies', u'Abrams Airborne Manufacturing', u'MCELROY MANUFACTURING', u'Peterson Manufacturing', u'Milton Manufacturing', u'Robinson Manufacturing', u'Bailey Tool &amp; Manufacturing', u'Priefert', u'Franco Manufacturing', u'Smic', u'Steel Parts Manufacturing', u'KTH Parts', u'MGS Mfg. Group', u'Zentech Manufacturing', u'Elster Group', u'Evans Manufacturing', u'Traco Manufacturing', u'Imperial Manufacturing Group', u'Attc Manufacturing', u'Kenall', u'Great Plains Manufacturing', u'Lakeside Manufacturing', u'Ghent Manufacturing', u'Durand Glass Manufacturing', u'Higuchi Manufacturing', u'ADVICS Manufacturing Indiana', u'Thk Manufacturing of America', u'Dorner Manufacturing', u'Phillips Manufacturing', u'Concurrent Manufacturing Solutions', u'Leonhardt Manufacturing', u'Bluff Manufacturing', u'Ward Manufacturing', u'Engineered Systems', u'ArtiFlex Manufacturing', u'Wirtz Manufacturing Company', u'Lacey Manufacturing', u'CCAM', u'Valley Forge &amp; Bolts Manufacturing', u'Manufacturing Information Systems', u'Electric Research and Manufacturing Cooperative', u'Foss Manufacturing', u'Solon Manufacturing', u'Silver Eagle Manufacturing', u'Catalyst Manufacturing Services', u'Aerostar Aerospace', u'Behrens Manufacturing', u'Streamline Electronics Manufacturing', u'Ace Manufacturing', u'Standard Furniture', u'Global Equipment Services', u'Rotonics Manufacturing', u'Jacobson Manufacturing', u'Spears Manufacturing', u'Triton Manufacturing', u'Astro Manufacturing &amp; Design', u'Triboro Quilt Manufacturing', u'L&L; Manufacturing Co', u'Trans/Air Manufacturing Corporation', u'East Manufacturing', u'Ultra Manufacturing', u'Stock Manufacturing', u'Superior Manufacturing &amp; Hydraulics', u'Premier Manufacturing Support Services', u'Oak Canyon Manufacturing', u'North American Manufacturing Company', u'Alpina Manufacturing', u'Aircom Manufacturing', u'Toyota Motor Manufacturing Canada', u'Avibank Manufacturing', u'Reell Precision Manufacturing', u'Diaz Wholesale &amp; Manufacturing', u'Kimber', u'Compass Components', u'Unity Manufacturing', u'Sauder Manufucturing', u'F&B; Manufacturing', u'Baker Manufacturing Company', u'AER Manufacturing', u'D &amp; H Manufacturing', u'Kerns Manufacturing Corp', u'Schaeffer Mfg.', u'Snyder Manufacturing', u'Team', u'MFM', u'C &amp; S Manufacturing', u'Landmark Label Manufacturing', u'Superior Manufacturing', u'Quality Manufacturing Systems', u'NORMAC', u'Duggan Manufacturing', u'Reinke Manufacturing', u'Wolfram Manufacturing', u'NEO Technology Solutions', u'Oconomowoc Manufacturing', u'Xtreme Manufacturing', u'Stark Manufacturing', u'21st Century Manufacturing Solutions', u'Yamaha Motor Manufacturing', u'Ebinger Manufacturing', u'Gits Manufacturing', u'Harvey Vogel Manufacturing', u'Trident Case', u'Hammill Manufacturing Company', u'Gray Manufacturing', u'Magnum Manufacturing', u'KMC Stampings', u'Midland Manufacturing', u'Acme Engineering &amp; Manufacturing', u'JIT Supply &amp; Manufacturing', u'UNEX Manufacturing', u'F.A. Alpine Windows', u""O'Neal Manufacturing Services"", u'Lni Custom Manufacturing', u'Rise Manufacturing', u'Harbison-Fischer', u'Amuneal Manufacturing', u'ASGCO', u'American Manufacturing &amp; Engineering Company', u'G&H; Diversified Manufacturing, LP', u'Emsig', u'Quikey Manufacturing', u'GSW Manufacturing', u'Taurus International', u'Sage Manufacturing', u'Addison Precision Manufacturing', u'Mertz Manufacturing', u'Sears Manufacturing', u'Kay Manufacturing Company', u'Precise Aerospace Manufacturing', u'Royell Manufacturing', u'QCM Manufacturing', u'Riverside Manufacturing', u'Solberg Manufacturing', u'A&H; Worldwide', u'Snap Creative Manufacturing', u'National Center for Manufacturing Sciences', u'Val-Matic', u'Dawson Manufacturing', u'Pacific Rim Manufacturing', u'Action Manufacturing', u'Ferrell-Ross Roll Manufacturing, Inc.', u'Continental Manufacturing Chemist', u'Z Manufacturing', u'Senior Aerospace Absolute Manufacturing', u'Maxton Manufacturing', u'Manufacturing Automation Systems, LLC', u'Wauseon Machine and Manufacturing', u'Balboa Manufacturing', u'LA Marche Manufacturing', u'Empire Steel', u'Soft-Tex', u'RoadWorks Manufacturing', u'Cross Manufacturing', u'A.G.A.S. Manufacturing Group', u'Johanson Manufacturing', u'Applied Manufacturing Technologies', u'Benco Mfg', u'New Concept Manufacturing', u'Rock Wool Manufacturing Company', u'J.F. Manufacturing', u'Avantec Manufacturing', u'Bowman Manufacturing', u'Headly Manufacturing', u'Service King Manufacturing', u'Infratrol Manufacturing', u'MERVIN MANUFACTURING', u'Alliance for American Manufacturing', u'Avanti Advanced Manufacturing']"													
Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
"Republic Sales &amp; Manufacturing"	Overall	"Department, Clothing, &amp; Shoe Stores"	Retail	1428	3.5	0.0	0.0	0.0	0.0	0.0	0.0	Andi Owen	100
"A&A; Manufacturing"	Overall	"Food &amp; Beverage Manufacturing"	Manufacturing	509	3.6	3.6	3.1	2.9	3.6	3.3	0.7	Grant F. Reid	91
"Valley Forge &amp; Bolts Manufacturing"	Overall	"Hotels, Motels, &amp; Resorts"	"Travel &amp; Tourism"	202	3.3	3.1	2.8	2.6	2.7	2.8	0.5		
"Godrej &amp; Boyce Manufacturing"	Overall	Consumer Products Manufacturing	Manufacturing	147	3.3	0.0	0.0	0.0	0.0	0.0	0.0		
Plexus	Overall	"Architectural &amp; Engineering Services"	Business Services	128	3.4	3.1	3.1	3.1	3.2	3.3	0.6	Dean A. Foate	81
Summa Health System	Overall	"Health Care Services &amp; Hospitals"	Health Care	98	2.9	3.0	2.8	2.1	2.7	2.8	0.4	Thomas Malone, M.D.	39
BMW Manufacturing	Overall	Transportation Equipment Manufacturing	Manufacturing	91	3.1	2.5	2.7	2.4	3.8	2.3	0.5	Josef Kerscher	58
"American Axle &amp; Manufacturing"	Overall	Transportation Equipment Manufacturing	Manufacturing	85	3.3	3.7	3.1	3.3	3.6	3.2	0.7	David C. Dauch	69
Honda Manufacturing of Indiana	Overall	Transportation Equipment Manufacturing	Manufacturing	70	2.9	3.0	2.7	2.8	3.5	2.9	0.5	Bob Nelson	55
Leviton	Overall	"Electrical &amp; Electronic Manufacturing"	Manufacturing	69	3.1	3.4	3.8	3.2	3.2	2.7	0.6	Donald J. Hendler	66
Nummi	Overall	Transportation Equipment Manufacturing	Manufacturing	65	3.4	3.9	3.2	3.0	3.8	3.4	0.6	Kunihiko Ogura	93
HMA (Honda Manufacturing of Alabama)	Overall	Transportation Equipment Manufacturing	Manufacturing	62	3.1	3.2	3.0	2.7	3.5	3.0	0.6	Nobuyuki Sanui	79
Team	Overall	Industrial Manufacturing	Manufacturing	38	3.1	3.0	2.3	2.6	3.2	2.9	0.5	Philip J Hawk	44
Honda Canada	Overall	Transportation Equipment Manufacturing	Manufacturing	23	2.7	0.0	0.0	0.0	0.0	0.0	0.0		
Myron Manufacturing	Overall	"Advertising &amp; Marketing"	Business Services	20	2.7	3.0	3.6	2.7	3.6	3.0	0.6	Donald J Adler	13
TMMI	Overall	Transportation Equipment Manufacturing	Manufacturing	17	4	3.5	2.9	2.8	4.5	4.0	0.7		
Weather Shield Manufacturing	Overall	Consumer Products Manufacturing	Manufacturing	13	2.3	3.1	2.9	2.7	2.1	2.5	0.5	Edward Lee Schield	56
ResourceMFG	Overall	"Staffing &amp; Outsourcing"	Business Services	12	3.6	3.6	3.9	3.5	3.8	3.7	0.7		
OSO BioPharmaceuticals Manufacturing	Overall	"Biotech &amp; Pharmaceuticals"	"Biotech &amp; Pharmaceuticals"	12	2.4	2.3	1.7	1.6	2.8	2.1	0.2	Milton Boyer	28
Hill Manufacturing	Overall	Industrial Manufacturing	Manufacturing	12	3.7	3.7	4.3	3.1	3.8	3.6	0.6	Stuart Hillman	0
Tattoo Manufacturing	Overall	Industrial Manufacturing	Manufacturing	11	2.2	1.7	2.2	1.8	2.7	2.2	0.3	Steve Tooker	40
LBP Manufacturing Inc	Overall	Industrial Manufacturing	Manufacturing	11	2.1	0.0	0.0	0.0	0.0	0.0	0.0	Barry Silver	53
Challenge Manufacturing	Overall	Industrial Manufacturing	Manufacturing	10	3.1	0.0	0.0	0.0	0.0	0.0	0.0		
Bic Graphic USA Manufacturing	Overall	Consumer Products Manufacturing	Manufacturing	10	2.3	0.0	0.0	0.0	0.0	0.0	0.0		
American Block Manufacturing Company	Overall	Consumer Products Manufacturing	Manufacturing	10	2.8	2.7	2.1	2.7	2.3	2.6	0.7	Ranjani Shah	100
Central States Manufacturing, Inc.	Overall	Industrial Manufacturing	Manufacturing	10	2.8	3.0	2.7	2.4	3.2	2.8	0.5	Donna Leger	62
