[u'GE Oil &amp; Gas', u'Amec Foster Wheeler', u'PSEG', u'Valero Energy', u'Marathon Oil', u'Valvoline', u'Encana', u'Waterway Gas &amp; Wash', u'Suburban Propane', u'TOTAL', u'Socalgas', u'National Grid', u'Atlas Oil', u'Murphy Oil', u'San Diego Gas &amp; Electric', u'Henley Enterprises', u'Matheson Tri-Gas', u'Brookshire Brothers', u'Mansfield Oil', u'AGL Resources', u'Nicor', u'Chromalloy Gas Turbine', u'Southwest Gas', u'Saudi Aramco', u'Sempra U.S. Gas &amp; Power', u'Oil States Industries', u'Maersk Oil', u'Oil Price Information Service (OPIS)', u'Baltimore Gas and Electric', u'Philadelphia Gas Works', u'CVR', u'Weir Oil &amp; Gas', u'National Fuel Gas', u'Ricker Oil Company', u'Spindletop Oil &amp; Gas', u'Cabot Oil &amp; Gas', u'Memphis Light', u'Freeport-McMoRan Oil &amp; Gas', u'South Carolina Electric &amp; Gas', u'Paraco Gas', u'MGE Energy', u'Ballard Natural Gas Service', u'Oil States International', u'SourceGas', u'ONGC', u'NW Natural', u'Dominion East Ohio', u'Odebrecht', u'Blarney Castle Oil and Propane', u'Alabama Gas', u'Kongsberg Oil &amp; Gas Technologies', u'U.S. Venture', u'Gas South', u"Uncle Ed's Oil Shoppe", u'Knight Oil Tools', u'Carrizo Oil &amp; Gas', u'Irving Oil Corporation', u'WGES', u'Shell Gas &amp; Power', u"Oil Can Henry's", u'76 Gas', u'Gas Transmission System', u'Luxfer Gas Cylinders', u'Lehigh Gas', u'Kuwait Oil Company Ksc', u'Gulf Oil', u'Cascade Natural Gas', u'Southern Star Central Gas Pipeline', u'eCapital', u'Indian Oil', u'Castle Oil', u'Rochester Gas and Electric', u'Luke Oil Company', u'Genesis Oil and Gas', u'Oil &amp; Gas Title Abstracting', u'Columbia Gas of Pennsylvania', u'Quicksilver Gas Services', u'G.A.S. Unlimited', u'PDVSA', u'Oil-Dri', u'Gas Turbine Efficiency', u'CMS Energy', u'True Oil, LLC', u'Columbia Gas of Ohio', u'MotoMart', u'Warren Oil Company', u'Antelope', u'Oil States Energy Services', u'Peoples Natural Gas', u'1845 Oil Field Services', u'Rebel Oil', u'Western Oil', u'Tevis Oil', u'Gas Powered Games', u"Benny's Car Wash", u'Electric &amp; Gas Industries Association', u'Aloha Petroleum', u'Midnight Oil', u'Big West Oil', u'Don\xe2&euro;&trade;s Car Wash', u'Logan Oil Tools', u'Rolfson Oil', u'Alpha Oil and Gas', u'Transcontinent Oil', u'Texas Gas Service', u'JGC', u'Woodfin Oil', u'SMO', u'Arnold Oil Company', u'Columbia Gas Transmission', u'Holiday Oil', u'West Texas Gas', u'Central Oil &amp; Supply', u'Jaco', u'American Welding &amp; Gas', u'Huntsville Utilities', u'Cosby Oil', u'Apex Oil', u'Greeneville Oil &amp; Petroleum', u'Mahanagar Gas', u'Intermountain Gas', u'Kaul Oil', u'Eastern Propane &amp; Oil', u'Johnson Oil Company', u'Wynn Oil', u'Heat Waves Hot Oil Service', u'Gilligan Oil', u'Nioc', u'Temecula Olive Oil', u'Swifty Oil', u'Mohonk Oil Company', u'Holmes Oil', u'TGS', u'Meenan Oil', u'Bay State Gas', u'Connecticut Natural Gas', u'Colvin Oil', u'Turner Gas Company', u'Quality Oil', u'Midway Oil Corp.', u'Gas House Grill', u'U S Oil &amp; Refining', u'Noble Mansfield', u'ADCO', u'Helget Gas Products', u'Condon Oil Company', u'Hocker Oil', u'Krist Oil Company', u'Sabine Oil &amp; Gas', u'Nittany Oil', u'Astra Oil', u'Taylor Oil', u'Thrifty Oil', u'Lacy Oil Tool', u"O'Connell Oil", u'MACPHERSON OIL', u'SpeeDee Oil Change &amp; Tune-Up', u'Duke of Oil', u'Oklahoma Natural Gas', u'Hampel Oil', u'Columbia Gas of Virginia', u'Florida Gas Transmission', u'Producers Cooperative Oil Mill', u'Mobile Gas Service', u'Beckett Gas', u'Robison Oil', u'Clariant GmbH', u'Albemarle Oil Company', u'Kaiser-Francis', u'American Gas Association', u'Gas-Fired Products', u'Scorpion Oil Tools', u'Superior Oil', u'Par Mar Stores', u'Star Gas Partners', u'Western International Gas &amp; Cylinders', u'Coleman Oil Company', u'Crystal River Oil &amp; Gas', u'South Jersey Gas', u'ENSTAR Natural Gas', u'Yocum OIL', u'Tucker Oil', u'Newcomb Oil (Kentucky)', u'New Jersey Natural Gas', u'Martin Oil Company', u'Dominion Peoples', u'Jallo Oil', u'Miller Oil Company', u'Schmuckal Oil', u'Farmers Union Oil Company', u'Clipper Oil', u'GAS', u'Slidell Oil Company', u'Questar Gas', u'Belleview Bottled Gas', u'Oil Changer', u'British Gas', u'Amalie Oil', u'Natural Gas Services', u'Mountain Empire Oil', u'Concord Oil', u'Oil Field Development Engineering', u'Oil Factory', u'Ramos Oil', u'Ternero Olive Oil', u'Clarke-mobile Counties Gas DST', u'Sirte Oil Company', u'Spicer Advanced Gas', u'Electric &amp; Gas Technology', u"Tony's Mobile Oil &amp; Brake Service", u'Transcontinental Gas Pipe Line', u'Great Lakes Quick Lube', u'Frontier Natural Gas', u'Stockman Oil', u'Blohm+Voss', u'Texas Oil &amp; Gas Express', u'SOCAR', u'SIEGEL OIL COMPANY', u'Hanna Oil', u'McClure Oil', u'Dixie Gas &amp; Oil', u'Painted With Oil', u'Yankee Gas', u'Siana Oil &amp; Gas Co', u'Mid-State Petroleum', u'Lard Oil Company', u'Queiroz Galv\xe3o \xd3leo e G\xe1s', u'Guttman Oil', u'ORRCO', u'Hudson Gas Mart', u'Olympic Oil', u'Kath Fuel Oil', u'Pace Oil &amp; Gas', u'Oil &amp; Natural Gas', u'Metro Fuel Oil Corp.', u'Gas Equipment Company of Denver', u'GTMA', u'J3 Oil and Gas', u'Korea National Oil Corporation', u'Oil City Iron Works', u'M.W. Rentals &amp; Services', u'ASOA', u'Smith Oil Company', u'Fabian Oil', u'Gas Natural Fenosa', u'AP Gas &amp; Electric', u'Verbundnetz Gas', u'Reliance Gas Transportation Infrastructure', u"Gas Monkey Bar N' Grill", u'The Gas Lamp Restaurant and Bar', u'Air Gas Technologies', u'Group Five', u'Oil Consultants', u'Colorado Interstate Gas', u'Fred Fuller Oil &amp; Propane', u'Titan Oil Recovery', u'Western States Oil &amp; Gas', u'Tauber Oil', u'Lario Oil &amp; Gas Company', u'Iranian Offshore', u'Vermont Gas', u'Hopkins Oil Company', u'Texas Premier Resources', u'M.G. Oil', u'Ojai Oil Company', u'Green Gas', u'Western Gas', u'Tullow Oil', u'American Palm Oil Council', u'Zion Oil', u'Schrader Oil Company', u'Maximum Gas &amp; Supplies', u'Costa Oil', u'CNX Gas', u'Geofizyka Krak\u0e23\u0e13w', u'Brewer Oil', u'American Oil Field Services', u'Great Lakes Gas Transmission', u'Consolidated Oil Well Services', u'Eagle Oil Tools', u'Saudi Makamin', u'Snake Oil Cocktail Company', u'Stein Oil Company', u'SynFast Oil Change', u'Garden State Heat &amp; Air', u'Miller Bros', u'Sage Oil Vac', u'Keystone Oil', u'Ludvik Propane Gas Services', u'Calor Gas', u'Guardian Oil &amp; Gas', u'Falcon Oil &amp; Gas', u'Knapp Oil Company', u'Gas &amp; Food Plus', u'Al Masaood OISS', u'Cnooc Engineering', u'Princeton Fuel Oil', u'Prime Meridian Oil', u'RasGas', u'Pit Stop Lube &amp; Oil', u'Lone Star Gas', u'Town of Oil City', u'Bazell Oil', u'Virginia Natural Gas', u'Wathall Oil', u'Shrader Tire &amp; Oil', u'Nupro Industries', u'JX Nippon Oil &amp; Gas Exploration Corporation', u'Center Oil', u'Gas Appliance Service', u'Vine Oil &amp; Gas', u'Extraction Oil and Gas', u'Delta Natural Gas', u'Webber Energy Fuels', u'Pars Oil &amp; Gas Company', u'Tidelands Oil &amp; Gas', u'SAUDI ARAMCO TOTAL OIL REFINING &amp; PETROCHEMICAL COMPANY, SATORP', u'Sanchez Oil &amp; Gas', u'CE Taylor Oil', u'Call Oil', u'ASCO (United Kingdom)', u'Bowden Oil Company', u'Fuel Oil Systems', u'Carter Oil', u'SIGNAL Food Stores', u'Imperial Oil', u'Advantage Energy', u'Jasper Oil Company', u'Osaka Gas', u'Northwest Olive Oil']
Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
GE Oil &amp; Gas	Overall	Oil &amp; Gas Services	Oil, Gas, Energy &amp; Utilities	282	3.4	3.3	3.2	2.6	3.2	3.1	0.6	Lorenzo Simonelli	76
Amec Foster Wheeler	Overall	Energy	Oil, Gas, Energy &amp; Utilities	399	3.4	3.3	3.6	2.8	3.3	3.1	0.7	Samir Brikho	82
PSEG	Overall	Utilities	Oil, Gas, Energy &amp; Utilities	168	3.3	3.2	3.3	3.0	3.6	3.2	0.7	Ralph Izzo	81
Valero Energy	Overall	Oil &amp; Gas Exploration &amp; Production	Oil, Gas, Energy &amp; Utilities	174	3.8	3.9	3.5	3.5	3.9	3.4	0.7	Joe Gorder	95
Marathon Oil	Overall	Oil &amp; Gas Exploration &amp; Production	Oil, Gas, Energy &amp; Utilities	167	2.7	3.1	3.7	2.2	3.8	2.7	0.5	Lee Tillman	23
Valvoline	Overall	Wholesale	Business Services	147	3.3	3.6	2.9	3.0	3.4	3.7	0.7	John D. Barr	80
Encana	Overall	Oil &amp; Gas Exploration &amp; Production	Oil, Gas, Energy &amp; Utilities	140	3.8	3.6	3.7	3.1	4.3	2.9	0.8	Doug Suttles	94
Waterway Gas &amp; Wash	Overall	Other Retail Stores	Retail	76	3.2	2.9	2.9	2.8	2.7	3.1	0.6	Henry W. Dubinsky	28
Suburban Propane	Overall	Gas Stations	Retail	77	2.1	2.0	2.5	1.8	2.1	1.9	0.2	Michael J. Dunn, Jr.	14
Socalgas	Overall	Utilities	Oil, Gas, Energy &amp; Utilities	67	3.8	3.7	3.8	3.7	4.1	3.7	0.8	Dennis Arriola	97
National Grid	Overall	Construction	Construction, Repair &amp; Maintenance	130	3.5	3.2	3.7	2.3	3.4	3.1	0.7	Steve Holliday	67
Atlas Oil	Overall	Oil &amp; Gas Services	Oil, Gas, Energy &amp; Utilities	71	1.8	2.0	2.3	2.0	3.0	2.1	0.2	Sam Simon	30
Murphy Oil	Overall	Oil &amp; Gas Exploration &amp; Production	Oil, Gas, Energy &amp; Utilities	100	2.9	3.1	2.7	2.4	3.3	2.8	0.5	Roger W. Jenkins	46
San Diego Gas &amp; Electric	Overall	Energy	Oil, Gas, Energy &amp; Utilities	62	3.3	2.7	3.5	2.6	3.6	2.9	0.6	Jessie J. Knight Jr.	77
Henley Enterprises	Overall	Auto Repair &amp; Maintenance	Construction, Repair &amp; Maintenance	52	4.3	4.5	3.8	4.2	4.2	4.3	0.8	Don Smith	94
Matheson Tri-Gas	Overall	Chemical Manufacturing	Manufacturing	64	2.5	2.2	2.4	1.9	2.6	2.4	0.3	Scott Kallman	29
Brookshire Brothers	Overall	Grocery Stores &amp; Supermarkets	Retail	50	3	3.0	3.0	2.9	2.0	2.3	0.5	Jerry Johnson	92
Mansfield Oil	Overall	Oil &amp; Gas Services	Oil, Gas, Energy &amp; Utilities	52	3.6	3.8	2.9	3.8	3.1	3.9	0.7	Michael F. Mansfield Sr.	90
AGL Resources	Overall	
Nicor	Overall	Utilities	Oil, Gas, Energy &amp; Utilities	48	2.9	2.7	3.1	2.3	3.4	2.6	0.6	Ralph Cleveland	42
Chromalloy Gas Turbine	Overall	Commercial Equipment Repair &amp; Maintenance	Construction, Repair &amp; Maintenance	44	2.4	2.4	2.7	2.6	3.0	2.7	0.3	Armand F. Lauzon Jr.	17
Southwest Gas	Overall	Oil &amp; Gas Services	Oil, Gas, Energy &amp; Utilities	37	3.8	3.5	3.8	3.2	3.7	3.3	0.8	Jeffrey W. Shaw	97
Saudi Aramco	Overall	Oil &amp; Gas Exploration &amp; Production	Oil, Gas, Energy &amp; Utilities	267	3.3	3.0	3.5	2.5	4.1	3.3	0.7	Khalid A. Al-Falih	51
Sempra U.S. Gas &amp; Power	Overall	Energy	Oil, Gas, Energy &amp; Utilities	28	4.7	4.7	4.6	4.4	4.7	4.3	1.0	Patricia K. Wagner	100
Oil States Industries	Overall	Oil &amp; Gas Exploration &amp; Production	Oil, Gas, Energy &amp; Utilities	25	3.1	2.9	3.4	2.3	3.6	2.8	0.5	Charles Moses	62
Maersk Oil	Overall	Oil &amp; Gas Exploration &amp; Production	Oil, Gas, Energy &amp; Utilities	58	3	2.7	3.1	2.0	3.8	2.0	0.3	Jakob Thomasen	67
Oil Price Information Service (OPIS)	Overall	News Outlet	Media	22	4.5	4.8	4.2	4.3	4.0	4.7	0.9	Brian Crotty	100
Baltimore Gas and Electric	Overall	Utilities	Oil, Gas, Energy &amp; Utilities	24	3.6	3.1	3.0	2.7	3.9	3.0	0.6	Calvin G. Butler Jr.	65
Philadelphia Gas Works	Overall	Utilities	Oil, Gas, Energy &amp; Utilities	21	3.1	3.0	2.9	2.6	3.3	3.1	0.6		
CVR	Overall	Oil &amp; Gas Exploration &amp; Production	Oil, Gas, Energy &amp; Utilities	15	2.6	2.1	2.7	2.0	2.7	1.9	0.3	Jack Lipinski	59
Weir Oil &amp; Gas	Overall	Oil &amp; Gas Services	Oil, Gas, Energy &amp; Utilities	18	3.5	3.2	3.1	2.9	3.8	3.1	0.7		
National Fuel Gas	Overall	Utilities	Oil, Gas, Energy &amp; Utilities	14	3.5	2.7	3.2	2.5	3.2	2.9	0.5	David F. Smith	65
Ricker Oil Company	Overall	Convenience Stores &amp; Truck Stops	Restaurants, Bars &amp; Food Services	13	3.3	3.3	2.9	3.0	2.8	3.3	0.6	Quinn Ricker	80
Spindletop Oil &amp; Gas	Overall	Oil &amp; Gas Exploration &amp; Production	Oil, Gas, Energy &amp; Utilities	13	3.9	3.8	3.4	3.5	3.8	3.5	0.7	Chris G. Mazzini	83
Cabot Oil &amp; Gas	Overall	Oil &amp; Gas Exploration &amp; Production	Oil, Gas, Energy &amp; Utilities	13	2.4	2.4	2.7	2.1	3.3	2.0	0.3	Dan O. Dinges	53
Memphis Light	Overall	Utilities	Oil, Gas, Energy &amp; Utilities	13	3.8	3.5	4.0	2.8	4.1	3.3	1.0	Jerry Collins Jr.	85
Freeport-McMoRan Oil &amp; Gas	Overall	Oil &amp; Gas Exploration &amp; Production	Oil, Gas, Energy &amp; Utilities	12	4.6	3.7	4.3	4.0	5.0	3.9	0.9		
South Carolina Electric &amp; Gas	Overall	Energy	Oil, Gas, Energy &amp; Utilities	13	2.9	3.2	3.1	2.5	3.3	2.7	0.5	Kevin B. Marsh	61
Paraco Gas	Overall	Oil &amp; Gas Services	Oil, Gas, Energy &amp; Utilities	11	3.4	3.6	3.8	3.4	3.7	3.3	0.7	Joseph Armentano	100
MGE Energy	Overall	Energy	Oil, Gas, Energy &amp; Utilities	10	3.6	3.6	3.9	3.5	3.9	3.1	0.7	Gary J. Wolter	100
Ballard Natural Gas Service	Overall	Gas Stations	Retail	9	3.7	0.0	0.0	0.0	0.0	0.0	0.0		
Oil States International	Overall	Oil &amp; Gas Exploration &amp; Production	Oil, Gas, Energy &amp; Utilities	25	3.1	2.9	3.4	2.3	3.6	2.8	0.5	Charles Moses	62
SourceGas	Overall	Utilities	Oil, Gas, Energy &amp; Utilities	9	2.8	0.0	0.0	0.0	0.0	0.0	0.0		
ONGC	Overall	Oil &amp; Gas Exploration &amp; Production	Oil, Gas, Energy &amp; Utilities	188	3.8	0.0	0.0	0.0	0.0	0.0	0.0	D. K. Sarraf	93
NW Natural	Overall	Energy	Oil, Gas, Energy &amp; Utilities	10	3.3	0.0	0.0	0.0	0.0	0.0	0.0	Gregg S. Kantor	70
Dominion East Ohio	Overall	Utilities	Oil, Gas, Energy &amp; Utilities	9	3.7	0.0	0.0	0.0	0.0	0.0	0.0	Thomas F. Farrell II	100
Blarney Castle Oil and Propane	Overall	Gas Stations	Retail	8	2.1	0.0	0.0	0.0	0.0	0.0	0.0	Dennis B. McCarthy	49
Alabama Gas	Overall	Utilities	Oil, Gas, Energy &amp; Utilities	8	3.5	0.0	0.0	0.0	0.0	0.0	0.0	James T. McManus II	100
Kongsberg Oil &amp; Gas Technologies	Overall	Oil &amp; Gas Services	Oil, Gas, Energy &amp; Utilities	16	2.4	0.0	0.0	0.0	0.0	0.0	0.0	Walter Qvam	71
U.S. Venture	Overall	Wholesale	Business Services	9	3.5	0.0	0.0	0.0	0.0	0.0	0.0	Mr. John Schmidt	100
Gas South	Overall	Utilities	Oil, Gas, Energy &amp; Utilities	7	3	0.0	0.0	0.0	0.0	0.0	0.0	Kevin Greiner	84
