Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
"Shell Gas &amp; Power"	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	622	3.8	3.7	3.8	3.5	4.1	3.6	0.8	Ben van Beurden	89
Amec Foster Wheeler	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	399	3.4	3.3	3.6	2.8	3.3	3.1	0.7	Samir Brikho	82
"GE Oil &amp; Gas"	Overall	"Oil &amp; Gas Services"	"Oil, Gas, Energy &amp; Utilities"	282	3.4	3.3	3.2	2.6	3.2	3.1	0.6	Lorenzo Simonelli	76
Saudi Aramco	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	267	3.3	3.0	3.5	2.5	4.1	3.3	0.7	Khalid A. Al-Falih	51
Indian Oil	Overall	Wholesale	Business Services	259	3.5	0.0	0.0	0.0	0.0	0.0	0.0	Shri R S Butola	79
ONGC	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	188	3.8	0.0	0.0	0.0	0.0	0.0	0.0	D. K. Sarraf	93
Valero Energy	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	174	3.8	3.9	3.5	3.5	3.9	3.4	0.7	Joe Gorder	95
PSEG	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	168	3.3	3.2	3.3	3.0	3.6	3.2	0.7	Ralph Izzo	81
Marathon Oil	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	167	2.7	3.1	3.7	2.2	3.8	2.7	0.5	Lee Tillman	23
Valvoline	Overall	Wholesale	Business Services	147	3.3	3.6	2.9	3.0	3.4	3.7	0.7	John D. Barr	80
Encana	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	140	3.8	3.6	3.7	3.1	4.3	2.9	0.8	Doug Suttles	94
National Grid	Overall	Construction	"Construction, Repair &amp; Maintenance"	130	3.5	3.2	3.7	2.3	3.4	3.1	0.7	Steve Holliday	67
Imperial Oil	Overall	Asphalt Products Manufacturing	Manufacturing	102	3.6	0.0	0.0	0.0	0.0	0.0	0.0	Rich Kruger	78
Murphy Oil	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	100	2.9	3.1	2.7	2.4	3.3	2.8	0.5	Roger W. Jenkins	46
Suburban Propane	Overall	Gas Stations	Retail	77	2.1	2.0	2.5	1.8	2.1	1.9	0.2	Michael J. Dunn, Jr.	14
"Waterway Gas &amp; Wash"	Overall	Other Retail Stores	Retail	76	3.2	2.9	2.9	2.8	2.7	3.1	0.6	Henry W. Dubinsky	28
Atlas Oil	Overall	"Oil &amp; Gas Services"	"Oil, Gas, Energy &amp; Utilities"	71	1.8	2.0	2.3	2.0	3.0	2.1	0.2	Sam Simon	30
Socalgas	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	67	3.8	3.7	3.8	3.7	4.1	3.7	0.8	Dennis Arriola	97
Matheson Tri-Gas	Overall	Chemical Manufacturing	Manufacturing	64	2.5	2.2	2.4	1.9	2.6	2.4	0.3	Scott Kallman	29
"San Diego Gas &amp; Electric"	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	62	3.3	2.7	3.5	2.6	3.6	2.9	0.6	Jessie J. Knight Jr.	77
Maersk Oil	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	58	3	2.7	3.1	2.0	3.8	2.0	0.3	Jakob Thomasen	67
Henley Enterprises	Overall	"Auto Repair &amp; Maintenance"	"Construction, Repair &amp; Maintenance"	52	4.3	4.5	3.8	4.2	4.2	4.3	0.8	Don Smith	94
Mansfield Oil	Overall	"Oil &amp; Gas Services"	"Oil, Gas, Energy &amp; Utilities"	52	3.6	3.8	2.9	3.8	3.1	3.9	0.7	Michael F. Mansfield Sr.	90
Brookshire Brothers	Overall	"Grocery Stores &amp; Supermarkets"	Retail	50	3	3.0	3.0	2.9	2.0	2.3	0.5	Jerry Johnson	92
Nicor	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	48	2.9	2.7	3.1	2.3	3.4	2.6	0.6	Ralph Cleveland	42
Chromalloy Gas Turbine	Overall	"Commercial Equipment Repair &amp; Maintenance"	"Construction, Repair &amp; Maintenance"	44	2.4	2.4	2.7	2.6	3.0	2.7	0.3	Armand F. Lauzon Jr.	17
Southwest Gas	Overall	"Oil &amp; Gas Services"	"Oil, Gas, Energy &amp; Utilities"	37	3.8	3.5	3.8	3.2	3.7	3.3	0.8	Jeffrey W. Shaw	97
Kuwait Oil Company Ksc	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	32	3.6	0.0	0.0	0.0	0.0	0.0	0.0	Abdulla Ahmed Al Bannai	86
"Sempra U.S. Gas &amp; Power"	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	28	4.7	4.7	4.6	4.4	4.7	4.3	1.0	Patricia K. Wagner	100
Oil States Industries	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	25	3.1	2.9	3.4	2.3	3.6	2.8	0.5	Charles Moses	62
Oil States International	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	25	3.1	2.9	3.4	2.3	3.6	2.8	0.5	Charles Moses	62
Baltimore Gas and Electric	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	24	3.6	3.1	3.0	2.7	3.9	3.0	0.6	Calvin G. Butler Jr.	65
Oil Price Information Service (OPIS)	Overall	News Outlet	Media	22	4.5	4.8	4.2	4.3	4.0	4.7	0.9	Brian Crotty	100
Philadelphia Gas Works	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	21	3.1	3.0	2.9	2.6	3.3	3.1	0.6		
TGS	Overall	"Cable, Internet &amp; Telephone Providers"	Telecommunications	21	2.6	2.5	2.5	2.3	2.4	2.5	0.3	Damon Diamantaras	32
"Weir Oil &amp; Gas"	Overall	"Oil &amp; Gas Services"	"Oil, Gas, Energy &amp; Utilities"	18	3.5	3.2	3.1	2.9	3.8	3.1	0.7		
Gulf Oil	Overall	Wholesale	Business Services	17	3.9	0.0	0.0	0.0	0.0	0.0	0.0	Joe Petrowski	100
Nioc	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	17	3.3	0.0	0.0	0.0	0.0	0.0	0.0	Seifollah Jashnsaz	36
"Kongsberg Oil &amp; Gas Technologies"	Overall	"Oil &amp; Gas Services"	"Oil, Gas, Energy &amp; Utilities"	16	2.4	0.0	0.0	0.0	0.0	0.0	0.0	Walter Qvam	71
CVR	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	15	2.6	2.1	2.7	2.0	2.7	1.9	0.3	Jack Lipinski	59
National Fuel Gas	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	14	3.5	2.7	3.2	2.5	3.2	2.9	0.5	David F. Smith	65
Ricker Oil Company	Overall	"Convenience Stores &amp; Truck Stops"	"Restaurants, Bars &amp; Food Services"	13	3.3	3.3	2.9	3.0	2.8	3.3	0.6	Quinn Ricker	80
"Spindletop Oil &amp; Gas"	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	13	3.9	3.8	3.4	3.5	3.8	3.5	0.7	Chris G. Mazzini	83
"Cabot Oil &amp; Gas"	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	13	2.4	2.4	2.7	2.1	3.3	2.0	0.3	Dan O. Dinges	53
Memphis Light	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	13	3.8	3.5	4.0	2.8	4.1	3.3	1.0	Jerry Collins Jr.	85
"South Carolina Electric &amp; Gas"	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	13	2.9	3.2	3.1	2.5	3.3	2.7	0.5	Kevin B. Marsh	61
"Freeport-McMoRan Oil &amp; Gas"	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	12	4.6	3.7	4.3	4.0	5.0	3.9	0.9		
"SAUDI ARAMCO TOTAL OIL REFINING &amp; PETROCHEMICAL COMPANY, SATORP"	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	12	3.5	0.0	0.0	0.0	0.0	0.0	0.0		
Paraco Gas	Overall	"Oil &amp; Gas Services"	"Oil, Gas, Energy &amp; Utilities"	11	3.4	3.6	3.8	3.4	3.7	3.3	0.7	Joseph Armentano	100
MGE Energy	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	10	3.6	3.6	3.9	3.5	3.9	3.1	0.7	Gary J. Wolter	100
NW Natural	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	10	3.3	0.0	0.0	0.0	0.0	0.0	0.0	Gregg S. Kantor	70
Genesis Oil and Gas	Overall	Consulting	Business Services	10	3.6	0.0	0.0	0.0	0.0	0.0	0.0		
"Central Oil &amp; Supply"	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	10	3.6	3.1	3.3	2.3	3.7	3.0	0.7	Steven V. Lant	55
