Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
Millennium Pharmaceuticals	Overall	"Biotech &amp; Pharmaceuticals"	"Biotech &amp; Pharmaceuticals"	285	3.4	3.6	3.6	3.0	3.7	3.0	0.6	Christophe Weber	85
Teva Pharmaceuticals	Overall	"Biotech &amp; Pharmaceuticals"	"Biotech &amp; Pharmaceuticals"	193	3.1	3.1	3.0	2.4	3.7	2.8	0.6	Erez Vigodman	77
Janssen	Overall	"Biotech &amp; Pharmaceuticals"	"Biotech &amp; Pharmaceuticals"	97	3.7	3.9	3.8	3.5	3.7	3.3	0.7	Tom Heyman	77
Endo Pharmaceuticals	Overall	"Biotech &amp; Pharmaceuticals"	"Biotech &amp; Pharmaceuticals"	84	2.7	2.1	2.8	1.8	3.5	2.5	0.4	Rajiv De Silva	31
Watson Pharmaceuticals	Overall	"Biotech &amp; Pharmaceuticals"	"Biotech &amp; Pharmaceuticals"	76	3	3.2	2.8	2.5	4.0	2.9	0.6	Paul M. Bisaro	63
Cubist Pharmaceuticals	Overall	"Biotech &amp; Pharmaceuticals"	"Biotech &amp; Pharmaceuticals"	74	4.1	4.2	4.2	3.8	4.2	3.4	0.7	Mike Bonney	93
Alexion Pharmaceuticals	Overall	"Biotech &amp; Pharmaceuticals"	"Biotech &amp; Pharmaceuticals"	66	2.5	2.6	2.0	2.2	4.0	2.6	0.5	David Hallal	69
Onyx Pharmaceuticals	Overall	"Biotech &amp; Pharmaceuticals"	"Biotech &amp; Pharmaceuticals"	59	4.1	4.2	4.0	3.9	4.3	3.5	0.8	Pablo J. Cagnoni, M.D	98
Qualitest Pharmaceuticals	Overall	Wholesale	Business Services	47	2.9	2.6	2.7	2.6	3.5	2.6	0.5	David P. Holveck	52
Lupin Pharmaceuticals	Overall	"Biotech &amp; Pharmaceuticals"	"Biotech &amp; Pharmaceuticals"	47	3.4	2.9	3.0	2.3	3.4	2.4	0.4	Vinita Gupta	86
Ferring Pharmaceuticals	Overall	"Biotech &amp; Pharmaceuticals"	"Biotech &amp; Pharmaceuticals"	39	3.5	3.9	3.7	3.2	3.5	3.7	0.8	Frederik Paulsen	68
Salix Pharmaceuticals	Overall	"Biotech &amp; Pharmaceuticals"	"Biotech &amp; Pharmaceuticals"	36	3.8	3.9	3.3	3.7	4.4	3.5	0.6	Carolyn J. Logan	70
MSD Pharmaceuticals	Overall	Wholesale	Business Services	36	3.7	0.0	0.0	0.0	0.0	0.0	0.0	Kenneth C. Frazier	0
Idera	Overall	"Computer Hardware &amp; Software"	Information Technology	30	2.9	2.8	3.1	2.9	3.2	2.8	0.4	Randy Jacops	62
Auxilium Pharmaceuticals	Overall	"Biotech &amp; Pharmaceuticals"	"Biotech &amp; Pharmaceuticals"	22	3.2	3.4	3.6	2.5	4.1	2.7	0.5	Adrian Adams	42
Amphastar	Overall	"Biotech &amp; Pharmaceuticals"	"Biotech &amp; Pharmaceuticals"	21	1.9	2.2	2.4	1.8	2.3	2.2	0.1	Jack Y. Zhang	29
Jazz Pharmaceuticals	Overall	"Biotech &amp; Pharmaceuticals"	"Biotech &amp; Pharmaceuticals"	21	4.2	3.8	3.8	3.4	3.7	3.1	0.7	Bruce C. Cozadd	93
