"[u'Dilbeck Real Estate', u'Deloitte', u'Prudential', u'University of Southern California', u'Keller Williams', u'NYU (New York University)', u'GE Capital', u'KeyBank', u'Coldwell Banker', u'RE/MAX', u'BNP Paribas', u'Marcus &amp; Millichap', u'Century 21', u'McKinley, Inc.', u'Invesco', u'Studio Movie Grill', u'Hines Interests Limited Partnership', u'Long &amp; Foster', u'City of Austin Texas', u'Extendicare', u""Sotheby's International Realty"", u'Windermere Real Estate', u'The Prudential Real Estate Affiliates', u'Prometheus Real Estate Group', u'First Team Real Estate', u'Prudential Douglas Elliman Real Estate', u'Waypoint Homes', u'Sentinel Real Estate Corp.', u'John L. Scott Real Estate', u'Better Homes and Gardens Real Estate', u'Inland Real Estate Group', u'Matt Martin Real Estate Management', u'Intero Real Estate Services', u'Movoto', u'Nolan Real Estate', u'Wells Real Estate Funds', u'Pangea Real Estate', u'Howard Hanna Real Estate', u'Carrington Real Estate', u'HomeSmart International', u'Capstone Real Estate Services', u'Chantel Ray Real Estate', u'Real Estate Mortgage Network', u'Elegran Real Estate &amp; Development Services', u'Inland American', u'PRG Real Estate', u'USAA Real Estate Company', u'Coast Real Estate Services', u'Lyon Real Estate', u'PNC Real Estate', u'Investment Real Estate Associates', u'United Real Estate', u'Institute of Real Estate Management', u'Zephyr Real Estate', u'LRES', u'Pennsylvania Real Estate', u'Orion Real Estate', u'Allison-Shelton Real Estate Services', u'Ram Real Estate', u'TPI Real Estate', u'Heaton Dainard Real Estate', u'Allied Orion Group', u'Crescent Real Estate', u'Advenir', u'Real Estate Pipeline', u'PEM Real Estate Group', u'Matrix Residential', u'C&R; Real Estate', u'AIG Global Real Estate', u'Emax Financial &amp; Real Estate Advisory, LLC', u'Cohen Esrey Real Estate Services', u'Washington REIT', u'Cole Capital', u'LAH Real Estate', u'IDS Real Estate Group', u'CPEX Real Estate', u'Compass Rock Real Estate', u'Capstone Real Estate', u'Alpha-Barnes Real Estate Services', u'Better Homes and Gardens Real Estate, Rand Realty', u'RMC Property Group', u'Investors Real Estate Trust', u'Star Real Estate', u'Leading Real Estate Companies of the World', u'HUNT Real Estate', u'Real Estate Auctions', u'Kris Weaver Real Estate Team', u'Buzzer Real Estate', u'Real Estate Data X-Change', u'Diliberto Real Estate Services Dres', u'HPI', u'Grandbridge', u'Mid-America Real Estate Group', u'National Real Estate Information Services', u'Institutional Real Estate', u'Pacific Union Real Estate', u'Evergreen Real Estate Services', u'Equity Real Estate', u'Towne Center Property Management', u'Cowley Real Estate Partners', u'Greco', u'Hammond Residential', u'GoldOller Real Estate Investments', u'Champions Real Estate Services', u'Phillips Real Estate', u'Woodmont Real Estate', u'Sara Investment Real Estate', u'Inbound Real Estate', u'ERA Real Estate', u'Carolina One Real Estate', u'Trinity Real Estate', u'Fusion Real Estate Network', u'Gateway Real Estate Group', u'Bedrock Real Estate Services', u'Pyramid Real Estate Group', u'Champions School of Real Estate', u'Morrow Real Estate', u'Cutler Real Estate', u'Capital Automotive', u'N-Play', u'Voit Companies', u'Paragon Real Estate Group', u'Ardor New York Real Estate', u'CRE Consultants', u'McGrath Real Estate Services', u'American Real Estate Partners', u'Intercontinental', u'Maverick Logistics', u'Real Estate Capital Partners', u'Meyer Real Estate', u'Ciminelli Real Estate', u'United Country Real Estate', u'CAC Real Estate Management', u'Block Real Estate Services', u'Climb Real Estate', u'Pacific Crest Real Estate', u'Village Real Estate Services', u'Premium Properties Real Estate Services', u'SRS Real Estate', u'Concord Real Estate Services', u'Denton Floyd Real Estate Group', u'Paradigm Real Estate Solutions', u'Carter Haston Real Estate Services', u'Alexandria Real Estate Equities', u'Willis Allen Real Estate', u'TIG Real Estate Services', u'Real Estate Digital', u'RED BELL REAL ESTATE', u'Blue Fern Real Estate', u'Pollack Shores Real Estate Group', u'National Real Estate', u'Legend Properties', u'Rian Group Real Estate', u'Success Real Estate', u'Core Group Marketing', u'Smith Real Estate Services', u'Cambridge Real Estate Services', u'Gaia Real Estate', u'Divaris Real Estate', u'Higgins Group Real Estate (Connecticut)', u'Fenley Real Estate', u'Conlon Real Estate', u'Real Estate Education Center', u'Russell WIlliams Real Estate', u'SINVIN Real Estate', u'New Age Real Estate (CO)', u'Eimers Group Real Estate and Land', u'Resource Real Estate', u'Real Estate University', u'Brokers USA Commercial Real Estate', u'Summit Real Estate Management', u'Partners Real Estate', u'Emersons Commercial Real Estate', u'NDC Real Estate Management', u'BCS Real Estate Services', u'MacIntyre and Cowen Re/Max', u'Metropolitan Boston Real Estate', u'Endeavor Real Estate Group', u'Avidian Real Estate', u'Evergrande Real Estate Group', u'CIBA', u'FENWICK KEATS', u'WPM Real Estate Management', u'Ramshaw Property Management', u'JohnHart Real Estate', u'Los Angeles Commercial Real Estate', u'Success Path Education', u'Kinzie Group', u'Forum Real Estate Group', u'Windermere Real Estate Southern California', u'CNL Commercial Real Estate', u'Wainwright Real Estate', u'Real Estate Arts', u'Dexia Real Estate Capital Markets', u'Herman Group Real Estate', u'Elder Group Tahoe Real Estate', u'PICOR', u'Forestar Real Estate', u'CBSHOME', u'Akimax', u'Legacy Real Estate', u'MBK Real Estate', u'Atlantis Real Estate', u'carroll real estate', u'Wardley Real Estate', u'AZ Real Estate Concepts', u'Epic Real Estate Solutions', u'Ultima Real Estate', u'Help-U-Sell', u'SCGroup Real Estate', u'Real Estate Service Solutions', u'Gemini Real Estate', u'Catylist', u'Candice Skinner Real Estate', u'Real Estate Research Corporation', u'Real Estate Solutions', u'Ackman-Ziff', u'Altera Real Estate', u'Signature Gallery of Homes', u'Hercules Real Estate', u'Real Estate Associates', u'Summit Real Estate', u'Fillmore Real Estate', u'Premier Real Estate Services', u'Atlanta Communities', u'Media Real Estate Company', u'Arizona Best Real Estate', u'Metro Commercial', u'Koenig &amp; Strey', u'Fireside Homes Real Estate', u'Ascentia Real Estate Investment', u'RETC Group', u'Lerner and Company Real Estate', u'New Trier Partners Real Estate Private Equity', u'New Wave Boston', u'Cornerstone Real Estate Advisers', u'NorthMarq Real Estate Services', u'CWD Real Estate', u'Commerce Real Estate', u'Argo Real Estate', u'Dune Real Estate', u'Peloton Commercial Real Estate', u'RioCan', u'DivcoWest', u'Liev Ward Real Estate', u'The Rain Wine Real Estate', u'WSR Real Estate', u'MFB Real Estate Services', u'The Cascade Team Real Estate', u'Kiawah Island Real Estate', u'AF-Real Estate', u'Compass World Real Estate', u'Estates Real Estate Group', u'Cawley Chicago Commercial Real Estate', u'Deerfield Commercial', u'Broadband Real Estate Strategies', u'Park Place Real Estate', u'Diversified Real Estate', u'AIR Commercial Real Estate Association', u'Destiny Real Estate', u'Midtown Commercial Real Estate', u'Intuit Real Estate Solutions', u'Castelli Real Estate Services', u'Otis &amp; Ahearn Real Estate', u""La Jolla Real Estate Brokers' Association"", u'Keller Knapp', u'Real Estate Equities', u'Navigator Real Estate', u'Newport Real Estate Services', u'Lone Wolf Real Estate Technologies', u'Fairfield Rentals', u'Dave Perry-Miller Real Estate', u'Marquette Real Estate Group', u'Borge Meyer and Sons Real Estate', u'The Cushing Goup Real Estate Services', u'Scott &amp; Quinn Real Estate', u'Antares Real Estate', u'Sharp Valuation Real Estate &amp; Appraisers', u'CIP Real Estate', u'Hypo Real Estate Bank', u'VanTrust Real Estate', u'Northwest Group Real Estate', u'Bunton Real Estate Co', u'Weyerhaeuser Real Estate', u'Hackney Real Estate Services', u""America's All in One Real Estate Services"", u'Dermer Management', u'Cooper &amp; Cooper Real Estate', u'Cisneros Real Estate Solutions', u'RG Investment', u'Preferred Real Estate of Illinois', u'Arthur A Hale Real Estate', u'Duckworth-Morris Real Estate', u'RESSI', u'Front Street Commercial Real Estate Group', u'Towne Square Real Estate', u'Chuck Roberts Commercial Real Estate', u'Pacific Union', u'Patschke &amp; Patschke Real Estate', u'NetWorks Real Estate', u'Conficare Real Estate', u'Donnie Stegemoller Realtors', u'Commonwealth Real Estate Services', u'Sarvis Management', u'Stonegate Real Estate Services', u'Shaw Real Estate Services', u'Trio Real Estate Group', u'Admiral Realty', u'Troy Companies', u'3 Creek Ranch Real Estate Services', u'Balcony Realty', u'Ameri/Star Real Estate', u'MB Real Estate', u'New England Real Estate', u'RETS Associates', u'RESI', u'North Point', u'Titan Real Estate', u'NewCom Real Estate', u'HomeCity Real Estate', u'A&S; Real Estate', u'LUX Real Estate Partners - LUX Homes', u'Vector Realty', u'WMC Real Estate', u'Northern New England Real Estate Network', u'Trinity Real Estate Solutions', u'Evergreen Real Estate', u'Trion Real Estate Management', u'Paragon Real Estate Trust', u'Velocity Real Estate &amp; Investments', u'Real Estate of Winter Park', u'Continental Real Estate Services', u'All Florida GMAC Real Estate', u'grupe real estate', u'McKee &amp; Schalka', u'Huron Campus', u'Intown Real Estate', u'Strategic Real Estate Coach', u'Dogpatch Real Estate', u'LPS Real Estate Group', u'Glacier Properties', u'Owen G Meislin Real Estate', u'Regency Real Estate Brokers', u'Yebra Real Estate', u'Sea Lion Real Estate', u'WPI Real Estate Services', u""Jackson's Auction &amp; Real Estate"", u'Parker Real Estate Management', u'3D Real Estate Management Ltd', u'Mile High Real Estate', u'McKinzie Nielsen Real Estate', u'Fort Myers Florida Real Estate Company', u'EHM Real Estate', u'Princeton Investments', u'National Real Estate Solutions', u'Vision Real Estate', u'Vegas Real Estate', u'Green Key Real Estate', u'Paragon Real Estate Advisors', u'Y City Realty', u'Genesis Real Estate Group', u'LaRosa Realty', u'Major Properties', u'Jay &amp; Naur', u'CRESCO Real Estate', u'Titan Real Estate Services', u'Coldwell Banker Heritage Real Estate', u'Scott Allison Real Estate', u'Pacific Real Estate Inspection Service', u'New Age Real Estate', u'Virtus Real Estate Capital', u'Vivo Real Estate Group', u'Pacifica Enterprises', u'PorchLight Real Estate Group', u'Guarantee Real Estate', u'Meridian Capital Real Estate', u'Chase International Real Estate', u'RESAAS', u'TRI Commercial', u'Nevada Commercial Real Estate Services']"													
Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
Dilbeck Real Estate	Overall	Real Estate	Real Estate	5	4.1	0.0	0.0	0.0	0.0	0.0	0.0	Mark Dilbeck	100
Deloitte	Overall	Accounting	"Accounting &amp; Legal"	10285	3.7	3.7	2.7	3.4	3.6	4.0	0.8	Cathy Engelbert	94
Prudential	Overall	Insurance Carriers	Insurance	1067	3.5	3.7	3.8	3.3	3.5	3.4	0.7	John R. Strangfeld	88
University of Southern California	Overall	"Colleges &amp; Universities"	Education	971	4.1	3.9	4.0	3.6	3.7	3.7	0.9	C. L. Max Nikias	86
Keller Williams	Overall	Real Estate	Real Estate	851	4.2	4.3	3.8	3.9	3.5	4.0	0.9	Mark Willis	97
NYU (New York University)	Overall	"Colleges &amp; Universities"	Education	797	4	3.8	3.9	3.4	3.5	3.5	0.8	John E. Sexton	80
GE Capital	Overall	"Investment Banking &amp; Asset Management"	Finance	1029	3.7	3.9	3.7	3.4	3.7	3.4	0.7	Keith Sherin	82
KeyBank	Overall	"Investment Banking &amp; Asset Management"	Finance	597	3.2	3.1	3.5	2.9	3.3	3.0	0.6	Beth E. Mooney	76
Coldwell Banker	Overall	Real Estate	Real Estate	411	3.7	3.6	3.6	3.4	2.9	3.4	0.7	Budge Huskey	84
RE/MAX	Overall	Real Estate	Real Estate	382	4.1	4.0	3.8	3.8	3.5	3.8	0.8	Dave Liniger	93
"Marcus &amp; Millichap"	Overall	"Department, Clothing, &amp; Shoe Stores"	Retail	607	3.1	3.1	2.9	2.7	2.9	2.7	0.6	Karen W. Katz	80
Century 21	Overall	Real Estate	Real Estate	222	3.8	4.0	3.6	3.6	3.2	3.8	0.8	Richard W. (Rick) Davidson	87
McKinley, Inc.	Overall	Real Estate	Real Estate	179	3.1	3.2	3.0	3.2	3.7	3.2	0.5	Albert M. Berriz	69
Invesco	Overall	"Investment Banking &amp; Asset Management"	Finance	207	3.7	3.7	3.9	3.2	3.4	3.0	0.8	Marty Flanagan	92
Studio Movie Grill	Overall	Movie Theaters	"Arts, Entertainment &amp; Recreation"	99	3.4	3.4	2.8	3.1	3.1	3.3	0.5	Brian Schultz	76
Hines Interests Limited Partnership	Overall	Real Estate	Real Estate	97	3.8	3.9	3.5	3.4	4.0	3.3	0.7	Jeff Hines	94
"Long &amp; Foster"	Overall	Municipal Governments	Government	4	4.6	0.0	0.0	0.0	0.0	0.0	0.0		
City of Austin Texas	Overall	Municipal Governments	Government	70	3.8	3.6	4.1	3.4	3.8	3.1	0.8	Lee Leffingwell	83
Extendicare	Overall	Real Estate	Real Estate	76	2.2	2.0	2.2	1.9	2.5	2.0	0.2	Timothy L. Lukenda	26
Sotheby's International Realty	Overall	Real Estate	Real Estate	62	3.9	3.6	3.6	3.6	3.5	3.4	0.7	Michael R. Good	100
Windermere Real Estate	Overall	Real Estate	Real Estate	58	4.1	3.9	3.4	3.4	3.4	3.6	0.9		
The Prudential Real Estate Affiliates	Overall	Real Estate	Real Estate	54	3.7	3.4	3.6	3.6	3.0	3.2	0.8	Laurie Keenan	77
Prometheus Real Estate Group	Overall												
First Team Real Estate	Overall	Real Estate	Real Estate	44	3.5	3.5	3.5	3.3	2.8	3.3	0.6	Cameron Merage	75
Prudential Douglas Elliman Real Estate	Overall	Real Estate	Real Estate	47	3.9	4.2	4.0	4.4	3.6	3.9	0.9	Dorothy Herman	100
Waypoint Homes	Overall	Real Estate	Real Estate	41	3.4	3.5	3.1	3.3	3.7	3.6	0.7	Doug Brien	77
Sentinel Real Estate Corp.	Overall	Real Estate	Real Estate	50	2.5	2.3	2.2	2.2	2.8	2.2	0.3	John Streicker	37
John L. Scott Real Estate	Overall	Real Estate	Real Estate	37	4	3.9	3.8	4.0	3.5	3.5	0.8	J. Lennox Scott	98
Better Homes and Gardens Real Estate	Overall	Real Estate	Real Estate	35	4	4.0	3.9	3.9	3.3	3.8	0.7	Sherry Chris	100
Inland Real Estate Group	Overall	Real Estate	Real Estate	31	2.5	2.9	2.9	2.3	2.3	2.2	0.5	Dan Goodwin	87
Matt Martin Real Estate Management	Overall	Real Estate	Real Estate	26	2	1.9	2.8	1.9	2.4	1.3	0.1	Matt Martin	22
Intero Real Estate Services	Overall	Real Estate	Real Estate	26	4.3	4.4	4.2	4.0	3.7	4.0	0.8	Gino Blefari	100
Movoto	Overall	Real Estate	Real Estate	24	3.5	3.7	3.5	3.6	2.7	3.7	0.6	Shiro Takeuchi	77
Nolan Real Estate	Overall	Real Estate	Real Estate	25	3.6	3.4	3.7	3.3	3.5	3.4	0.8	Kyle Scott	89
Wells Real Estate Funds	Overall	Real Estate	Real Estate	27	3.7	4.4	4.2	2.9	4.5	3.0	0.4	Leo F. Wells III	84
Pangea Real Estate	Overall	Real Estate	Real Estate	23	4.5	4.4	4.2	4.2	3.8	4.5	0.9	Steve Joung	100
Howard Hanna Real Estate	Overall	Real Estate	Real Estate	24	2.8	3.1	2.9	3.1	2.3	2.5	0.5		
Carrington Real Estate	Overall	Real Estate	Real Estate	24	3.6	3.5	3.9	3.4	3.2	3.9	0.7	Steve DiUbaldo	86
HomeSmart International	Overall	Real Estate	Real Estate	23	3.5	3.8	4.0	3.6	3.7	3.4	0.7		
Capstone Real Estate Services	Overall	Real Estate	Real Estate	14	2.6	2.3	3.1	2.2	2.1	2.5	0.4		
Chantel Ray Real Estate	Overall	Real Estate	Real Estate	13	3.3	3.5	3.5	3.5	3.7	3.5	0.7		
Real Estate Mortgage Network	Overall												
"Elegran Real Estate &amp; Development Services"	Overall	Real Estate	Real Estate	20	4.7	4.5	4.4	4.4	2.8	4.2	0.9		
Inland American	Overall	Real Estate	Real Estate	12	2.7	3.0	3.2	3.0	2.7	2.8	0.5		
PRG Real Estate	Overall	Real Estate	Real Estate	12	2.8	2.5	2.7	2.5	3.3	3.2	0.4	Steven A Berger and Jon Goodman	-100
USAA Real Estate Company	Overall	Real Estate	Real Estate	11	3.4	4.0	4.0	3.1	3.9	3.4	0.6	Pat Duncan	100
Coast Real Estate Services	Overall	Real Estate	Real Estate	12	3.9	3.9	4.0	3.7	3.5	3.7	0.8	Thomas P Hoban Jr	82
Lyon Real Estate	Overall	Real Estate	Real Estate	10	4.5	3.7	4.3	3.9	3.6	4.3	0.8	Michael P Lyon	38
PNC Real Estate	Overall	Lending	Finance	10	2.7	0.0	0.0	0.0	0.0	0.0	0.0	Timothy L. White	83
Investment Real Estate Associates	Overall	Real Estate	Real Estate	10	3.8	3.7	3.6	3.7	3.2	3.7	0.8	Raffi Krikorian	57
United Real Estate	Overall	Real Estate	Real Estate	10	4.3	4.4	4.5	4.7	3.9	4.1	0.9		
Institute of Real Estate Management	Overall	Real Estate	Real Estate	9	3.8	0.0	0.0	0.0	0.0	0.0	0.0	Russ Salzman	77
Zephyr Real Estate	Overall	Real Estate	Real Estate	9	3.9	0.0	0.0	0.0	0.0	0.0	0.0	William Drypolcher	80
LRES	Overall	Real Estate	Real Estate	9	2.3	0.0	0.0	0.0	0.0	0.0	0.0	Roger E. Beane	48
Pennsylvania Real Estate	Overall	Real Estate	Real Estate	10	3.1	0.0	0.0	0.0	0.0	0.0	0.0	Joseph F. Coradino	0
Orion Real Estate	Overall	Real Estate	Real Estate	9	3.3	0.0	0.0	0.0	0.0	0.0	0.0	Kirk H. Tate	100
Allison-Shelton Real Estate Services	Overall	Real Estate	Real Estate	9	2.6	0.0	0.0	0.0	0.0	0.0	0.0	Vicki Allison	26
Ram Real Estate	Overall	Real Estate	Real Estate	9	3.3	0.0	0.0	0.0	0.0	0.0	0.0	Casey Cummings	67
TPI Real Estate	Overall	Real Estate	Real Estate	8	2.2	0.0	0.0	0.0	0.0	0.0	0.0	Mr. Jacob  M. Azulay	14
Heaton Dainard Real Estate	Overall	Real Estate	Real Estate	8	4.1	0.0	0.0	0.0	0.0	0.0	0.0	"Will Heaton &amp; James Dainard"	84
Allied Orion Group	Overall	Real Estate	Real Estate	8	2.4	0.0	0.0	0.0	0.0	0.0	0.0	Kirk Tate	0
Crescent Real Estate	Overall	Real Estate	Real Estate	10	3.7	0.0	0.0	0.0	0.0	0.0	0.0	John C. Goff	86
Advenir	Overall												
Real Estate Pipeline	Overall	"Advertising &amp; Marketing"	Business Services	8	4.4	0.0	0.0	0.0	0.0	0.0	0.0	Curtis Jacobson	100
PEM Real Estate Group	Overall	Real Estate	Real Estate	10	1.7	0.0	0.0	0.0	0.0	0.0	0.0	Paul Mashni	32
Matrix Residential	Overall	Real Estate	Real Estate	7	3.9	0.0	0.0	0.0	0.0	0.0	0.0		
"C&R; Real Estate"	Overall	"Motion Picture Production &amp; Distribution"	Media	62	3.3	3.9	3.7	2.7	3.5	3.1	0.7	Jim Lanzone	100
AIG Global Real Estate	Overall												
"Emax Financial &amp; Real Estate Advisory, LLC"	Overall	"Investment Banking &amp; Asset Management"	Finance	7	4.6	0.0	0.0	0.0	0.0	0.0	0.0	Audrey McGuire	100
Cohen Esrey Real Estate Services	Overall	Real Estate	Real Estate	7	3.3	0.0	0.0	0.0	0.0	0.0	0.0	R.Lee Harris	100
Washington REIT	Overall	Real Estate	Real Estate	7	2.9	0.0	0.0	0.0	0.0	0.0	0.0	Paul T. McDermott	33
Cole Capital	Overall	Real Estate	Real Estate	10	3.4	0.0	0.0	0.0	0.0	0.0	0.0	Marc Nemer	0
LAH Real Estate	Overall												
IDS Real Estate Group	Overall	Real Estate	Real Estate	6	4	0.0	0.0	0.0	0.0	0.0	0.0	David G. Mgrublian	100
CPEX Real Estate	Overall	Real Estate	Real Estate	6	3.4	0.0	0.0	0.0	0.0	0.0	0.0		
Compass Rock Real Estate	Overall												
Capstone Real Estate	Overall	Real Estate	Real Estate	8	2.9	0.0	0.0	0.0	0.0	0.0	0.0	James W. Berkey	63
Alpha-Barnes Real Estate Services	Overall	Real Estate	Real Estate	6	1.9	0.0	0.0	0.0	0.0	0.0	0.0	Jeffrey A. Barnes	50
Better Homes and Gardens Real Estate, Rand Realty	Overall	Real Estate	Real Estate	6	3.4	0.0	0.0	0.0	0.0	0.0	0.0	Marsha Rand	65
RMC Property Group	Overall	Real Estate	Real Estate	6	3.3	0.0	0.0	0.0	0.0	0.0	0.0	Mitchell Rice	100
