[u"Shari's Restaurants", u"Chevy's", u'First Watch', u'Cooper\xe2&euro;&trade;s Hawk Winery &amp; Restaurants', u'Big Boy Restaurants', u'Starr Restaurants', u'CraftWorks Restaurants and Breweries', u'CKE Restaurants', u'Village Inn Restaurants', u"Frisch's", u'Habit Burger Grill', u'Cameron Mitchell Restaurants', u'The Egg and I Restaurants', u'Tavistock Restaurants', u'Keg Restaurants', u"Copeland's Restaurants", u'A&W; Restaurants', u'Copper Cellar Restaurants', u'Norms Restaurants', u'Palm Restaurants', u"Nando's Peri Peri", u'Il Fornaio', u"Dante's Restaurants", u'Buckhead Life Restaurants', u'The Common Man Family of Restaurants', u'Restaurants on the Run', u'Restaurants-America', u'TS Restaurants', u'Roy Rogers Restaurants', u'Ark Restaurants', u"J. Christopher's", u"Elmer's Restaurants", u'Goode Company Restaurants', u'Red Hot &amp; Blue Restaurants', u'Macayo Restaurants', u'Here To Serve Restaurants', u'Battleground Restaurants', u'Fifth Group Restaurants', u'Ocean Prime', u"Francesca's Restaurants", u'The Dixie Cafe|The Delta Cafe', u'PB&J; Restaurants', u'Mainstreet Ventures', u'Duchess Restaurants', u"Ham's Restaurants", u"Wahoo's", u'LePeep', u'Brigantine Restaurants', u'Heart of America Restaurants &amp; Inns', u'Specialty Restaurants', u"Russ' Restaurants", u'Wolfies Restaurants', u'Concentrics', u'FCH Enterprises', u'Carrows Restaurant', u"Pepe's", u"East Side Mario's", u'Metro Restaurants', u'Tom Douglas', u"Alan Wong's Restaurants", u'Bartolotta Restaurants', u"Uncle Nick's Restaurants", u'Atithi Chain of Restaurants', u'Select Restaurants', u'Crust Restaurants', u"Romanelli's Restaurants", u"Hackney's", u'Historic Dublin Restaurants', u"Lepri's Restaurants", u"Dick's Drive-In Restaurants", u"Sajo's", u"Massa's", u'Dockside Restaurants', u'Italian Village Restaurants', u'Sekisui Restaurants', u"Stroud's North", u'Uchi Restaurants', u'91 Restaurant Group', u'D\xe2&euro;&trade;Amico and Partners', u'Galaxy Diner', u'Rocket Farm Restaurants', u'Shells Seafood Restaurants', u'The Driftwood Group', u'Tin Star', u'Silver Bay Seafood Restaurants', u'Acapulco Mexican Restaurants', u"Frenchy's Rockaway Grill", u"Austin's Wood Fire Restaurants", u'CHAYA Restaurants', u'Jesse Cool Restaurants &amp; Catering', u'Paradise Restaurants', u'King Taco', u'The Village Squire Restaurants', u'Curveball Restaurants', u'Bensi Restaurants', u'FHG Restaurants', u'Aquarium Restaurants', u"Bill's Restaurants", u'Valore Restaurants', u'Guy and Larry Restaurants', u'Havmor Restaurants', u"Akbar's Restaurants", u"Kuti's Restaurants", u'RasaMas', u'Fresh Restaurants', u'Kessler Restaurants', u'Naked Restaurants', u'Oakman Inns', u'Pacific Catch Restaurants', u'm|group', u'Huge American Restaurants', u'Maccioni Restaurants', u"J. C. Fogarty's", u'Sita Restaurants', u"McDuffy's", u'Chop House Restaurants of North Carolina', u'Choo Choo', u'Specialty Brewing Restaurants', u'sattgr\u0102\u017an vegetarische restaurants &amp; fairtrade cafes', u'Fish &amp; Co.', u"Leilani's on the Beach", u"Milestone's Restaurants", u'Giraffe Restaurants', u'WR Management', u'Leon Restaurants', u'White Spot Restaurants', u'Wahaca', u'Ikebana Sushi Bars &amp; Japanese Restaurants', u'Brass Bell Restaurants &amp; Pubs', u'Mexican Restaurants', u'Urban Dining Group', u'Western North Dakota Restaurants', u'Ables Restaurants', u'Burgundy Restaurants', u"Romano's Restaurants", u'WAH Restaurants', u"Tacky Jack's Restaurants", u"Phil's Restaurants", u'CD Restaurants', u'Mr. Greek', u'Exceptional Restaurants', u'Meridian Restaurants', u'Anglia Restaurants', u'Goodman Restaurants', u'De Dutch Pannekoek House Restaurants', u'Desert Island Restaurants', u'W &amp; M Restaurants', u"4B's Restaurants", u'Carlisle Restaurants', u'Rockola Cafe', u"Tom's Place Restaurants", u'Maria Maria', u'RGC Restaurants', u'Chinagate Restaurants', u'Basilico', u"Bud and Alley's Waterfront Restaurants", u"Ohri's Group", u'Deep Blue Restaurants', u'Sicilia Mia Group', u"McDonald's Restaurants Andreas Schoft", u'El Arroyo Restaurants', u'Kaufleuten Restaurants', u'Saltlik', u'Consilient', u'Cheeseburger Restaurants', u'Special Restaurants &amp; Catering', u'RTC Restaurants India', u'Tee Jaye\xe2&euro;&trade;s Country Place Restaurants', u'Folks Southern Kitchen', u'MamaCass Restaurants']
Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
Shari's Restaurants	Overall	Casual Restaurants	Restaurants, Bars &amp; Food Services	44	3.3	3.1	2.8	3.0	2.7	3.0	0.7	Bruce MacDiarmid	41
Chevy's	Overall	Casual Restaurants	Restaurants, Bars &amp; Food Services	46	2.9	2.7	2.8	2.4	2.1	2.6	0.4	Chuck Rink	15
First Watch	Overall	Casual Restaurants	Restaurants, Bars &amp; Food Services	42	3.5	3.3	3.3	3.1	2.8	2.8	0.5	Ken Pendery	86
Big Boy Restaurants	Overall	Casual Restaurants	Restaurants, Bars &amp; Food Services	42	2.9	2.4	2.9	2.2	2.4	2.5	0.4	Keith E. Sirois	85
Starr Restaurants	Overall	Casual Restaurants	Restaurants, Bars &amp; Food Services	36	3.6	3.5	3.3	3.1	3.2	3.2	0.7	Stephen Starr	73
CraftWorks Restaurants and Breweries	Overall	
CKE Restaurants	Overall	Fast-Food &amp; Quick-Service Restaurants	Restaurants, Bars &amp; Food Services	36	2.5	2.2	2.8	2.0	1.9	1.8	0.1	Andrew F. Puzder	37
Village Inn Restaurants	Overall	Casual Restaurants	Restaurants, Bars &amp; Food Services	32	2.8	3.2	2.6	2.3	2.3	3.0	0.2		
Frisch's	Overall	
Habit Burger Grill	Overall	Fast-Food &amp; Quick-Service Restaurants	Restaurants, Bars &amp; Food Services	21	3.7	4.4	3.2	3.5	3.5	3.8	0.7	Russ Bendel	100
Cameron Mitchell Restaurants	Overall	Upscale Restaurants	Restaurants, Bars &amp; Food Services	18	4	4.2	3.8	3.8	3.4	3.4	0.8	Cameron Mitchell	93
The Egg and I Restaurants	Overall	Casual Restaurants	Restaurants, Bars &amp; Food Services	18	2.8	3.5	3.5	2.4	2.1	2.5	0.5	Bill Baumhauer	56
Tavistock Restaurants	Overall	Upscale Restaurants	Restaurants, Bars &amp; Food Services	18	1.9	1.4	2.0	1.6	1.7	1.7	0.1	Bryan Lockwood	0
Keg Restaurants	Overall	
Copeland's Restaurants	Overall	Casual Restaurants	Restaurants, Bars &amp; Food Services	17	3	3.1	3.3	2.4	2.6	2.9	0.6		
A&W; Restaurants	Overall	Food &amp; Beverage Manufacturing	Manufacturing	509	3.6	3.6	3.1	2.9	3.6	3.3	0.7	Grant F. Reid	91
Copper Cellar Restaurants	Overall	Casual Restaurants	Restaurants, Bars &amp; Food Services	16	3.7	2.9	3.1	3.2	2.7	2.8	0.5	Michael D. Chase	39
Norms Restaurants	Overall	Casual Restaurants	Restaurants, Bars &amp; Food Services	15	3.1	3.1	2.7	2.9	2.8	3.3	0.6		
Palm Restaurants	Overall	Upscale Restaurants	Restaurants, Bars &amp; Food Services	16	3.7	3.3	4.1	4.0	3.8	2.7	0.6	John T. Bettin	71
Nando's Peri Peri	Overall	Casual Restaurants	Restaurants, Bars &amp; Food Services	28	3.3	3.6	2.8	2.8	2.9	3.1	0.5	Burton Heiss	93
Il Fornaio	Overall	Upscale Restaurants	Restaurants, Bars &amp; Food Services	11	3.9	3.6	3.7	3.1	3.2	3.2	0.8	Mike Hislop	100
Dante's Restaurants	Overall	Casual Restaurants	Restaurants, Bars &amp; Food Services	11	2.3	1.3	1.8	1.1	1.5	2.6	0.2		
Buckhead Life Restaurants	Overall	Upscale Restaurants	Restaurants, Bars &amp; Food Services	9	3.3	0.0	0.0	0.0	0.0	0.0	0.0	I. Pano Karatassos	21
The Common Man Family of Restaurants	Overall	Casual Restaurants	Restaurants, Bars &amp; Food Services	12	3.5	0.0	0.0	0.0	0.0	0.0	0.0	Jason Lyon	100
Restaurants on the Run	Overall	Casual Restaurants	Restaurants, Bars &amp; Food Services	9	3.9	0.0	0.0	0.0	0.0	0.0	0.0	Michael Caito	82
Restaurants-America	Overall	Upscale Restaurants	Restaurants, Bars &amp; Food Services	10	2.6	0.0	0.0	0.0	0.0	0.0	0.0	Roger Greenfield	0
TS Restaurants	Overall	
Roy Rogers Restaurants	Overall	Fast-Food &amp; Quick-Service Restaurants	Restaurants, Bars &amp; Food Services	8	3.3	0.0	0.0	0.0	0.0	0.0	0.0	Jim Plamondon	100
Ark Restaurants	Overall	
J. Christopher's	Overall	Casual Restaurants	Restaurants, Bars &amp; Food Services	9	3.7	0.0	0.0	0.0	0.0	0.0	0.0		
Elmer's Restaurants	Overall	
Goode Company Restaurants	Overall	Casual Restaurants	Restaurants, Bars &amp; Food Services	8	3.7	0.0	0.0	0.0	0.0	0.0	0.0	Levi Goode	100
Red Hot &amp; Blue Restaurants	Overall	Casual Restaurants	Restaurants, Bars &amp; Food Services	8	1.9	0.0	0.0	0.0	0.0	0.0	0.0	John Walker	22
