Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
"W &amp; M Restaurants"	Overall	"Hotels, Motels, &amp; Resorts"	"Travel &amp; Tourism"	992	3.5	3.6	3.2	3.0	3.2	3.4	0.6	Adam Aron	43
"A&W; Restaurants"	Overall	"Food &amp; Beverage Manufacturing"	Manufacturing	509	3.6	3.6	3.1	2.9	3.6	3.3	0.7	Grant F. Reid	91
Chevy's	Overall	Casual Restaurants	"Restaurants, Bars &amp; Food Services"	46	2.9	2.7	2.8	2.4	2.1	2.6	0.4	Chuck Rink	15
Shari's Restaurants	Overall	Casual Restaurants	"Restaurants, Bars &amp; Food Services"	44	3.3	3.1	2.8	3.0	2.7	3.0	0.7	Bruce MacDiarmid	41
First Watch	Overall	Casual Restaurants	"Restaurants, Bars &amp; Food Services"	42	3.5	3.3	3.3	3.1	2.8	2.8	0.5	Ken Pendery	86
Big Boy Restaurants	Overall	Casual Restaurants	"Restaurants, Bars &amp; Food Services"	42	2.9	2.4	2.9	2.2	2.4	2.5	0.4	Keith E. Sirois	85
Starr Restaurants	Overall	Casual Restaurants	"Restaurants, Bars &amp; Food Services"	36	3.6	3.5	3.3	3.1	3.2	3.2	0.7	Stephen Starr	73
CKE Restaurants	Overall	"Fast-Food &amp; Quick-Service Restaurants"	"Restaurants, Bars &amp; Food Services"	36	2.5	2.2	2.8	2.0	1.9	1.8	0.1	Andrew F. Puzder	37
Village Inn Restaurants	Overall	Casual Restaurants	"Restaurants, Bars &amp; Food Services"	32	2.8	3.2	2.6	2.3	2.3	3.0	0.2		
Nando's Peri Peri	Overall	Casual Restaurants	"Restaurants, Bars &amp; Food Services"	28	3.3	3.6	2.8	2.8	2.9	3.1	0.5	Burton Heiss	93
Habit Burger Grill	Overall	"Fast-Food &amp; Quick-Service Restaurants"	"Restaurants, Bars &amp; Food Services"	21	3.7	4.4	3.2	3.5	3.5	3.8	0.7	Russ Bendel	100
Cameron Mitchell Restaurants	Overall	Upscale Restaurants	"Restaurants, Bars &amp; Food Services"	18	4	4.2	3.8	3.8	3.4	3.4	0.8	Cameron Mitchell	93
The Egg and I Restaurants	Overall	Casual Restaurants	"Restaurants, Bars &amp; Food Services"	18	2.8	3.5	3.5	2.4	2.1	2.5	0.5	Bill Baumhauer	56
Tavistock Restaurants	Overall	Upscale Restaurants	"Restaurants, Bars &amp; Food Services"	18	1.9	1.4	2.0	1.6	1.7	1.7	0.1	Bryan Lockwood	0
East Side Mario's	Overall	Casual Restaurants	"Restaurants, Bars &amp; Food Services"	18	3.1	0.0	0.0	0.0	0.0	0.0	0.0		
Copeland's Restaurants	Overall	Casual Restaurants	"Restaurants, Bars &amp; Food Services"	17	3	3.1	3.3	2.4	2.6	2.9	0.6		
Copper Cellar Restaurants	Overall	Casual Restaurants	"Restaurants, Bars &amp; Food Services"	16	3.7	2.9	3.1	3.2	2.7	2.8	0.5	Michael D. Chase	39
Palm Restaurants	Overall	Upscale Restaurants	"Restaurants, Bars &amp; Food Services"	16	3.7	3.3	4.1	4.0	3.8	2.7	0.6	John T. Bettin	71
Norms Restaurants	Overall	Casual Restaurants	"Restaurants, Bars &amp; Food Services"	15	3.1	3.1	2.7	2.9	2.8	3.3	0.6		
The Common Man Family of Restaurants	Overall	Casual Restaurants	"Restaurants, Bars &amp; Food Services"	12	3.5	0.0	0.0	0.0	0.0	0.0	0.0	Jason Lyon	100
Il Fornaio	Overall	Upscale Restaurants	"Restaurants, Bars &amp; Food Services"	11	3.9	3.6	3.7	3.1	3.2	3.2	0.8	Mike Hislop	100
Dante's Restaurants	Overall	Casual Restaurants	"Restaurants, Bars &amp; Food Services"	11	2.3	1.3	1.8	1.1	1.5	2.6	0.2		
