Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
Sobeys	Overall	"Food &amp; Beverage Stores"	Retail	312	3.4	0.0	0.0	0.0	0.0	0.0	0.0	Marc Poulin	70
Telstra	Overall	Telecommunications Services	Telecommunications	293	3.7	0.0	0.0	0.0	0.0	0.0	0.0	David Thodey	93
Renault	Overall	Industrial Manufacturing	Manufacturing	168	3.4	0.0	0.0	0.0	0.0	0.0	0.0	Carlos Ghosn	66
Virgin Media	Overall	"Cable, Internet &amp; Telephone Providers"	Telecommunications	142	3.4	0.0	0.0	0.0	0.0	0.0	0.0	Tom Mockridge	66
New Look	Overall	"Department, Clothing, &amp; Shoe Stores"	Retail	108	2.9	0.0	0.0	0.0	0.0	0.0	0.0	Anders Kristiansen	78
GAME Digital	Overall	"Consumer Electronics &amp; Appliances Stores"	Retail	67	3.9	0.0	0.0	0.0	0.0	0.0	0.0	Martyn Gibbs	88
RetailData	Overall	Other Retail Stores	Retail	66	2.2	2.0	2.7	2.1	1.7	1.7	0.3	Christine Cottrell	38
IZ-ON Media	Overall	"Motion Picture Production &amp; Distribution"	Media	57	2.3	3.0	3.8	2.4	2.6	2.1	0.3	Ahmad Ouri	30
Reliant Energy	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	57	2.8	2.4	3.2	2.3	2.9	2.7	0.6	Elizabeth Killinger	76
Schawk	Overall	"Advertising &amp; Marketing"	Business Services	57	2.4	2.5	3.0	2.3	2.9	2.2	0.4	MichaeI Komasinski	43
Summit Retail Solutions	Overall	"Advertising &amp; Marketing"	Business Services	54	3.6	3.5	2.9	3.6	3.5	3.7	0.7	Chad Powers	0
Winston Retail	Overall	"Department, Clothing, &amp; Shoe Stores"	Retail	51	3.6	3.4	4.0	3.1	2.8	2.5	0.8	Jan Croatt	85
Retail Group of America	Overall	"Department, Clothing, &amp; Shoe Stores"	Retail	49	1.7	1.6	1.8	1.7	1.9	2.0	0.2		
ATA Retail	Overall	Vehicle Dealers	Retail	46	2.6	2.5	3.5	2.5	2.1	2.1	0.5		
Retail Business Development	Overall	"Consumer Electronics &amp; Appliances Stores"	Retail	45	2.6	2.4	2.8	2.3	2.6	2.7	0.4	JImmy Ralph	61
Tire Kingdom	Overall	"Automotive Parts &amp; Accessories Stores"	Retail	43	2.5	1.7	1.9	1.7	2.3	1.9	0.1	Orland M. Wolford	45
Bridgestone Retail Operations	Overall	"Auto Repair &amp; Maintenance"	"Construction, Repair &amp; Maintenance"	43	3.2	2.8	2.4	2.6	3.3	2.9	0.4	Matt Hoskins	47
The Retail Outsource	Overall	"Advertising &amp; Marketing"	Business Services	41	2.8	2.4	3.0	2.7	2.6	2.9	0.4	Brett Beveridge	70
Bunzl	Overall	Trucking	"Transportation &amp; Logistics"	40	2.3	2.2	2.7	2.3	3.1	2.1	0.3	Pat Larmon	57
Icebreaker	Overall	Consumer Products Manufacturing	Manufacturing	38	2.3	2.4	3.2	1.9	2.5	2.0	0.3	Rob Fyfe	49
StratMar	Overall	Consulting	Business Services	37	3.2	3.2	3.6	3.3	3.2	3.2	0.6	Ethan Charas	71
Retail Data Systems	Overall	"Computer Hardware &amp; Software"	Information Technology	34	2.8	2.8	2.6	2.8	2.8	2.7	0.5	Brian Podraza	74
Ascena Retail Group	Overall	"Department, Clothing, &amp; Shoe Stores"	Retail	33	2.9	3.2	3.4	2.7	3.3	2.5	0.6		
Future Value Retail	Overall	Vehicle Dealers	Retail	29	3.5	0.0	0.0	0.0	0.0	0.0	0.0		
Apollo Retail Specialists	Overall	"Advertising &amp; Marketing"	Business Services	27	3.2	2.9	2.9	2.7	2.9	3.0	0.6	Mike Sunderland	67
Marshall Retail Group	Overall	"Department, Clothing, &amp; Shoe Stores"	Retail	27	2.7	2.6	2.6	2.2	2.3	3.0	0.4	Michael C. Wilkins	67
Retail Assistance	Overall	"Advertising &amp; Marketing"	Business Services	25	4	3.9	4.1	3.7	2.9	2.9	0.8	Alan Spalter	94
KraftMaid Cabinetry	Overall	Wood Product Manufacturing	Manufacturing	23	2.6	2.0	2.1	1.6	3.2	2.2	0.4	Timothy Wadhams	23
