Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
NETWORK	Overall	Telecommunications Services	Telecommunications	9787	3.4	0.0	0.0	0.0	0.0	0.0	0.0	Randall L. Stephenson	72
University of Michigan	Overall	"Colleges &amp; Universities"	Education	1193	4.2	4.0	4.0	3.5	3.8	3.7	0.9	Mark Schlissel	97
NYU (New York University)	Overall	"Colleges &amp; Universities"	Education	797	4	3.8	3.9	3.4	3.5	3.5	0.8	John E. Sexton	80
University of Chicago	Overall	"Colleges &amp; Universities"	Education	596	3.7	3.6	3.5	3.1	3.3	3.5	0.7	Robert J. Zimmer	64
LivingSocial	Overall	Internet	Information Technology	543	2.9	3.4	3.5	2.4	3.5	2.6	0.4	Gautam Thakar	43
Social Security Administration	Overall	Federal Agencies	Government	368	3.3	2.9	3.9	2.9	3.7	2.8	0.6	Carolyn W. Colvin	70
"Social &amp; Scientific Systems"	Overall	Federal Agencies	Government	368	3.3	2.9	3.9	2.9	3.7	2.8	0.6	Carolyn W. Colvin	70
New School	Overall	"Colleges &amp; Universities"	Education	103	3.7	3.5	3.8	3.2	3.1	3.0	0.8	David E. Van Zandt	87
Sierra Club	Overall	Membership Organizations	Business Services	80	3.8	4.3	3.9	4.0	3.3	3.5	0.9	Michael Brune	95
University of Idaho	Overall	"Colleges &amp; Universities"	Education	68	3.7	3.8	3.7	3.1	2.6	3.2	0.8	Chuck Staben	100
State of Arkansas	Overall	"State &amp; Regional Agencies"	Government	61	3.1	3.2	3.6	2.8	2.8	2.9	0.7	Mike Beebe	96
Washington State Department of Social and Health Services	Overall	"State &amp; Regional Agencies"	Government	58	2.7	2.7	2.9	2.3	2.9	3.0	0.4	Kevin Quigley	48
SoFi	Overall	Lending	Finance	47	4.2	4.4	3.8	4.3	4.6	4.3	0.9	Mike Cagney	97
Social Annex	Overall	"Computer Hardware &amp; Software"	Information Technology	35	3	3.1	2.7	3.1	2.8	3.2	0.6	Al Lalani	53
Sprout Social	Overall	Internet	Information Technology	33	4.8	5.0	4.8	4.9	4.5	4.5	1.0	Justyn Howard	100
City of Richmond Virginia	Overall	Municipal Governments	Government	33	2.3	1.9	2.9	1.9	2.2	2.1	0.3	Dwight C. Jones	24
SocialChorus	Overall	"Computer Hardware &amp; Software"	Information Technology	32	3.8	4.3	3.9	3.9	3.8	4.1	0.8	Greg Shove	90
Social Solutions	Overall	"Computer Hardware &amp; Software"	Information Technology	31	3.4	3.5	3.4	3.2	3.1	3.6	0.7	Scott Johnson	70
