[u'Integra Telecommunication &amp; Software', u'The Institution of Electronics &amp; Telecommunication Engineers', u'Al-Babtain Power &amp; Telecommunication Co.', u'DVJ Telecommunication', u'UTS Group', u'Atlas Wireless and Telecommunication', u'Etihad Atheeb Telecom', u'Northern Digital Telecommunication', u'United Computer &amp; Telecommunication', u'College of Telecommunication Engineering', u'ENMR-Plateau', u'Zain', u'BUPT', u'Nebraska Educational Telecommunications', u'CSI Telecommunications', u'Networkers Telecommunications', u'Lane Telecommunications', u'ProComm Telecommunications', u'Telecommunications Development', u'Colt Technology Services', u'LDMI Telecommunications', u'Neko Telecommunications', u'Panam Telecom', u'Society of Cable Telecommunications Engineers', u'TSTT', u'Tennessee Independent Telecommunications Group', u'Iowa Telecommunications', u'SOTELCO', u'WICT', u'Birns Telecommunications', u'M-Net Telecommunications', u'Impactchoice-Services', u'Access Infrastructure', u'Ascendent Telecommunications', u'Multi-Links Telecommunications', u'R&A; Telecommunications', u'Saigon Postel', u'Titan Telecommunications', u'SE Telecommunications', u'Zoom Mobile', u'Cyta', u'Virmati Software &amp; Telecommunications', u'ITCL', u'Xittel', u'National Telecommunications Commission', u'Coastal Telecommunications', u'GEOID TELECOMMUNICATIONS', u'Deptt of Telecommunications, India', u'Adroit Telecommunications', u'Life Telecom', u'BUSINESS TELECOMMUNICATIONS SERVICES', u'VTEK Telecommunications', u'Signal Telecommunications', u'Omantel', u'P N G Telecommunications', u'Telenge Telecommunications and Engineering', u'CCTS', u'Digital Telecommunications, Inc.', u'Wind Hellas', u'Graduate School of Engineering in Computer and Telecommunications Engineering', u'Epsilon Telecommunications', u'St. Petersburg State University of Telecommunications', u'Jamii Telecommunications', u'Botswana Telecommunications', u'Excel Telecommunications', u'Cellcom Telecommunications', u'Suave Telecom', u'CTS Telecommunications', u'Telecommunications Consultants India', u'Medical TeleCommunications', u'M2 Telecom', u'Forensic Telecommunications Services', u'Hellenic Telecommunications', u'112 Special Telecommunications Service', u'Romservice Telecommunications', u'Zajel Telecommunications', u'Cosmote', u'Cityfone', u'VOCOM INTERNATIONAL TELECOMMUNICATIONS', u'Stanford Telecom', u'Zinandi Telecommunications', u'Voicecom Telecommunications', u'ESTA', u'Amcom Telecommunications', u'Vnpt', u'Cameron Communications', u'Luna Space Telecommunications', u'Net Star Telecommunications', u'Research Institute of Telecommunications and Economics', u'FTW', u'Empire One Telecommunications', u'REDtone Telecommunications', u'2N Telecommunications', u'Soon Poh Telecommunications', u'Mobile Telecommunications', u'Telecommunications Industry Ombudsman', u'Odessa National Academy of Telecommunications', u'Brilliant Telecommunications', u'China Tietong', u'\u0110&mdash;AO Institute of Telecommunications', u'Full Spectrum Telecommunications', u'Dominican Telecommunications Institute', u'National Telecommunications Corporation, Sudan', u'Northland Telecommunications', u'Injaz Telecom', u'Performance Telecommunications', u'TELECALL TELECOMMUNICATIONS', u'KFTC', u'Thuraya Telecommunications Company', u'Tanzania Telecommunications Company']
Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
Integra Telecommunication &amp; Software	Overall	IT Services	Information Technology	1	3	0.0	0.0	0.0	0.0	0.0	0.0		
The Institution of Electronics &amp; Telecommunication Engineers	Overall	Colleges &amp; Universities	Education	2	2.6	0.0	0.0	0.0	0.0	0.0	0.0	S Narayana	100
Al-Babtain Power &amp; Telecommunication Co.	Overall	Telecommunications Manufacturing	Telecommunications	3	3.8	0.0	0.0	0.0	0.0	0.0	0.0		
DVJ Telecommunication	Overall	
UTS Group	Overall	
Atlas Wireless and Telecommunication	Overall	Cable, Internet &amp; Telephone Providers	Telecommunications	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
Etihad Atheeb Telecom	Overall	Cable, Internet &amp; Telephone Providers	Telecommunications	7	2.6	0.0	0.0	0.0	0.0	0.0	0.0		
Northern Digital Telecommunication	Overall	
United Computer &amp; Telecommunication	Overall	Colleges &amp; Universities	Education	694	3.9	0.0	0.0	0.0	0.0	0.0	0.0	Robert L. Barchi	70
College of Telecommunication Engineering	Overall	
ENMR-Plateau	Overall	
Zain	Overall	Telecommunications Services	Telecommunications	31	3.7	0.0	0.0	0.0	0.0	0.0	0.0	Nabeel Bin Salamah	61
BUPT	Overall	Colleges &amp; Universities	Education	10	4.4	0.0	0.0	0.0	0.0	0.0	0.0		
Nebraska Educational Telecommunications	Overall	TV Broadcast &amp; Cable Networks	Media	2	4.4	0.0	0.0	0.0	0.0	0.0	0.0		
CSI Telecommunications	Overall	
Networkers Telecommunications	Overall	
Lane Telecommunications	Overall	IT Services	Information Technology	2	2.4	0.0	0.0	0.0	0.0	0.0	0.0		
ProComm Telecommunications	Overall	Telecommunications Services	Telecommunications	2	3.5	0.0	0.0	0.0	0.0	0.0	0.0	Tom &amp; Cathy Reardon	0
Telecommunications Development	Overall	
Colt Technology Services	Overall	
LDMI Telecommunications	Overall	
Neko Telecommunications	Overall	Cable, Internet &amp; Telephone Providers	Telecommunications	1	5	0.0	0.0	0.0	0.0	0.0	0.0		
Panam Telecom	Overall	
Society of Cable Telecommunications Engineers	Overall	
TSTT	Overall	Cable, Internet &amp; Telephone Providers	Telecommunications	5	3.4	0.0	0.0	0.0	0.0	0.0	0.0	George Hill	100
Tennessee Independent Telecommunications Group	Overall	Telecommunications Services	Telecommunications	1	4	0.0	0.0	0.0	0.0	0.0	0.0	Willie Lewis	0
Iowa Telecommunications	Overall	Cable, Internet &amp; Telephone Providers	Telecommunications	1	4	0.0	0.0	0.0	0.0	0.0	0.0	Jeffery R. (Jeff) Gardner	0
SOTELCO	Overall	
WICT	Overall	
Birns Telecommunications	Overall	
M-Net Telecommunications	Overall	Cable, Internet &amp; Telephone Providers	Telecommunications	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
Impactchoice-Services	Overall	Cable, Internet &amp; Telephone Providers	Telecommunications	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
Access Infrastructure	Overall	
Ascendent Telecommunications	Overall	Computer Hardware &amp; Software	Information Technology	0	0	0.0	0.0	0.0	0.0	0.0	0.0	Deborah G. (Debbie) Miller	0
Multi-Links Telecommunications	Overall	
R&A; Telecommunications	Overall	Toy &amp; Hobby Stores	Retail	1820	2.9	2.9	2.9	2.5	2.4	2.7	0.5	David A. Brandon	29
Saigon Postel	Overall	
Titan Telecommunications	Overall	Cable, Internet &amp; Telephone Providers	Telecommunications	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
SE Telecommunications	Overall	Telecommunications Services	Telecommunications	2	1	0.0	0.0	0.0	0.0	0.0	0.0		
Zoom Mobile	Overall	Cable, Internet &amp; Telephone Providers	Telecommunications	1	4	0.0	0.0	0.0	0.0	0.0	0.0	Edwin Momife	0
Cyta	Overall	
Virmati Software &amp; Telecommunications	Overall	
ITCL	Overall			0	0	0.0	0.0	0.0	0.0	0.0	0.0		
Xittel	Overall	Cable, Internet &amp; Telephone Providers	Telecommunications	1	2	0.0	0.0	0.0	0.0	0.0	0.0		
National Telecommunications Commission	Overall	
Coastal Telecommunications	Overall	
GEOID TELECOMMUNICATIONS	Overall			1	3	0.0	0.0	0.0	0.0	0.0	0.0		
Deptt of Telecommunications, India	Overall	Federal Agencies	Government	1	3	0.0	0.0	0.0	0.0	0.0	0.0		
Adroit Telecommunications	Overall	Cable, Internet &amp; Telephone Providers	Telecommunications	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
Life Telecom	Overall	Cable, Internet &amp; Telephone Providers	Telecommunications	1	5	0.0	0.0	0.0	0.0	0.0	0.0		
BUSINESS TELECOMMUNICATIONS SERVICES	Overall			0	0	0.0	0.0	0.0	0.0	0.0	0.0		
VTEK Telecommunications	Overall	
Signal Telecommunications	Overall	
Omantel	Overall	Cable, Internet &amp; Telephone Providers	Telecommunications	3	3.2	0.0	0.0	0.0	0.0	0.0	0.0		
P N G Telecommunications	Overall			1	2	0.0	0.0	0.0	0.0	0.0	0.0		
Telenge Telecommunications and Engineering	Overall	
CCTS	Overall	Cable, Internet &amp; Telephone Providers	Telecommunications	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
Digital Telecommunications, Inc.	Overall	
Wind Hellas	Overall	
Graduate School of Engineering in Computer and Telecommunications Engineering	Overall			0	0	0.0	0.0	0.0	0.0	0.0	0.0		
Epsilon Telecommunications	Overall			0	0	0.0	0.0	0.0	0.0	0.0	0.0		
St. Petersburg State University of Telecommunications	Overall	
Jamii Telecommunications	Overall	Cable, Internet &amp; Telephone Providers	Telecommunications	1	3	0.0	0.0	0.0	0.0	0.0	0.0		
Botswana Telecommunications	Overall	
Excel Telecommunications	Overall	Cable, Internet &amp; Telephone Providers	Telecommunications	0	0	0.0	0.0	0.0	0.0	0.0	0.0	James Cashiola	0
Cellcom Telecommunications	Overall	Cable, Internet &amp; Telephone Providers	Telecommunications	2	4.6	0.0	0.0	0.0	0.0	0.0	0.0		
Suave Telecom	Overall	Cable, Internet &amp; Telephone Providers	Telecommunications	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
CTS Telecommunications	Overall			0	0	0.0	0.0	0.0	0.0	0.0	0.0		
Telecommunications Consultants India	Overall	Consulting	Business Services	11	3.5	0.0	0.0	0.0	0.0	0.0	0.0		
Medical TeleCommunications	Overall	Cable, Internet &amp; Telephone Providers	Telecommunications	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
M2 Telecom	Overall	
Forensic Telecommunications Services	Overall	Telecommunications Services	Telecommunications	1	3	0.0	0.0	0.0	0.0	0.0	0.0	Ray Clethro	0
Hellenic Telecommunications	Overall	Cable, Internet &amp; Telephone Providers	Telecommunications	46	3.7	0.0	0.0	0.0	0.0	0.0	0.0	Michael Tsamaz	100
112 Special Telecommunications Service	Overall			1	3	0.0	0.0	0.0	0.0	0.0	0.0		
Romservice Telecommunications	Overall	
Zajel Telecommunications	Overall	Telecommunications Services	Telecommunications	1	3	0.0	0.0	0.0	0.0	0.0	0.0		
Cosmote	Overall	
Cityfone	Overall	
VOCOM INTERNATIONAL TELECOMMUNICATIONS	Overall			0	0	0.0	0.0	0.0	0.0	0.0	0.0		
Stanford Telecom	Overall	Cable, Internet &amp; Telephone Providers	Telecommunications	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
Zinandi Telecommunications	Overall	
Voicecom Telecommunications	Overall	
ESTA	Overall	
Amcom Telecommunications	Overall	Cable, Internet &amp; Telephone Providers	Telecommunications	4	3.7	0.0	0.0	0.0	0.0	0.0	0.0		
Vnpt	Overall	
Cameron Communications	Overall			1	2	0.0	0.0	0.0	0.0	0.0	0.0		
Luna Space Telecommunications	Overall			0	0	0.0	0.0	0.0	0.0	0.0	0.0		
Net Star Telecommunications	Overall	Cable, Internet &amp; Telephone Providers	Telecommunications	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
Research Institute of Telecommunications and Economics	Overall	Social Assistance	Non-Profit	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
FTW	Overall			0	0	0.0	0.0	0.0	0.0	0.0	0.0	Michael Rauhofer	0
Empire One Telecommunications	Overall			0	0	0.0	0.0	0.0	0.0	0.0	0.0		
REDtone Telecommunications	Overall	
Soon Poh Telecommunications	Overall	Cable, Internet &amp; Telephone Providers	Telecommunications	3	2.2	0.0	0.0	0.0	0.0	0.0	0.0		
Mobile Telecommunications	Overall	
Telecommunications Industry Ombudsman	Overall	Federal Agencies	Government	1	1	0.0	0.0	0.0	0.0	0.0	0.0		
Odessa National Academy of Telecommunications	Overall	Colleges &amp; Universities	Education	1	2	0.0	0.0	0.0	0.0	0.0	0.0		
Brilliant Telecommunications	Overall	Telecommunications Services	Telecommunications	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
China Tietong	Overall	
Full Spectrum Telecommunications	Overall	Telecommunications Services	Telecommunications	1	1	0.0	0.0	0.0	0.0	0.0	0.0	Daniel P. Johnson	0
Dominican Telecommunications Institute	Overall	Education Training Services	Education	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
National Telecommunications Corporation, Sudan	Overall	Federal Agencies	Government	1	5	0.0	0.0	0.0	0.0	0.0	0.0		
Northland Telecommunications	Overall	Cable, Internet &amp; Telephone Providers	Telecommunications	0	0	0.0	0.0	0.0	0.0	0.0	0.0	John S. Whetzell	0
Injaz Telecom	Overall	
Performance Telecommunications	Overall			0	0	0.0	0.0	0.0	0.0	0.0	0.0		
TELECALL TELECOMMUNICATIONS	Overall			1	3	0.0	0.0	0.0	0.0	0.0	0.0		
KFTC	Overall	
Thuraya Telecommunications Company	Overall	
Tanzania Telecommunications Company	Overall	Cable, Internet &amp; Telephone Providers	Telecommunications	1	3	0.0	0.0	0.0	0.0	0.0	0.0		
