[u'Ministry of Foreign Trade and Tourism', u'Tourism Ireland', u'Tourism Australia', u'Republic of Turkey Ministry of Culture and Tourism', u'Massachusetts Office of Travel &amp; Tourism', u'Eternity Int\xe2&euro;&trade;l Travels &amp; Tourism', u'Tourism Fund', u'Heritage Institute of Hotel &amp; Tourism', u'Global Travels &amp; Tourism Group', u'Economic Development &amp; Tourism KZN', u'Department of Tourism (Philippines)', u'Ministry of Tourism India', u'Tourism Development Institute Mysore', u'Banff &amp; Lake Louise Tourism', u'Nahas Travel &amp; Tourism', u'West Bengal Tourism', u'Tourism of Portugal', u'Switzerland Tourism', u'Chandigarh Industrial &amp; Tourism Development', u'Spanish Ministry of Industry, Energy and Tourism', u'Tourism Jasper', u'Tourism of Gujarat', u'Liberty International Tourism Group', u'A Couple of Chicks e-Marketing', u"Institut de Tourisme et D'H\u0102\xb4tellerie DU Qu\u0102\u0160bec", u'Tourism Calgary', u'Ministry of Regional Development and Tourism', u'Alkinana', u'Rajasthan Tourism Development', u'Makyol', u'TransEarth Medical Tourism', u'Himachal Tourism', u'ADTA', u'Tourism College of Zhejiang', u'Tourism Victoria', u'Tourism Surrey', u'Active Tourism Istanbul', u'Amlak Hotels', u'Greater Subic Bay Tourism Bureau', u'Ontario Ministry of Culture', u'DOTW', u'Abu Dhabi Tourism &amp; Culture Authority', u'Korea Tourism Organization', u'BHMTTI', u'Department of Resources, Energy and Tourism', u'Ganga Tourism', u'Polish Chamber of Tourism', u'Nazareth Association', u'Legend International College of Hospitality &amp; Tourism', u'Safeer Hotels &amp; Tourism', u'Grand Bahama Island Tourism Board', u'Tourism New Brunswick', u'Tourism British Columbia', u'IRCTC', u'Institute for Tourism Studies', u'Al-Suhaimi Travel', u'Andhra Pradesh Tourism Development', u'COTRI China Outbound Tourism Research Institute', u'Canadian Tourism Human Resource Council', u'Umair Travels and Tourism', u'Utah Office of Tourism', u'Ministry of Industry, Energy and Tourism', u'Nir David Tourism', u'India Tourism Development', u'Madison County Tourism', u'STHMB', u'Tourism Eastern Townships', u'Mmsi Touring', u'Placer Valley Tourism', u'City of Bardstown Tourism', u'Saudi Commission for Tourism and Antiquities', u'CTC (Canadian Tourism Commission)', u'Selection Travel Agency and Tourism', u'Tourinfo Tourism Magazine', u'UETC', u'Falkensteiner Michaeler Tourism Group', u'Tourism Whistler', u'Seine-et-Marne Tourism', u'Niagara Falls tourism', u'Kansas Department of Wildlife, Parks and Tourism', u'Haddad Tourism Village', u'Northwest Territories Tourism', u'El Sery for Tourism Development', u'Office de Tourisme de Toulouse', u'OFICE TOURISME VALMEINIER', u'Office du Tourisme et des Congr\xe8s de Paris', u'Office de Tourisme de Brive et son Pays', u'Office de Tourisme de Brest m\xe9tropole oc\xe9ane', u'OFFICE DE TOURISME DE BLOIS | CHAMBORD', u'Office de Tourisme', u'BENOIT TOURISME VOYAGES', u'Comit\xe9 D\xe9partemental du Tourisme de la Haute-Garonne', u'Manche Tourisme', u"Office de tourisme d'Aix-les-bains", u'Rhone-Alpes Tourisme', u"l'Office de Tourisme du Pays de Murat", u"l'Office de Tourisme de Carcassonne", u'Tourisme aventure', u"l'Office du tourisme et des Congr\xe8s de Nice", u'Tourisme Rh\xf4ne', u'Tourisme de Toulouse', u'Tourisme et Culture', u'FRANCOIS-TOURISME-CONSULTANTS', u"Alpe d'Huez tourisme", u'Voyages Gallia Tourisme', u'France Tourisme']
Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
Ministry of Foreign Trade and Tourism	Overall	Federal Agencies	Government	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
Tourism Ireland	Overall	Travel Agencies	Travel &amp; Tourism	5	3.5	0.0	0.0	0.0	0.0	0.0	0.0	Niall Gibbons	0
Tourism Australia	Overall	Travel Agencies	Travel &amp; Tourism	1	4	0.0	0.0	0.0	0.0	0.0	0.0		
Republic of Turkey Ministry of Culture and Tourism	Overall	Federal Agencies	Government	1	1	0.0	0.0	0.0	0.0	0.0	0.0		
Massachusetts Office of Travel &amp; Tourism	Overall	Social Assistance	Non-Profit	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
Tourism Fund	Overall			1	3	0.0	0.0	0.0	0.0	0.0	0.0		
Heritage Institute of Hotel &amp; Tourism	Overall	Education Training Services	Education	1	3	0.0	0.0	0.0	0.0	0.0	0.0		
Global Travels &amp; Tourism Group	Overall			0	0	0.0	0.0	0.0	0.0	0.0	0.0		
Economic Development &amp; Tourism KZN	Overall	Colleges &amp; Universities	Education	784	4.3	4.2	3.4	3.7	3.4	4.2	0.9	L. Rafael Reif	96
Department of Tourism (Philippines)	Overall	
Ministry of Tourism India	Overall	Federal Agencies	Government	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
Tourism Development Institute Mysore	Overall	Colleges &amp; Universities	Education	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
Banff &amp; Lake Louise Tourism	Overall	Sports &amp; Recreation	Arts, Entertainment &amp; Recreation	2	4.5	0.0	0.0	0.0	0.0	0.0	0.0		
Nahas Travel &amp; Tourism	Overall	Travel Agencies	Travel &amp; Tourism	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
West Bengal Tourism	Overall	
Tourism of Portugal	Overall	Federal Agencies	Government	1	4	0.0	0.0	0.0	0.0	0.0	0.0		
Chandigarh Industrial &amp; Tourism Development	Overall	Advertising &amp; Marketing	Business Services	0	0	0.0	0.0	0.0	0.0	0.0	0.0	Satish Chandra	0
Spanish Ministry of Industry, Energy and Tourism	Overall	Federal Agencies	Government	1	3	0.0	0.0	0.0	0.0	0.0	0.0		
Tourism Jasper	Overall	Travel Agencies	Travel &amp; Tourism	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
Tourism of Gujarat	Overall	Federal Agencies	Government	1	3	0.0	0.0	0.0	0.0	0.0	0.0		
Liberty International Tourism Group	Overall			0	0	0.0	0.0	0.0	0.0	0.0	0.0		
A Couple of Chicks e-Marketing	Overall	Advertising &amp; Marketing	Business Services	1	5	0.0	0.0	0.0	0.0	0.0	0.0		
Tourism Calgary	Overall	Advertising &amp; Marketing	Business Services	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
Ministry of Regional Development and Tourism	Overall	Federal Agencies	Government	1	5	0.0	0.0	0.0	0.0	0.0	0.0		
Alkinana	Overall	Travel Agencies	Travel &amp; Tourism	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
Rajasthan Tourism Development	Overall	Travel Agencies	Travel &amp; Tourism	1	5	0.0	0.0	0.0	0.0	0.0	0.0	Manjit Singh	100
Makyol	Overall	Construction	Construction, Repair &amp; Maintenance	2	4	0.0	0.0	0.0	0.0	0.0	0.0		
TransEarth Medical Tourism	Overall	Health Care Services &amp; Hospitals	Health Care	1	5	0.0	0.0	0.0	0.0	0.0	0.0		
Himachal Tourism	Overall	Sports &amp; Recreation	Arts, Entertainment &amp; Recreation	1	2	0.0	0.0	0.0	0.0	0.0	0.0		
