Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
"R&J; International Travel Group"	Overall	"Toy &amp; Hobby Stores"	Retail	1820	2.9	2.9	2.9	2.5	2.4	2.7	0.5	David A. Brandon	29
Flight Centre	Overall	Travel Agencies	"Travel &amp; Tourism"	230	3.7	3.0	2.5	2.4	2.9	3.4	0.1	Graham Turner	92
BCD Travel	Overall	Travel Agencies	"Travel &amp; Tourism"	123	3.2	3.3	3.5	2.8	2.9	2.9	0.6	John Snyder	82
TravelCenters of America	Overall	"Convenience Stores &amp; Truck Stops"	"Restaurants, Bars &amp; Food Services"	111	3.1	2.7	2.6	2.5	2.6	3.0	0.4	Thomas M. O'Brien	68
Grand Circle	Overall	Travel Agencies	"Travel &amp; Tourism"	99	2.4	2.2	2.1	1.9	3.5	2.6	0.2	Alan E. Lewis	22
TUI Travel	Overall	Travel Agencies	"Travel &amp; Tourism"	95	2.6	2.7	3.3	1.7	2.1	1.3	0.0	Peter Long	64
"Education, Travel &amp; Culture"	Overall	"Colleges &amp; Universities"	Education	93	3	0.0	0.0	0.0	0.0	0.0	0.0	Jim Hall	67
STA Travel	Overall	Travel Agencies	"Travel &amp; Tourism"	80	2.9	3.8	3.9	2.0	2.8	3.0	0.6	Peter Liney	28
American Express TRS	Overall	Travel Agencies	"Travel &amp; Tourism"	73	3.3	3.5	3.5	3.0	3.5	3.0	0.6	Kenneth Chenault	95
Kuoni Group	Overall	Travel Agencies	"Travel &amp; Tourism"	65	3.4	0.0	0.0	0.0	0.0	0.0	0.0	Peter Meier	84
The Mark Travel Corporation	Overall	Travel Agencies	"Travel &amp; Tourism"	64	3.8	4.0	3.7	3.5	3.6	3.9	0.8	William E. La Macchia	92
VE	Overall	"Computer Hardware &amp; Software"	Information Technology	54	2	0.0	0.0	0.0	0.0	0.0	0.0	Rajiv Menon	47
SmarterTravel	Overall	Internet	Information Technology	38	4.2	4.5	4.2	4.0	4.1	3.8	0.9	David Krauter	99
CIBT	Overall	Travel Agencies	"Travel &amp; Tourism"	36	2.5	2.2	2.3	2.1	2.4	2.1	0.2	John Donoghue	39
Travel Impressions	Overall	Travel Agencies	"Travel &amp; Tourism"	33	2.7	2.8	3.2	2.4	2.1	2.7	0.3	Tim Mullen	19
Frosch Travel	Overall	"Advertising &amp; Marketing"	Business Services	29	2.5	2.3	2.5	2.3	2.0	2.4	0.3	Bryan Leibman	53
Audley Travel	Overall	Travel Agencies	"Travel &amp; Tourism"	27	4	0.0	0.0	0.0	0.0	0.0	0.0		
FCm Travel Solutions	Overall	Travel Agencies	"Travel &amp; Tourism"	23	3	2.1	2.6	2.3	2.1	2.9	0.3		
LS Travel Retail North American	Overall	"Department, Clothing, &amp; Shoe Stores"	Retail	22	3.4	0.0	0.0	0.0	0.0	0.0	0.0	Gerry Savaria	44
Travel Solutions	Overall	Travel Agencies	"Travel &amp; Tourism"	19	3.4	3.4	3.3	3.2	2.7	3.0	0.5	Tammy R. Troilo-Krings	57
Gullivers Travel Associates	Overall	Travel Agencies	"Travel &amp; Tourism"	18	3	0.0	0.0	0.0	0.0	0.0	0.0	Ivan Walter	100
Lowcosttravelgroup	Overall	Travel Agencies	"Travel &amp; Tourism"	18	3.9	0.0	0.0	0.0	0.0	0.0	0.0	Paul Evans	75
Atlas Travel	Overall	Travel Agencies	"Travel &amp; Tourism"	17	3.3	3.7	3.5	3.3	3.1	3.0	0.7	Elaine Osgood	73
Global Travel International	Overall	Travel Agencies	"Travel &amp; Tourism"	16	2	2.0	2.4	2.1	2.1	2.1	0.2	Michael A Gross	35
Travel and Transport	Overall	Travel Agencies	"Travel &amp; Tourism"	16	3.2	3.5	3.3	3.0	2.8	3.0	0.5	William H. Tech	79
Omega World Travel	Overall	Travel Agencies	"Travel &amp; Tourism"	15	2.3	2.1	2.4	2.2	2.2	2.7	0.4	Gloria Bohan	42
Travel Channel	Overall	"Motion Picture Production &amp; Distribution"	Media	14	3.7	4.0	4.0	3.3	4.4	3.1	0.8	Laureen Ong	61
Anthony Travel	Overall	Travel Agencies	"Travel &amp; Tourism"	14	2.9	2.9	3.3	2.8	2.5	2.6	0.4	John Anthony	73
Sapp Bros.	Overall	"General Merchandise &amp; Superstores"	Retail	13	2.8	3.4	3.2	3.0	2.4	2.7	0.7	Bill Sapp	65
Travel Guard International	Overall	Insurance Carriers	Insurance	13	2.9	3.5	3.0	2.6	3.8	3.1	0.4	Dean Sivley	74
Travel Leaders	Overall	Travel Agencies	"Travel &amp; Tourism"	13	2.9	0.0	0.0	0.0	0.0	0.0	0.0		
"Air &amp; Sea Travel"	Overall	Construction	"Construction, Repair &amp; Maintenance"	13	4.2	4.2	3.4	4.0	4.0	3.9	1.0		
Avoya Travel	Overall	Travel Agencies	"Travel &amp; Tourism"	11	3.7	3.8	3.4	3.3	2.2	3.2	0.7	Brad Anderson	80
