Company	Job	Number of reviews	Overall_Data_Science	Culture & Values_Data_Science	Work/Life Balance_Data_Science	Senior Management_Data_Science	Comp & Benefits_Data_Science	Career Opportunities_Data_Science
Microsoft	data+scientist	10	3.8	3.7	4.0	3.3	4.7	4.2
Cisco Systems	data+scientist	7450	3.7	3.7	3.9	3.1	3.7	3.4
Hewlett-Packard	data+scientist	13222	3.3	3.4	3.5	2.7	3.1	3.0
Intel Corporation	data+scientist	5252	3.7	3.7	3.5	3.1	3.9	3.5
Yahoo	data+scientist	2248	3.5	3.6	3.5	2.8	3.7	3.2
Apple	data+scientist	6017	4.0	4.2	3.3	3.5	4.1	3.5
Intuit	data+scientist	2041	3.8	4.0	4.0	3.2	4.2	3.3
eBay	data+scientist	1467	3.5	3.5	3.7	2.8	3.8	3.1
Boeing	data+scientist	3099	3.6	3.2	3.7	2.7	3.9	3.4
Symantec	data+scientist	2277	3.4	3.3	3.8	2.6	3.6	3.1
Thomson Reuters	data+scientist	3587	3.4	3.5	3.9	2.9	3.2	3.1
Uber	data+scientist	525	4.4	4.2	3.5	4.0	4.0	4.2
Rockwell Collins	data+scientist	845	3.5	3.4	3.6	2.9	3.2	3.1
Citrix Systems	data+scientist	1249	3.5	3.7	3.7	2.9	3.7	3.2
General Dynamics Mission Systems	data+scientist	669	3.0	2.8	3.4	2.3	3.2	2.7
CA Technologies	data+scientist	1498	3.2	3.3	3.7	2.7	3.6	2.9
Twitter	data+scientist	348	4.0	4.0	4.0	3.6	4.2	3.8
NetApp	data+scientist	1593	3.5	3.9	4.0	3.0	3.6	3.2
Juniper Networks	data+scientist	1140	3.7	3.6	3.8	3.1	3.9	3.4
LinkedIn	data+scientist	1087	4.4	4.5	4.1	4.1	4.3	4.1
Broadcom	data+scientist	1186	3.6	3.4	3.3	2.9	3.6	3.3
MathWorks	data+scientist	480	3.9	4.1	4.2	3.6	3.4	3.4
Zynga	data+scientist	467	3.2	3.0	3.0	2.3	3.8	3.2
Guidewire	data+scientist	397	4.5	4.6	4.4	4.3	4.2	4.3
Infosys	data+scientist	12913	3.4	3.7	3.2	2.8	2.7	3.3
BAE Systems USA	data+scientist	1040	3.3	3.2	3.5	2.8	3.3	3.0
Wipro	data+scientist	6789	3.2	3.3	3.0	2.6	2.6	3.2
Verizon	data+scientist	4286	3.4	3.1	3.0	2.7	4.0	3.1
GE Healthcare	data+scientist	1248	3.4	3.4	3.2	2.9	3.4	3.3
L-3 Communications	data+scientist	985	3.2	2.9	3.2	2.6	3.5	2.8
Texas Instruments	data+scientist	1414	3.9	3.9	3.7	3.3	3.9	3.6
Insight Global	data+scientist	1951	4.4	4.4	4.2	4.3	4.1	4.4
Honeywell	data+scientist	2577	3.2	3.0	3.1	2.6	2.9	3.0
International Game Technology	data+scientist	396	3.0	2.8	3.3	2.3	3.2	2.7
Avaya	data+scientist	1327	2.9	2.8	3.2	2.3	3.0	2.6
HCL Technologies	data+scientist	4954	3.1	3.0	3.2	2.6	2.4	3.0
Adobe	data+scientist	1694	3.9	4.1	4.0	3.4	4.1	3.5
Visa Inc.	data+scientist	1011	2.9	2.8	3.3	2.4	3.3	2.7
IGATE	data+scientist	1679	3.0	3.0	3.0	2.6	2.6	3.0
"LexisNexis Legal &amp; Professional"	data+scientist	812	3.1	3.1	3.5	2.6	3.2	2.6
MITRE	data+scientist	531	3.6	3.7	4.3	2.9	3.5	3.1
Red Hat	data+scientist	470	4.0	4.2	3.9	3.6	3.6	3.8
Mentor Graphics	data+scientist	358	3.8	3.9	4.1	3.3	3.7	3.1
Maverick Software Consulting	data+scientist	30	4.6	4.7	4.6	4.6	3.9	4.8
MicroStrategy	data+scientist	542	2.4	2.4	3.2	1.9	2.8	2.4
RealNetworks	data+scientist	225	2.5	2.7	3.8	1.9	3.1	2.6
Walmart eCommerce	data+scientist	292	3.3	3.2	3.5	2.9	3.5	3.2
KLA-Tencor	data+scientist	476	3.4	3.2	2.9	3.0	3.3	3.0
Xilinx	data+scientist	452	3.4	3.0	3.4	3.0	3.6	3.0
Riot Games	data+scientist	236	4.3	4.5	3.7	3.8	4.2	4.1
Comcast	data+scientist	3619	3.3	3.1	3.1	2.8	3.7	3.2
Salesforce	data+scientist	1561	4.1	4.1	3.7	3.6	4.2	3.9
PNC Financial Services Group	data+scientist	2119	3.3	3.6	3.5	3.0	2.9	3.2
EchoStar	data+scientist	207	2.9	2.8	3.3	2.6	2.6	2.9
Square	data+scientist	139	4.3	4.3	4.2	4.2	4.0	3.9
Hubspot	data+scientist	238	4.4	4.5	4.0	4.3	4.2	4.3
Bank of America	data+scientist	10473	3.3	3.2	3.3	2.8	3.5	3.2
Eastman Kodak	data+scientist	479	2.9	3.1	3.3	2.4	3.2	2.4
Booz Allen Hamilton	data+scientist	2804	3.4	3.5	3.5	3.0	3.2	3.4
General Dynamics Information Technology	data+scientist	761	3.0	2.8	3.1	2.5	3.1	2.9
EPAM	data+scientist	330	4.0	3.7	3.8	3.6	3.6	3.8
Western Digital	data+scientist	438	3.2	3.1	3.2	2.6	3.1	2.8
Avid Technology	data+scientist	270	2.8	2.7	2.8	2.4	3.2	2.4
eBay Enterprise	data+scientist	407	2.9	2.7	3.0	2.3	3.5	2.6
Nextag	data+scientist	110	2.7	2.5	3.1	2.1	3.1	2.8
FICO	data+scientist	388	3.2	3.1	3.3	2.8	3.1	3.2
DIRECTV	data+scientist	892	3.6	3.6	3.2	3.1	3.7	3.4
Informatica	data+scientist	607	3.9	3.9	3.9	3.6	3.9	3.6
CareerBuilder	data+scientist	608	3.7	3.8	4.0	3.3	3.5	3.7
Thales	data+scientist	329	3.3	3.1	3.4	2.6	3.4	3.0
REI Systems	data+scientist	100	3.5	3.7	3.2	3.4	3.6	3.4
MICROS Systems	data+scientist	271	2.6	2.4	2.5	2.1	2.3	2.5
Capital One	data+scientist	2741	3.6	3.8	3.7	3.2	3.9	3.3
Sony PlayStation Network	data+scientist	71	3.6	3.7	3.8	3.2	3.7	3.4
Audible	data+scientist	104	3.8	3.9	3.8	3.3	3.9	3.7
TiVo	data+scientist	129	3.5	3.4	4.2	2.8	3.3	3.2
Epic Systems Corporation (Wisconsin)	data+scientist	961	3.6	3.8	2.7	3.3	4.2	3.6
Riverbed Technology	data+scientist	629	3.4	3.6	3.8	3.1	3.6	3.1
HARMAN	data+scientist	230	3.2	2.9	3.0	2.5	3.2	3.0
New York Times	data+scientist	203	3.7	3.9	3.9	2.8	3.4	3.1
Ancestry.com	data+scientist	131	3.8	3.8	4.4	3.3	3.7	3.3
CCC Information Services	data+scientist	134	3.1	3.1	3.3	2.9	3.6	2.8
DST Systems	data+scientist	258	2.8	2.8	2.9	2.6	2.8	2.8
Freescale Semiconductor	data+scientist	768	3.6	3.5	3.6	3.2	3.6	3.1
Pinterest	data+scientist	39	4.1	4.1	4.2	3.5	4.0	4.2
"S&P; Capital IQ"	data+scientist	409	3.3	3.2	3.9	2.9	3.4	2.9
TradeStation	data+scientist	55	3.1	3.0	3.6	2.5	3.6	2.8
