Company	Job	Number of reviews	Overall	Culture & Values	Work/Life Balance	Senior Management	Comp & Benefits	Career Opportunities
Maverick Software Consulting	designer	30	4.6	4.7	4.6	4.6	3.9	4.8
MicroStrategy	designer	542	2.4	2.4	3.2	1.9	2.8	2.4
RealNetworks	designer	225	2.5	2.7	3.8	1.9	3.1	2.6
SRA International	designer	594	3.2	3.3	3.6	2.7	3.0	2.9
Walmart eCommerce	designer	292	3.3	3.2	3.5	2.9	3.5	3.2
Xilinx	designer	452	3.4	3.0	3.4	3.0	3.6	3.0
Comcast	designer	3620	3.3	3.1	3.1	2.8	3.7	3.2
Salesforce	designer	1561	4.1	4.1	3.7	3.6	4.2	3.9
Wayfair	designer	411	3.2	3.7	3.6	3.0	2.5	3.3
Agilent Technologies	designer	647	3.4	3.6	3.9	3.0	3.3	2.9
PNC Financial Services Group	designer	2120	3.3	3.6	3.5	3.0	2.9	3.2
Kronos Incorporated	designer	460	4.2	4.3	4.2	4.1	4.0	3.9
EchoStar	designer	207	2.9	2.8	3.3	2.6	2.6	2.9
Medtronic	designer	1129	3.7	3.8	3.4	3.1	3.8	3.4
Hubspot	designer	238	4.4	4.5	4.0	4.3	4.2	4.3
McAfee	designer	620	3.5	3.5	3.8	3.0	3.4	3.2
Blizzard Entertainment	designer	298	3.9	4.3	3.8	3.4	3.4	3.3
General Dynamics Information Technology	designer	761	3.0	2.8	3.1	2.5	3.1	2.9
Infor	designer	507	3.3	3.1	3.6	3.0	3.2	3.0
Caradigm	designer	87	3.2	3.1	3.3	2.9	3.6	2.9
Cognizant Technology Solutions	designer	9587	3.5	3.5	3.3	3.0	3.0	3.4
Tech Mahindra	designer	3024	2.8	2.8	2.9	2.4	2.3	2.9
EPAM	designer	330	4.0	3.7	3.8	3.6	3.6	3.8
Western Digital	designer	438	3.2	3.1	3.2	2.6	3.1	2.8
eBay Enterprise	designer	407	2.9	2.7	3.0	2.3	3.5	2.6
Nextag	designer	110	2.7	2.5	3.1	2.1	3.1	2.8
Amdocs	designer	1655	3.3	3.6	3.0	2.8	3.2	3.1
MICROS Systems	designer	271	2.6	2.4	2.5	2.1	2.3	2.5
Siemens	designer	1738	3.6	3.5	3.7	3.0	3.4	3.3
Capital One	designer	2741	3.6	3.8	3.7	3.2	3.9	3.3
Schneider Electric	designer	1329	3.4	3.4	3.5	2.9	3.4	3.2
Sony PlayStation Network	designer	71	3.6	3.7	3.8	3.2	3.7	3.4
Audible	designer	104	3.8	3.9	3.8	3.3	3.9	3.7
TiVo	designer	130	3.5	3.4	4.2	2.8	3.3	3.2
Epic Systems Corporation (Wisconsin)	designer	962	3.6	3.8	2.7	3.3	4.2	3.6
Riverbed Technology	designer	629	3.4	3.6	3.8	3.1	3.6	3.1
HARMAN	designer	230	3.2	2.9	3.0	2.5	3.2	3.0
Pearson	designer	1295	3.0	3.1	3.5	2.5	3.3	2.7
CCC Information Services	designer	134	3.1	3.1	3.3	2.9	3.6	2.8
Pinterest	designer	39	4.1	4.1	4.2	3.5	4.0	4.2
Teradyne	designer	105	3.3	3.1	3.5	2.8	3.4	2.6
Micron Technology	designer	665	3.4	3.3	3.2	2.9	3.4	3.2
Intelligent Software Solutions	designer	58	3.4	3.5	3.7	2.8	4.2	2.9
UnitedHealth Group	designer	3524	3.0	3.0	3.1	2.5	2.9	2.9
Intermountain Healthcare	designer	305	3.9	4.2	3.8	3.5	3.4	3.6
"S&P; Capital IQ"	designer	409	3.3	3.2	3.9	2.9	3.4	2.9
TradeStation	designer	55	3.1	3.0	3.6	2.5	3.6	2.8
Exelis	designer	448	2.9	2.7	2.9	2.3	3.0	2.7
Spirent Communications	designer	136	3.0	2.9	3.3	2.3	3.2	2.7
HomeAway	designer	225	4.1	4.2	4.0	3.8	4.1	3.8
Rearden Commerce	designer	136	2.3	2.4	2.9	2.1	3.0	2.4
Samsung Research America	designer	102	3.0	2.6	3.0	2.5	3.9	2.9
Lithium Technologies	designer	156	3.9	3.9	4.1	3.7	3.8	3.7
ARRIS	designer	168	3.3	3.2	3.6	3.0	3.5	2.9
Mozilla	designer	100	3.2	3.5	3.9	2.7	3.9	3.2
StubHub	designer	204	2.9	2.7	3.5	2.3	3.5	2.8
MobiTV	designer	70	3.4	3.7	4.0	3.1	3.6	3.0
Good Technology	designer	166	2.4	2.5	2.8	2.0	3.3	2.2
Marvell Technology	designer	485	3.2	2.8	3.2	2.6	2.9	3.0
"L&T; Infotech"	designer	1096	3.1	3.0	3.1	2.5	2.5	3.1
Risk Management Solutions	designer	239	2.8	2.8	3.4	2.2	3.4	2.8
Applied Predictive Technologies	designer	98	4.5	4.8	3.8	4.7	4.7	4.7
Volt Information Sciences	designer	342	3.0	2.8	3.1	2.7	2.4	2.7
Goldman Sachs	designer	2348	3.8	3.8	2.6	3.5	3.8	3.9
Nortel Networks	designer	478	3.3	3.7	3.7	2.5	3.8	3.6
UBS	designer	2061	3.4	3.3	3.5	3.0	3.2	3.2
Continental	designer	532	3.7	3.6	3.6	3.1	3.5	3.4
Apollo Education Group	designer	479	2.6	2.7	3.4	1.9	3.4	2.3
Syntel	designer	1059	2.7	2.5	2.5	2.1	2.2	2.7
Trading Technologies	designer	73	2.8	3.2	3.5	2.3	3.2	2.4
TEKsystems	designer	1169	3.4	3.6	3.1	3.3	3.0	3.5
Concur	designer	342	3.9	4.1	3.9	3.6	3.6	3.6
Yelp	designer	520	3.6	4.0	3.9	3.5	3.3	3.5
LiveRamp	designer	35	4.6	4.7	3.7	4.4	4.3	4.4
Palantir Technologies								
