Company	Job	Number of reviews	Overall_Senior_Software	Culture & Values_Senior_Software	Work/Life Balance_Senior_Software	Senior Management_Senior_Software	Comp & Benefits_Senior_Software	Career Opportunities_Senior_Software
Microsoft	senior+software+engineer	404	3.7	3.6	3.5	3.1	3.9	3.8
IBM	senior+software+engineer	233	2.9	2.9	3.3	2.2	2.7	3.1
Amazon.com	senior+software+engineer	38	3.1	3.0	2.6	2.9	3.8	3.5
Cisco Systems	senior+software+engineer	7448	3.7	3.7	3.9	3.1	3.7	3.4
Google	senior+software+engineer	135	4.6	4.6	4.0	4.2	4.7	4.3
Hewlett-Packard	senior+software+engineer	222	3.3	3.3	3.8	2.8	2.9	2.9
Intel Corporation	senior+software+engineer	168	3.8	3.8	3.7	3.1	3.9	3.8
Lockheed Martin	senior+software+engineer	3279	3.5	3.4	3.6	2.9	3.5	3.3
Oracle	senior+software+engineer	204	3.4	3.4	4.0	3.1	3.0	3.2
Qualcomm	senior+software+engineer	114	3.8	3.5	3.2	3.2	3.8	3.5
Facebook	senior+software+engineer	1016	4.4	4.4	3.8	4.2	4.5	4.3
Yahoo	senior+software+engineer	150	3.3	3.4	3.4	2.5	3.6	3.1
Apple	senior+software+engineer	74	3.1	3.2	2.3	3.1	3.7	3.0
Motorola Mobility	senior+software+engineer	1743	3.3	3.5	3.4	2.6	3.7	2.7
Intuit	senior+software+engineer	119	3.4	3.8	3.7	2.7	4.1	3.0
EMC	senior+software+engineer	117	3.4	3.2	4.0	2.6	3.3	3.2
Accenture	senior+software+engineer	14059	3.6	3.7	3.1	3.1	3.3	3.6
Raytheon	senior+software+engineer	90	3.5	3.1	3.9	3.0	4.0	3.3
eBay	senior+software+engineer	64	3.8	3.8	4.1	3.0	3.6	3.3
Boeing	senior+software+engineer	14	2.9	2.7	3.4	1.8	3.7	2.2
Symantec	senior+software+engineer	2277	3.4	3.3	3.8	2.6	3.6	3.1
Cerner	senior+software+engineer	1206	3.5	3.5	3.1	3.1	3.2	3.5
Thomson Reuters	senior+software+engineer	145	3.6	3.7	4.0	3.1	3.2	3.2
Garmin	senior+software+engineer	343	3.7	3.8	3.8	3.3	3.7	3.0
Bloomberg L.P.	senior+software+engineer	1547	3.7	3.7	3.6	3.1	3.8	3.3
National Instruments	senior+software+engineer	32	2.8	3.3	3.6	2.9	2.0	2.9
Sun Microsystems	senior+software+engineer	45	4.9	4.9	4.9	2.8	3.3	3.2
FactSet	senior+software+engineer	651	3.6	3.9	4.1	3.2	3.3	3.2
Fidelity Investments	senior+software+engineer	57	3.5	3.8	3.9	2.8	3.5	2.9
NVIDIA	senior+software+engineer	917	3.8	3.8	3.4	3.4	3.7	3.6
Harris	senior+software+engineer	7	3.0	3.8	1.5	1.9	2.1	3.2
Uber	senior+software+engineer	29	5.0	4.9	4.1	4.8	4.8	5.0
Expedia	senior+software+engineer	22	4.1	4.2	4.4	4.0	3.8	4.0
Nokia	senior+software+engineer	152	3.5	3.8	4.3	2.8	3.3	3.1
Rockwell Collins	senior+software+engineer	49	2.5	2.5	3.5	2.2	2.8	2.3
Electronic Arts	senior+software+engineer	1020	3.6	3.6	3.5	3.2	3.7	3.3
Dell	senior+software+engineer	78	3.5	3.5	3.7	2.9	3.4	3.1
Citrix Systems	senior+software+engineer	1249	3.5	3.7	3.7	2.9	3.7	3.2
General Dynamics Mission Systems	senior+software+engineer	669	3.0	2.8	3.4	2.3	3.2	2.7
CA Technologies	senior+software+engineer	1497	3.2	3.3	3.7	2.7	3.6	2.9
Twitter	senior+software+engineer	348	4.0	4.0	4.0	3.6	4.2	3.8
NetApp	senior+software+engineer	1593	3.5	3.9	4.0	3.0	3.6	3.2
Juniper Networks	senior+software+engineer	1140	3.7	3.6	3.8	3.1	3.9	3.4
LinkedIn	senior+software+engineer	1087	4.4	4.5	4.1	4.1	4.3	4.1
Tata Consultancy Services	senior+software+engineer	92	3.3	3.3	3.4	2.8	2.9	3.3
Motorola Solutions	senior+software+engineer	889	3.1	3.1	3.5	2.5	3.4	2.8
SAIC	senior+software+engineer	27	3.1	3.1	3.6	2.4	3.0	3.0
Interactive Intelligence	senior+software+engineer	539	4.2	4.3	4.0	3.7	3.9	3.9
Ericsson-Worldwide	senior+software+engineer	3096	3.6	3.7	3.6	3.0	3.4	3.4
Broadcom	senior+software+engineer	1185	3.6	3.4	3.3	2.9	3.6	3.3
MathWorks	senior+software+engineer	480	3.9	4.1	4.2	3.6	3.4	3.4
Zynga	senior+software+engineer	467	3.2	3.0	3.0	2.3	3.8	3.2
Guidewire	senior+software+engineer	397	4.5	4.6	4.4	4.3	4.2	4.3
Infosys	senior+software+engineer	441	3.1	3.7	3.3	2.7	2.3	3.0
BAE Systems USA	senior+software+engineer	1040	3.3	3.2	3.5	2.8	3.3	3.0
Computer Sciences Corp	senior+software+engineer	125	2.8	3.0	3.2	2.4	2.6	2.8
AOL	senior+software+engineer	34	3.9	4.3	4.4	3.9	4.3	3.8
Wipro	senior+software+engineer	375	3.4	3.4	3.2	2.8	2.7	3.4
Verizon	senior+software+engineer	25	2.5	2.0	2.2	2.2	4.1	2.3
