Company	Job	Number of reviews	Overall_Software	Culture & Values_Software	Work/Life Balance_Software	Senior Management_Software	Comp & Benefits_Software	Career Opportunities_Software	
Microsoft	Software+Engineer	2264	3.8	3.6	3.7	3.2	3.2	4.0	3.7
IBM	Software+Engineer	1455	3.2	3.2	3.7	2.6	2.6	3.0	3.2
Amazon.com	Software+Engineer	916	3.5	3.3	2.7	3.2	3.2	3.6	3.7
Cisco Systems	Software+Engineer	7448	3.7	3.7	3.9	3.1	3.1	3.7	3.4
Google	Software+Engineer	676	4.5	4.4	4.2	4.0	4.0	4.6	4.2
Intel Corporation	Software+Engineer	590	3.7	3.8	3.8	3.1	3.1	3.8	3.5
Lockheed Martin	Software+Engineer	3278	3.5	3.4	3.6	2.9	2.9	3.5	3.3
Oracle	Software+Engineer	625	3.4	3.3	4.1	3.0	3.0	3.0	3.2
Qualcomm	Software+Engineer	343	3.6	3.3	3.2	3.0	3.0	3.8	3.5
Facebook	Software+Engineer	1016	4.4	4.4	3.8	4.2	4.2	4.5	4.3
Yahoo	Software+Engineer	366	3.5	3.6	3.6	2.6	2.6	3.8	3.2
Apple	Software+Engineer	252	3.6	3.6	2.9	3.5	3.5	4.0	3.5
Motorola Mobility	Software+Engineer	1743	3.3	3.5	3.4	2.6	2.6	3.7	2.7
Intuit	Software+Engineer	290	3.4	3.8	4.0	2.7	2.7	4.1	3.1
EMC	Software+Engineer	421	3.3	3.3	3.9	2.7	2.7	3.3	3.1
Accenture	Software+Engineer	14055	3.6	3.7	3.1	3.1	3.1	3.3	3.6
Northrop Grumman	Software+Engineer	253	3.2	3.2	3.9	2.8	2.8	3.3	2.9
Raytheon	Software+Engineer	216	3.1	3.1	3.7	2.5	2.5	3.6	2.9
eBay	Software+Engineer	224	3.4	3.4	3.9	2.7	2.7	3.6	3.2
Boeing	Software+Engineer	182	3.3	3.3	4.2	2.7	2.7	3.7	2.8
Symantec	Software+Engineer	2275	3.4	3.3	3.8	2.6	2.6	3.6	3.1
Cerner	Software+Engineer	1206	3.5	3.5	3.1	3.1	3.1	3.2	3.5
Thomson Reuters	Software+Engineer	342	3.5	3.6	4.1	3.0	3.0	3.0	3.1
