Company	Job	Number of reviews	Overall_Software	Culture & Values_Software	Work/Life Balance_Software	Senior Management_Software	Comp & Benefits_Software	Career Opportunities_Software
Microsoft	software+engineer	2265	3.8	3.6	3.7	3.2	4.0	3.7
IBM	software+engineer	1455	3.2	3.2	3.7	2.6	3.0	3.2
Amazon.com	software+engineer	916	3.5	3.3	2.7	3.2	3.6	3.7
Cisco Systems	software+engineer	7448	3.7	3.7	3.9	3.1	3.7	3.4
Google	software+engineer	676	4.5	4.4	4.2	4.0	4.6	4.2
Hewlett-Packard	software+engineer	892	3.2	3.4	3.7	2.7	2.9	2.9
Intel Corporation	software+engineer	590	3.7	3.8	3.8	3.1	3.8	3.5
Lockheed Martin	software+engineer	3280	3.5	3.4	3.6	2.9	3.5	3.3
Oracle	software+engineer	625	3.4	3.3	4.1	3.0	3.0	3.2
Qualcomm	software+engineer	343	3.6	3.3	3.2	3.0	3.8	3.5
Facebook	software+engineer	1016	4.4	4.4	3.8	4.2	4.5	4.3
Yahoo	software+engineer	366	3.5	3.6	3.6	2.6	3.8	3.2
Apple	software+engineer	252	3.6	3.6	2.9	3.5	4.0	3.5
Motorola Mobility	software+engineer	1743	3.3	3.5	3.4	2.6	3.7	2.7
Intuit	software+engineer	290	3.4	3.8	4.0	2.7	4.1	3.1
EMC	software+engineer	421	3.3	3.3	3.9	2.7	3.3	3.1
Accenture	software+engineer	14059	3.6	3.7	3.1	3.1	3.3	3.6
Northrop Grumman	software+engineer	253	3.2	3.2	3.9	2.8	3.3	2.9
Raytheon	software+engineer	216	3.1	3.1	3.7	2.5	3.6	2.9
eBay	software+engineer	224	3.4	3.4	3.9	2.7	3.6	3.2
Boeing	software+engineer	182	3.3	3.3	4.2	2.7	3.7	2.8
Symantec	software+engineer	2276	3.4	3.3	3.8	2.6	3.6	3.1
Cerner	software+engineer	1206	3.5	3.5	3.1	3.1	3.2	3.5
Thomson Reuters	software+engineer	342	3.5	3.6	4.1	3.0	3.0	3.1
Garmin	software+engineer	343	3.7	3.8	3.8	3.3	3.7	3.0
PayPal	software+engineer	1258	3.5	3.5	3.6	2.9	3.8	3.3
Bloomberg L.P.	software+engineer	1547	3.7	3.7	3.6	3.1	3.8	3.3
National Instruments	software+engineer	135	3.2	3.8	4.1	3.2	2.3	3.3
Sun Microsystems	software+engineer	133	3.9	3.9	4.4	2.4	3.7	3.3
FactSet	software+engineer	651	3.6	3.9	4.1	3.2	3.3	3.2
Fidelity Investments	software+engineer	176	3.6	3.7	4.0	3.0	3.7	3.2
NVIDIA	software+engineer	917	3.8	3.8	3.4	3.4	3.7	3.6
Harris	software+engineer	112	2.6	2.4	3.2	2.0	2.2	2.5
Uber	software+engineer	102	4.9	4.7	3.8	4.7	4.6	4.9
Expedia	software+engineer	132	4.2	4.0	4.4	3.8	3.8	3.9
Nokia	software+engineer	386	3.7	3.9	4.2	2.8	3.5	3.2
Rockwell Collins	software+engineer	127	2.9	3.0	3.5	2.2	2.7	2.6
Electronic Arts	software+engineer	1020	3.6	3.6	3.5	3.2	3.7	3.3
Dell	software+engineer	203	3.2	3.4	3.7	3.0	3.4	3.1
Citrix Systems	software+engineer	1249	3.5	3.7	3.7	2.9	3.7	3.2
General Dynamics Mission Systems	software+engineer	669	3.0	2.8	3.4	2.3	3.2	2.7
CA Technologies	software+engineer	1498	3.2	3.3	3.7	2.7	3.6	2.9
Twitter	software+engineer	348	4.0	4.0	4.0	3.6	4.2	3.8
NetApp	software+engineer	1593	3.5	3.9	4.0	3.0	3.6	3.2
Juniper Networks	software+engineer	1140	3.7	3.6	3.8	3.1	3.9	3.4
LinkedIn	software+engineer	1087	4.4	4.5	4.1	4.1	4.3	4.1
Tata Consultancy Services	software+engineer	835	3.3	3.4	3.4	2.7	2.8	3.2
Motorola Solutions	software+engineer	889	3.1	3.1	3.5	2.5	3.4	2.8
SAIC	software+engineer	86	3.2	3.3	4.2	3.0	3.0	3.6
Interactive Intelligence	software+engineer	539	4.2	4.3	4.0	3.7	3.9	3.9
Ericsson-Worldwide	software+engineer	3096	3.6	3.7	3.6	3.0	3.4	3.4
Broadcom	software+engineer	1185	3.6	3.4	3.3	2.9	3.6	3.3
MathWorks	software+engineer	480	3.9	4.1	4.2	3.6	3.4	3.4
Zynga	software+engineer	467	3.2	3.0	3.0	2.3	3.8	3.2
Guidewire	software+engineer	397	4.5	4.6	4.4	4.3	4.2	4.3
Infosys	software+engineer	1046	3.3	3.8	3.4	2.9	2.6	3.2
BAE Systems USA	software+engineer	1040	3.3	3.2	3.5	2.8	3.3	3.0
Computer Sciences Corp	software+engineer	352	2.8	3.0	3.3	2.4	2.5	2.8
AOL	software+engineer	90	3.7	4.0	4.2	3.3	3.9	3.5
Wipro	software+engineer	809	3.3	3.4	3.2	2.7	2.7	3.3
Verizon	software+engineer	159	3.2	3.2	3.3	2.7	3.4	2.9
