Source,Target,Type,Id,Label,Weight
0,14,Directed,1,,4482.0
0,15,Directed,2,,1277.0
0,16,Directed,3,,874.0
0,17,Directed,4,,847.0
0,18,Directed,5,,453.0
0,19,Directed,6,,401.0
0,20,Directed,7,,351.0
0,21,Directed,8,,325.0
0,22,Directed,9,,303.0
0,23,Directed,10,,302.0
0,24,Directed,11,,287.0
0,25,Directed,12,,278.0
0,26,Directed,13,,263.0
0,27,Directed,14,,257.0
0,28,Directed,15,,252.0
1,0,Directed,20,,92.0
1,14,Directed,28,,48.0
1,17,Directed,26,,66.0
1,20,Directed,18,,152.0
1,22,Directed,25,,67.0
1,23,Directed,22,,82.0
1,24,Directed,27,,62.0
1,29,Directed,16,,294.0
1,30,Directed,17,,236.0
1,31,Directed,19,,121.0
1,32,Directed,21,,88.0
1,33,Directed,23,,78.0
1,34,Directed,24,,74.0
1,35,Directed,29,,45.0
1,36,Directed,30,,44.0
3,37,Directed,31,,22.0
3,38,Directed,32,,20.0
3,39,Directed,33,,8.0
3,40,Directed,34,,8.0
3,41,Directed,35,,7.0
3,42,Directed,36,,5.0
5,48,Directed,39,,6.0
5,51,Directed,37,,8.0
5,52,Directed,38,,7.0
5,53,Directed,40,,6.0
5,54,Directed,41,,6.0
5,55,Directed,42,,6.0
5,56,Directed,43,,6.0
5,57,Directed,44,,6.0
5,58,Directed,45,,6.0
5,59,Directed,46,,5.0
5,60,Directed,47,,5.0
5,61,Directed,48,,5.0
5,62,Directed,49,,5.0
5,63,Directed,50,,5.0
5,64,Directed,51,,5.0
6,22,Directed,53,,5.0
6,65,Directed,52,,12.0
6,66,Directed,54,,5.0
6,67,Directed,55,,5.0
6,68,Directed,56,,5.0
7,0,Directed,59,,74.0
7,14,Directed,64,,43.0
7,16,Directed,60,,57.0
7,17,Directed,57,,87.0
7,20,Directed,58,,79.0
7,21,Directed,66,,31.0
7,25,Directed,62,,52.0
7,27,Directed,61,,56.0
7,76,Directed,63,,45.0
7,77,Directed,65,,36.0
7,78,Directed,67,,30.0
7,79,Directed,68,,28.0
7,80,Directed,69,,28.0
7,81,Directed,70,,25.0
7,82,Directed,71,,24.0
8,17,Directed,80,,60.0
8,22,Directed,84,,30.0
8,23,Directed,75,,90.0
8,53,Directed,73,,118.0
8,54,Directed,74,,99.0
8,83,Directed,72,,123.0
8,84,Directed,76,,88.0
8,85,Directed,77,,84.0
8,86,Directed,78,,81.0
8,87,Directed,79,,72.0
8,88,Directed,81,,36.0
8,89,Directed,82,,34.0
8,90,Directed,83,,31.0
8,91,Directed,85,,29.0
8,92,Directed,86,,27.0
9,22,Directed,90,,29.0
9,48,Directed,98,,11.0
9,69,Directed,95,,12.0
9,78,Directed,96,,12.0
9,93,Directed,87,,48.0
9,94,Directed,88,,38.0
9,95,Directed,89,,30.0
9,96,Directed,91,,22.0
9,97,Directed,92,,14.0
9,98,Directed,93,,13.0
9,99,Directed,94,,13.0
9,100,Directed,97,,12.0
9,101,Directed,99,,11.0
9,102,Directed,100,,10.0
9,103,Directed,101,,9.0
10,104,Directed,102,,6.0
10,105,Directed,103,,6.0
11,33,Directed,113,,84.0
11,54,Directed,114,,80.0
11,113,Directed,104,,392.0
11,114,Directed,105,,258.0
11,115,Directed,106,,185.0
11,116,Directed,107,,167.0
11,117,Directed,108,,156.0
11,118,Directed,109,,145.0
11,119,Directed,110,,118.0
11,120,Directed,111,,107.0
11,121,Directed,112,,104.0
11,122,Directed,115,,74.0
11,123,Directed,116,,67.0
11,124,Directed,117,,66.0
11,125,Directed,118,,65.0
12,23,Directed,122,,249.0
12,70,Directed,125,,186.0
12,119,Directed,133,,43.0
12,126,Directed,119,,695.0
12,127,Directed,120,,307.0
12,128,Directed,121,,295.0
12,129,Directed,123,,248.0
12,130,Directed,124,,194.0
12,131,Directed,126,,175.0
12,132,Directed,127,,138.0
12,133,Directed,128,,115.0
12,134,Directed,129,,97.0
12,135,Directed,130,,95.0
12,136,Directed,131,,70.0
12,137,Directed,132,,68.0
13,48,Directed,147,,17.0
13,103,Directed,135,,88.0
13,118,Directed,136,,78.0
13,119,Directed,137,,50.0
13,124,Directed,148,,16.0
13,138,Directed,134,,134.0
13,139,Directed,138,,33.0
13,140,Directed,139,,32.0
13,141,Directed,140,,27.0
13,142,Directed,141,,22.0
13,143,Directed,142,,20.0
13,144,Directed,143,,19.0
13,145,Directed,144,,19.0
13,146,Directed,145,,19.0
13,147,Directed,146,,17.0
14,15,Directed,151,,555.0
14,16,Directed,149,,672.0
14,17,Directed,150,,659.0
14,18,Directed,157,,259.0
14,20,Directed,155,,289.0
14,25,Directed,152,,312.0
14,26,Directed,158,,255.0
14,27,Directed,153,,294.0
14,28,Directed,161,,217.0
14,81,Directed,154,,294.0
14,148,Directed,156,,262.0
14,149,Directed,159,,253.0
14,150,Directed,160,,245.0
14,151,Directed,162,,209.0
14,152,Directed,163,,206.0
15,0,Directed,164,,1357.0
15,14,Directed,166,,494.0
15,16,Directed,167,,290.0
15,17,Directed,168,,266.0
15,18,Directed,170,,171.0
15,19,Directed,169,,237.0
15,20,Directed,178,,91.0
15,22,Directed,173,,124.0
15,23,Directed,171,,139.0
15,26,Directed,174,,111.0
15,27,Directed,172,,128.0
15,28,Directed,176,,94.0
15,150,Directed,165,,535.0
15,153,Directed,175,,94.0
15,154,Directed,177,,93.0
16,0,Directed,181,,670.0
16,14,Directed,183,,367.0
16,15,Directed,186,,180.0
16,17,Directed,180,,687.0
16,18,Directed,182,,500.0
16,20,Directed,188,,159.0
16,21,Directed,191,,140.0
16,27,Directed,192,,133.0
16,149,Directed,179,,962.0
16,155,Directed,184,,240.0
16,156,Directed,185,,200.0
16,157,Directed,187,,161.0
16,158,Directed,189,,150.0
16,159,Directed,190,,147.0
16,160,Directed,193,,125.0
17,0,Directed,200,,964.0
17,14,Directed,202,,624.0
17,16,Directed,198,,1190.0
17,18,Directed,204,,545.0
17,20,Directed,194,,2106.0
17,22,Directed,207,,488.0
17,25,Directed,197,,1298.0
17,33,Directed,195,,1590.0
17,54,Directed,196,,1521.0
17,144,Directed,199,,973.0
17,154,Directed,206,,501.0
17,156,Directed,208,,461.0
17,158,Directed,201,,759.0
17,161,Directed,203,,600.0
17,162,Directed,205,,525.0
18,0,Directed,210,,415.0
18,14,Directed,212,,191.0
18,15,Directed,215,,148.0
18,16,Directed,213,,182.0
18,17,Directed,211,,307.0
18,20,Directed,216,,121.0
18,21,Directed,219,,88.0
18,25,Directed,218,,88.0
18,26,Directed,223,,67.0
18,149,Directed,217,,111.0
18,155,Directed,214,,155.0
18,156,Directed,209,,557.0
18,158,Directed,221,,79.0
18,163,Directed,220,,83.0
18,164,Directed,222,,78.0
19,0,Directed,224,,437.0
19,14,Directed,229,,119.0
19,15,Directed,225,,241.0
19,16,Directed,226,,165.0
19,17,Directed,228,,128.0
19,18,Directed,236,,56.0
19,20,Directed,237,,48.0
19,22,Directed,233,,75.0
19,27,Directed,238,,47.0
19,153,Directed,235,,61.0
19,165,Directed,227,,163.0
19,166,Directed,230,,114.0
19,167,Directed,231,,90.0
19,168,Directed,232,,84.0
19,169,Directed,234,,65.0
20,0,Directed,250,,696.0
20,16,Directed,253,,574.0
20,17,Directed,241,,2005.0
20,25,Directed,247,,825.0
20,30,Directed,242,,1442.0
20,43,Directed,246,,840.0
20,54,Directed,244,,1242.0
20,144,Directed,252,,683.0
20,158,Directed,243,,1353.0
20,162,Directed,240,,2179.0
20,170,Directed,239,,3667.0
20,171,Directed,245,,933.0
20,172,Directed,248,,802.0
20,173,Directed,249,,802.0
20,174,Directed,251,,692.0
21,0,Directed,255,,335.0
21,14,Directed,258,,211.0
21,15,Directed,260,,138.0
21,16,Directed,257,,218.0
21,17,Directed,256,,225.0
21,18,Directed,261,,129.0
21,19,Directed,265,,100.0
21,20,Directed,263,,122.0
21,25,Directed,266,,63.0
21,26,Directed,259,,156.0
21,27,Directed,254,,509.0
21,81,Directed,262,,127.0
21,149,Directed,268,,57.0
21,155,Directed,267,,62.0
21,175,Directed,264,,101.0
22,12,Directed,283,,445.0
22,17,Directed,280,,460.0
22,23,Directed,269,,1899.0
22,36,Directed,281,,459.0
22,48,Directed,271,,1302.0
22,69,Directed,273,,688.0
22,71,Directed,277,,561.0
22,85,Directed,274,,676.0
22,103,Directed,270,,1738.0
22,119,Directed,272,,1004.0
22,126,Directed,276,,567.0
22,128,Directed,278,,522.0
22,138,Directed,275,,631.0
22,144,Directed,282,,455.0
22,176,Directed,279,,513.0
23,0,Directed,290,,276.0
23,12,Directed,292,,227.0
23,17,Directed,294,,219.0
23,22,Directed,284,,1867.0
23,48,Directed,287,,382.0
23,85,Directed,285,,1738.0
23,86,Directed,286,,418.0
23,89,Directed,291,,248.0
23,103,Directed,296,,169.0
23,119,Directed,289,,282.0
23,126,Directed,295,,209.0
23,177,Directed,288,,336.0
23,178,Directed,293,,221.0
23,179,Directed,297,,166.0
23,180,Directed,298,,163.0
24,0,Directed,300,,276.0
24,14,Directed,308,,100.0
24,16,Directed,307,,100.0
24,17,Directed,304,,193.0
24,20,Directed,302,,197.0
24,22,Directed,312,,81.0
24,33,Directed,310,,88.0
24,154,Directed,311,,81.0
24,155,Directed,305,,138.0
24,181,Directed,299,,487.0
24,182,Directed,301,,210.0
24,183,Directed,303,,195.0
24,184,Directed,306,,120.0
24,185,Directed,309,,93.0
24,186,Directed,313,,72.0
25,0,Directed,317,,448.0
25,14,Directed,318,,327.0
25,16,Directed,321,,259.0
25,18,Directed,324,,184.0
25,20,Directed,314,,733.0
25,33,Directed,315,,601.0
25,54,Directed,316,,451.0
25,144,Directed,319,,301.0
25,158,Directed,322,,232.0
25,162,Directed,327,,151.0
25,170,Directed,320,,267.0
25,172,Directed,328,,144.0
25,187,Directed,323,,229.0
25,188,Directed,325,,168.0
25,189,Directed,326,,156.0
26,0,Directed,329,,313.0
26,14,Directed,331,,237.0
26,15,Directed,337,,120.0
26,16,Directed,338,,114.0
26,17,Directed,333,,164.0
26,18,Directed,340,,84.0
26,20,Directed,330,,237.0
26,21,Directed,332,,165.0
26,27,Directed,336,,122.0
26,33,Directed,334,,142.0
26,36,Directed,341,,79.0
26,79,Directed,335,,132.0
26,111,Directed,343,,69.0
26,158,Directed,342,,76.0
26,190,Directed,339,,102.0
27,0,Directed,344,,340.0
27,14,Directed,345,,333.0
27,15,Directed,348,,172.0
27,16,Directed,347,,287.0
27,17,Directed,346,,299.0
27,18,Directed,354,,105.0
27,20,Directed,356,,90.0
27,25,Directed,352,,114.0
27,26,Directed,349,,140.0
27,33,Directed,357,,81.0
27,81,Directed,350,,129.0
27,149,Directed,353,,107.0
27,163,Directed,355,,102.0
27,175,Directed,351,,115.0
27,191,Directed,358,,65.0
28,0,Directed,359,,282.0
28,14,Directed,360,,229.0
28,15,Directed,363,,70.0
28,16,Directed,361,,103.0
28,18,Directed,365,,51.0
28,20,Directed,367,,32.0
28,25,Directed,364,,59.0
28,27,Directed,366,,37.0
28,81,Directed,372,,25.0
28,149,Directed,362,,78.0
28,151,Directed,373,,23.0
28,155,Directed,370,,29.0
28,163,Directed,371,,27.0
28,190,Directed,369,,31.0
28,192,Directed,368,,32.0
29,0,Directed,377,,178.0
29,14,Directed,380,,101.0
29,17,Directed,376,,179.0
29,20,Directed,375,,196.0
29,23,Directed,387,,66.0
29,24,Directed,383,,76.0
29,30,Directed,374,,221.0
29,31,Directed,381,,97.0
29,33,Directed,379,,109.0
29,34,Directed,388,,60.0
29,36,Directed,384,,70.0
29,193,Directed,378,,114.0
29,194,Directed,382,,79.0
29,195,Directed,385,,69.0
29,196,Directed,386,,67.0
30,17,Directed,397,,147.0
30,20,Directed,389,,1020.0
30,22,Directed,403,,99.0
30,29,Directed,395,,175.0
30,31,Directed,390,,361.0
30,32,Directed,398,,137.0
30,33,Directed,402,,107.0
30,34,Directed,392,,234.0
30,196,Directed,394,,180.0
30,197,Directed,391,,315.0
30,198,Directed,393,,200.0
30,199,Directed,396,,155.0
30,200,Directed,399,,129.0
30,201,Directed,400,,117.0
30,202,Directed,401,,117.0
31,0,Directed,418,,50.0
31,20,Directed,411,,85.0
31,23,Directed,414,,70.0
31,29,Directed,412,,85.0
31,30,Directed,404,,332.0
31,32,Directed,415,,61.0
31,34,Directed,406,,204.0
31,78,Directed,407,,161.0
31,195,Directed,405,,257.0
31,197,Directed,417,,54.0
31,199,Directed,413,,81.0
31,203,Directed,408,,151.0
31,204,Directed,409,,149.0
31,205,Directed,410,,87.0
31,206,Directed,416,,59.0
32,0,Directed,425,,48.0
32,20,Directed,424,,62.0
32,22,Directed,433,,31.0
32,23,Directed,430,,41.0
32,24,Directed,427,,42.0
32,29,Directed,431,,34.0
32,30,Directed,420,,147.0
32,31,Directed,421,,77.0
32,186,Directed,428,,42.0
32,207,Directed,419,,215.0
32,208,Directed,422,,73.0
32,209,Directed,423,,66.0
32,210,Directed,426,,47.0
32,211,Directed,429,,42.0
32,212,Directed,432,,34.0
33,17,Directed,440,,1165.0
33,20,Directed,436,,1748.0
33,22,Directed,447,,524.0
33,25,Directed,444,,573.0
33,36,Directed,438,,1581.0
33,43,Directed,442,,901.0
33,54,Directed,434,,3777.0
33,103,Directed,443,,609.0
33,118,Directed,448,,514.0
33,144,Directed,441,,977.0
33,162,Directed,445,,566.0
33,174,Directed,446,,563.0
33,187,Directed,435,,1886.0
33,213,Directed,437,,1611.0
33,214,Directed,439,,1349.0
34,17,Directed,458,,54.0
34,20,Directed,454,,84.0
34,22,Directed,463,,34.0
34,23,Directed,457,,60.0
34,29,Directed,459,,51.0
34,30,Directed,451,,232.0
34,31,Directed,452,,218.0
34,197,Directed,461,,40.0
34,199,Directed,455,,80.0
34,203,Directed,453,,165.0
34,205,Directed,450,,252.0
34,206,Directed,460,,41.0
34,215,Directed,449,,344.0
34,216,Directed,456,,61.0
34,217,Directed,462,,39.0
35,20,Directed,467,,59.0
35,29,Directed,475,,34.0
35,30,Directed,469,,46.0
35,33,Directed,468,,47.0
35,43,Directed,478,,28.0
35,194,Directed,473,,38.0
35,218,Directed,464,,115.0
35,219,Directed,465,,73.0
35,220,Directed,466,,61.0
35,221,Directed,470,,44.0
35,222,Directed,471,,40.0
35,223,Directed,472,,39.0
35,224,Directed,474,,35.0
35,225,Directed,476,,34.0
35,226,Directed,477,,30.0
36,22,Directed,485,,512.0
36,43,Directed,491,,320.0
36,69,Directed,482,,722.0
36,103,Directed,480,,1361.0
36,111,Directed,484,,562.0
36,119,Directed,483,,713.0
36,124,Directed,486,,405.0
36,147,Directed,488,,363.0
36,174,Directed,492,,273.0
36,176,Directed,490,,326.0
36,213,Directed,481,,1153.0
36,214,Directed,489,,330.0
36,227,Directed,479,,1871.0
36,228,Directed,487,,366.0
36,229,Directed,493,,264.0
37,36,Directed,505,,23.0
37,39,Directed,494,,102.0
37,48,Directed,506,,20.0
37,69,Directed,502,,33.0
37,71,Directed,508,,14.0
37,103,Directed,495,,75.0
37,111,Directed,499,,37.0
37,119,Directed,498,,54.0
37,124,Directed,497,,60.0
37,147,Directed,496,,60.0
37,230,Directed,500,,35.0
37,231,Directed,501,,35.0
37,232,Directed,503,,24.0
37,233,Directed,504,,24.0
37,234,Directed,507,,15.0
38,22,Directed,511,,8.0
