Id,Label,Component ID,Degré Entrant,Degré Sortant,Degré,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,PageRank,Eigenvector Centrality
0,software engineer,0,197,15,212,28878.0,17926.0,10952.0,12.0,4.5703037120359955,58222.89665278821,0,0.009085387604061239,0.4959941939709847
1,engineer,0,8,15,23,1656.0,107.0,1549.0,11.0,4.241844769403825,1951.9912602060574,5,5.286956823241731E-4,0.005548477260065343
2,surgeon,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
3,dentist,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
4,doctor,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
5,physician,0,0,6,6,36.0,0.0,36.0,13.0,5.6552878179384205,0.0,1,7.473841833415897E-5,0.0
6,lawyer,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
7,architect,0,1,12,13,636.0,38.0,598.0,12.0,4.572553430821148,90.77183954452096,0,4.54529227726291E-4,5.905730914910576E-4
8,assistant professor,0,20,14,34,1772.0,797.0,975.0,11.0,4.72103487064117,6381.234638126469,1,8.652520040365134E-4,0.02666165555633708
9,artist,0,2,9,11,185.0,22.0,163.0,11.0,4.735658042744657,206.50977221398782,7,4.7508764361215783E-4,0.0017258105502229275
10,geologist,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
11,recruiter,0,28,14,42,3023.0,1022.0,2001.0,11.0,4.841394825646794,49032.40415028564,4,0.0011570651493076573,0.03261834348359109
12,legal intern,0,18,14,32,5565.0,2687.0,2878.0,12.0,5.134983127109112,5557.485345256097,1,0.0014702209705700338,0.09715693068655121
13,public relations intern,0,4,12,16,727.0,209.0,518.0,11.0,4.78740157480315,3799.2673011229235,1,5.602038396552117E-4,0.0072833457214755495
14,senior software engineer,0,122,15,137,18908.0,13927.0,4981.0,12.0,4.766029246344207,44382.025299862806,0,0.006831688736011126,0.31291586016710154
15,software developer,0,69,15,84,9032.0,4808.0,4224.0,12.0,4.572553430821148,6999.456749511935,0,0.002832042234289149,0.1632123850256988
16,programmer,0,112,15,127,15035.0,10214.0,4821.0,12.0,4.714285714285714,25960.291823760846,0,0.005382518113774264,0.3738275664937162
17,consultant,0,378,15,393,44945.0,30800.0,14145.0,11.0,4.4735658042744655,96977.15183947796,0,0.013979821452365865,0.9493378772658934
18,programmer analyst,0,68,15,83,7235.0,4565.0,2670.0,12.0,4.7671541057367826,8086.55372325115,0,0.002627364308352077,0.23907099663853848
19,web developer,0,17,13,30,2991.0,1253.0,1738.0,12.0,4.659167604049494,18096.31413200968,0,9.865472315342936E-4,0.05476856583141664
20,project manager,0,429,15,444,60243.0,41508.0,18735.0,11.0,4.33970753655793,134152.93665286046,5,0.01869927907340441,1.0
21,developer,0,26,15,41,3958.0,1405.0,2553.0,12.0,4.826771653543307,1266.8795542052474,0,0.001112536651545621,0.08430249564387249
22,intern,0,332,15,347,43767.0,31847.0,11920.0,11.0,4.605174353205849,71579.90132243987,1,0.013654937806951761,0.9235879857487697
23,research assistant,0,131,15,146,18711.0,11790.0,6921.0,11.0,4.47244094488189,44234.00726931067,1,0.005901097929352475,0.28854184370308883
24,systems engineer,0,51,15,66,4704.0,2273.0,2431.0,12.0,4.431946006749157,26284.521990334677,0,0.0016808976851316344,0.10596678914915604
