Id,Label,salary low,salary median,salary high,national_count,Degré,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Modularity Class
6137,software configuration manager,62718.0,88247.0,108277.0,84202.0,4,4.0,1.0,3.0,10
10823,product support specialist,44095.0,65068.0,131075.0,33317.0,5,5.0,1.0,4.0,10
10827,technical analyst iii,71165.0,92365.0,104400.0,73024.0,1,1.0,1.0,0.0,10
6727,game designer,46589.0,65070.0,98238.0,18521.0,6,6.0,2.0,4.0,0
11478,senior game designer,72908.0,96328.0,113995.0,18521.0,4,4.0,2.0,2.0,0
11479,lead game designer,60234.0,109000.0,140387.0,18521.0,4,4.0,2.0,2.0,0
11480,level designer,45467.0,62384.0,90391.0,18521.0,3,3.0,2.0,1.0,0
74,legal counsel,83123.0,139695.0,193907.0,24169.0,6,6.0,1.0,5.0,1
126,law clerk,33477.0,58870.0,177507.0,10911.0,29,29.0,22.0,7.0,1
127,attorney,63698.0,150881.0,255166.0,24169.0,33,33.0,23.0,10.0,1
128,associate,52800.0,95000.0,162400.0,179184.0,55,55.0,42.0,13.0,1
129,associate attorney,83206.0,177507.0,242530.0,24169.0,29,29.0,19.0,10.0,1
133,summer associate,100900.0,127039.0,172667.0,179184.0,18,18.0,8.0,10.0,1
137,staff attorney,47071.0,78078.0,126946.0,24169.0,19,19.0,10.0,9.0,1
360,corporate counsel,96885.0,143550.0,186236.0,24169.0,7,7.0,1.0,6.0,1
364,senior attorney,118146.0,165057.0,217936.0,24169.0,14,14.0,3.0,11.0,1
365,assistant general counsel,88509.0,176444.0,224911.0,24169.0,18,18.0,6.0,12.0,1
367,general counsel,102521.0,181301.0,365400.0,24169.0,17,17.0,3.0,14.0,1
368,litigation associate,98738.0,177329.0,279817.0,24169.0,10,10.0,2.0,8.0,1
542,partner,107917.0,233134.0,416586.0,18644.0,23,23.0,8.0,15.0,1
544,senior associate attorney,176221.0,269793.0,293995.0,24169.0,3,3.0,1.0,2.0,1
546,judicial law clerk,39720.0,46451.0,89437.0,10911.0,8,8.0,2.0,6.0,1
559,corporate associate,70900.0,182871.0,244128.0,24169.0,5,5.0,1.0,4.0,1
566,assistant district attorney,50484.0,64303.0,75268.0,24169.0,8,8.0,2.0,6.0,1
1176,senior corporate counsel,151525.0,194622.0,226138.0,24169.0,3,3.0,1.0,2.0,1
1177,senior counsel,137131.0,182700.0,251798.0,24169.0,17,17.0,3.0,14.0,1
1178,associate general counsel,114623.0,183054.0,235620.0,24169.0,9,9.0,2.0,7.0,1
1537,associate counsel,61216.0,112891.0,180717.0,24169.0,4,4.0,0.0,4.0,1
1542,trial attorney,76782.0,116322.0,144825.0,24169.0,5,5.0,1.0,4.0,1
3058,landman,55110.0,77861.0,114843.0,14556.0,3,3.0,1.0,2.0,1
3796,patent attorney,93815.0,142608.0,205242.0,24169.0,2,2.0,1.0,1.0,1
6506,lease analyst,37323.0,45406.0,65878.0,50016.0,3,3.0,1.0,2.0,1
11938,musical director,29071.0,41495.0,54049.0,13674.0,2,2.0,0.0,2.0,1
125,branch manager,43645.0,60900.0,90302.0,14380.0,86,86.0,71.0,15.0,17
491,loan officer,32375.0,49924.0,107917.0,14074.0,46,46.0,31.0,15.0,2
1187,loan processor,30453.0,41453.0,54198.0,14074.0,39,39.0,26.0,13.0,2
