software engineer,0,65829,90374,128376
engineer,1,57523,75867,107355
surgeon,2,151675,269793,367792
dentist,3,102238,133278,172667
doctor,4,104162,191501,246640
physician,5,54802,172667,265806
lawyer,6,74607,141560,254250
architect,7,46596,72112,131950
assistant professor,8,56580,79798,145145
artist,9,40600,59912,90627
geologist,10,51750,104329,141537
recruiter,11,36132,50750,96524
legal intern,12,,,
public relations intern,13,,,
senior software engineer,14,80938,106575,138219
software developer,15,55449,86226,124057
programmer,16,51613,64537,81961
consultant,17,61752,88305,142427
programmer analyst,18,55703,67940,79531
web developer,19,48000,67097,93939
project manager,20,81285,96425,125460
developer,21,56540,74866,110906
intern,22,23915,42376,66532
research assistant,23,50521,68255,80604
systems engineer,24,75542,91214,109612
senior consultant,25,92392,115379,124073
team lead,26,38710,74065,112000
senior developer,27,99716,112619,121952
software consultant,28,55471,69294,102529
senior engineer,29,76522,97440,126732
project engineer,30,55471,70932,98167
design engineer,31,56909,72294,103530
electrical engineer,32,58755,74287,105746
manager,33,45325,94945,144632
mechanical engineer,34,55825,70146,97816
chief engineer,35,68784,118457,161644
assistant manager,36,30360,43167,67077
dental assistant,37,28284,32537,40679
associate dentist,38,125703,138219,144080
dental hygienist,39,,,
orthodontist,40,147976,265994,376443
general dentist,41,94206,129672,166986
prosthodontist,42,,,
owner,43,24962,72774,170080
student dentist,44,,,
dental,45,,,
dentist part time,46,,,
lead dentist,47,,,
volunteer,48,,,
denitst,49,,,
external rotation,50,,,
transcriptionist,51,,,
chairman,52,,,
instructor,53,38791,55435,106881
director,54,87742,140292,196696
medical director,55,121800,184829,253925
associate medical director,56,92903,154361,208903
clinical research intern,57,,,
physician medical director,58,,,
registered nurse,59,47686,65920,88968
vice chairman,60,,,
assistant medical director,61,,,
clinical physician,62,,,
field writer,63,,,
monitor technician and unit secretary,64,,,
technical writer,65,42529,59458,90840
associate editor,66,35525,44903,61125
editor in chief,67,41264,66407,137327
senior technical writer,68,64750,90972,118589
cashier,69,10323,19425,31897
legal assistant,70,30968,45000,68000
office assistant,71,19991,31013,46862
assistant to the,72,,,
legal consultant,73,38112,71027,177507
legal counsel,74,83123,139695,193907
course coordinator,75,,,
consultant architect,76,98157,129032,172970
project architect,77,53959,72312,92442
designer,78,40402,57000,88753
team member,79,16116,35664,68574
senior java jee developer,80,,,
technical lead,81,66000,82580,123759
consultant developer,82,59271,72020,112314
associate professor,83,62912,91860,154838
lecturer,84,39336,51035,72178
teaching assistant,85,13000,20000,28707
research associate,86,36555,50131,104230
adjunct professor,87,9700,30709,102897
adjunct faculty,88,12108,25806,58573
graduate research assistant,89,18581,24774,31465
adjunct instructor,90,9000,30968,69339
teacher,91,34533,45486,63793
visiting assistant professor,92,44496,58870,112022
co creator,93,,,
graphic designer,94,34160,46196,71027
art director,95,46491,74426,116722
talent manager,96,40234,75740,123871
art teacher,97,34861,46999,58525
creator,98,,,
guest artist,99,,,
graphic artist,100,34707,51015,84406
storyboard artist,101,,,
creative director,102,77252,134193,215834
sales associate,103,17733,38063,75542
project geologist,104,51613,57414,85058
exploration geologist,105,104258,158554,187011
vice president of operations,106,84456,150000,212847
research geologist,107,78299,120068,142037
mud logger,108,32240,49446,67055
associate geologist,109,,,
technician geologist,110,,,
customer service representative,111,24774,34064,49514
technical manager,112,72258,108290,141899
senior recruiter,113,42590,75542,120506
technical recruiter,114,34477,47845,76552
senior technical recruiter,115,46642,68129,120360
corporate recruiter,116,38814,59594,91386
recruiting manager,117,46529,80000,129600
account executive,118,36129,57000,132997
administrative assistant,119,34374,58903,79323
human resources manager,120,70198,97808,128499
account manager,121,48563,78678,111690
human resources generalist,122,42609,58758,85058
it recruiter,123,33596,44377,66977
office manager,124,31465,44655,68000
branch manager,125,43645,60900,90302
law clerk,126,33477,58870,177507
attorney,127,63698,150881,255166
associate,128,52800,95000,162400
associate attorney,129,83206,177507,242530
judicial intern,130,,,
contract attorney,131,,,
student attorney,132,,,
summer associate,133,100900,127039,172667
legal extern,134,,,
paralegal,135,35466,48720,73222
volunteer attorney,136,,,
staff attorney,137,47071,78078,126946
marketing intern,138,,,
communications intern,139,,,
social media intern,140,,,
marketing assistant,141,30000,37384,52903
public relations assistant,142,,,
account coordinator,143,33495,44522,57294
vice president,144,102378,167811,212645
public relations coordinator,145,34097,42898,55293
editorial intern,146,,,
receptionist,147,21677,32000,42264
principal software engineer,148,100997,126875,155256
senior programmer,149,63982,86535,117426
senior software developer,150,92785,122296,125082
duration,151,,,
lead software engineer,152,83119,108969,142395
java developer,153,58755,74426,103226
contractor,154,32178,65239,110100
systems analyst,155,57972,72670,79173
senior programmer analyst,156,76702,93520,126629
analyst,157,47845,66565,88665
